year,team,elo,last_division,matches,last_match_date
1998,セレッソ大阪,1487.1966895510323,J1,148,1998-11-14
1998,柏レイソル,1568.5912171645798,J1,148,1998-11-14
1998,アビスパ福岡,1373.3767787520626,J1,96,1998-11-14
1998,京都サンガF.C.,1470.2975014556446,J1,96,1998-11-14
1998,ヴィッセル神戸,1401.7320284048224,J1,66,1998-11-14
1998,北海道コンサドーレ札幌,1534.1760728143383,J1,34,1998-11-14
1999,東京ヴェルディ,1526.7379825373584,J1,258,1999-11-27
1999,横浜Ｆ・マリノス,1673.7590221879168,J1,258,1999-11-27
1999,ガンバ大阪,1488.799306403831,J1,258,1999-11-27
1999,浦和レッズ,1522.7887134654004,J1,258,1999-11-27
1999,サンフレッチェ広島,1557.6767704111317,J1,258,1999-11-27
1999,ジェフユナイテッド千葉,1445.295329741586,J1,258,1999-11-27
1999,横浜フリューゲルス,1581.7173248314232,J1,228,1998-11-14
1999,清水エスパルス,1687.9700408164858,J1,258,1999-11-27
1999,鹿島アントラーズ,1644.5440509894581,J1,258,1999-11-27
1999,名古屋グランパス,1648.4854594057874,J1,258,1999-11-27
1999,湘南ベルマーレ,1378.6492943662226,J1,222,1999-11-27
1999,ジュビロ磐田,1656.9025351180874,J1,222,1999-11-27
1999,セレッソ大阪,1579.9207292228373,J1,178,1999-11-27
1999,柏レイソル,1604.1135965142032,J1,178,1999-11-27
1999,アビスパ福岡,1404.4839961129683,J1,126,1999-11-27
1999,京都サンガF.C.,1450.365964467606,J1,126,1999-11-27
1999,ヴィッセル神戸,1469.1070496405089,J1,96,1999-11-27
1999,北海道コンサドーレ札幌,1554.1821629517613,J2,70,1999-11-21
1999,ベガルタ仙台,1432.9370776971946,J2,36,1999-11-21
1999,モンテディオ山形,1469.5843483669858,J2,36,1999-11-21
1999,ヴァンフォーレ甲府,1357.9106052803731,J2,36,1999-11-21
1999,大宮アルディージャ,1516.2893799757978,J2,36,1999-11-21
1999,大分トリニータ,1567.8853316833122,J2,36,1999-11-21
1999,川崎フロンターレ,1616.2064690078244,J2,36,1999-11-21
1999,アルビレックス新潟,1518.0330611696224,J2,36,1999-11-21
1999,ＦＣ東京,1551.4306803229272,J2,36,1999-11-21
1999,サガン鳥栖,1444.5905454363885,J2,36,1999-11-21
2000,東京ヴェルディ,1539.2845892259663,J1,288,2000-11-26
2000,横浜Ｆ・マリノス,1639.8352119986498,J1,288,2000-11-26
2000,ガンバ大阪,1540.4447755272222,J1,288,2000-11-26
2000,浦和レッズ,1607.6387852304968,J2,298,2000-11-19
2000,サンフレッチェ広島,1545.688010312248,J1,288,2000-11-26
2000,ジェフユナイテッド千葉,1436.987438642035,J1,288,2000-11-26
2000,横浜フリューゲルス,1569.4597261067097,J1,228,1998-11-14
2000,清水エスパルス,1601.445251394869,J1,288,2000-11-26
2000,鹿島アントラーズ,1662.9533634254321,J1,288,2000-11-26
2000,名古屋グランパス,1587.9505226712013,J1,288,2000-11-26
2000,湘南ベルマーレ,1391.2325981317424,J2,262,2000-11-19
2000,ジュビロ磐田,1667.1257405526085,J1,252,2000-11-26
2000,セレッソ大阪,1572.5063568346034,J1,208,2000-11-26
2000,柏レイソル,1653.153440639382,J1,208,2000-11-26
2000,アビスパ福岡,1465.7057443013498,J1,156,2000-11-26
2000,京都サンガF.C.,1431.1079055944924,J1,156,2000-11-26
2000,ヴィッセル神戸,1465.4285313945659,J1,126,2000-11-26
2000,北海道コンサドーレ札幌,1653.7431052799914,J2,110,2000-11-19
2000,ベガルタ仙台,1463.0572458454806,J2,76,2000-11-19
2000,モンテディオ山形,1407.698144396343,J2,76,2000-11-19
2000,ヴァンフォーレ甲府,1290.503382829938,J2,76,2000-11-19
2000,大宮アルディージャ,1522.7839657190843,J2,76,2000-11-19
2000,大分トリニータ,1619.1484130820486,J2,76,2000-11-19
2000,川崎フロンターレ,1486.8290249073511,J1,66,2000-11-26
2000,アルビレックス新潟,1473.6498787058686,J2,76,2000-11-19
2000,ＦＣ東京,1558.483228043463,J1,66,2000-11-26
2000,サガン鳥栖,1445.7856465756508,J2,76,2000-11-19
2000,水戸ホーリーホック,1423.1817765374558,J2,40,2000-11-16
2001,東京ヴェルディ,1500.7041097317112,J1,318,2001-11-24
2001,横浜Ｆ・マリノス,1552.3884085737413,J1,318,2001-11-24
2001,ガンバ大阪,1546.4063295583107,J1,318,2001-11-24
2001,浦和レッズ,1566.0420082595006,J1,328,2001-11-24
2001,サンフレッチェ広島,1558.5657500876393,J1,318,2001-11-24
2001,ジェフユナイテッド千葉,1532.8156629784346,J1,318,2001-11-24
2001,横浜フリューゲルス,1559.0407671907033,J1,228,1998-11-14
2001,清水エスパルス,1625.4411923716714,J1,318,2001-11-24
2001,鹿島アントラーズ,1661.8735170735436,J1,318,2001-11-24
2001,名古屋グランパス,1602.4237438026025,J1,318,2001-11-24
2001,湘南ベルマーレ,1432.5636481442077,J2,306,2001-11-18
2001,ジュビロ磐田,1745.5394794840902,J1,282,2001-11-24
2001,セレッソ大阪,1468.708930166507,J1,238,2001-11-24
2001,柏レイソル,1618.9327437799182,J1,238,2001-11-24
2001,アビスパ福岡,1441.6996478591013,J1,186,2001-11-24
2001,京都サンガF.C.,1550.482323008658,J2,200,2001-11-18
2001,ヴィッセル神戸,1483.3790129573767,J1,156,2001-11-24
2001,北海道コンサドーレ札幌,1554.99187523255,J1,140,2001-11-24
2001,ベガルタ仙台,1535.068838183099,J2,120,2001-11-18
2001,モンテディオ山形,1537.0777736856203,J2,120,2001-11-18
2001,ヴァンフォーレ甲府,1268.7829107598081,J2,120,2001-11-18
2001,大宮アルディージャ,1557.9919026997343,J2,120,2001-11-18
2001,大分トリニータ,1564.7165695574538,J2,120,2001-11-18
2001,川崎フロンターレ,1478.4436753807602,J2,110,2001-11-18
2001,アルビレックス新潟,1551.9919630011814,J2,120,2001-11-18
2001,ＦＣ東京,1558.7055692362733,J1,96,2001-11-24
2001,サガン鳥栖,1358.1485164667013,J2,120,2001-11-18
2001,水戸ホーリーホック,1315.9078347267773,J2,84,2001-11-18
2001,横浜ＦＣ,1385.5553293626356,J2,44,2001-11-18
2002,東京ヴェルディ,1533.9771291693746,J1,348,2002-11-30
2002,横浜Ｆ・マリノス,1620.1661153970065,J1,348,2002-11-30
2002,ガンバ大阪,1626.4837083703203,J1,348,2002-11-30
2002,浦和レッズ,1557.3940848779473,J1,358,2002-11-30
2002,サンフレッチェ広島,1494.990598519031,J1,348,2002-11-30
2002,ジェフユナイテッド千葉,1535.0001530191462,J1,348,2002-11-30
2002,横浜フリューゲルス,1550.1846521120979,J1,228,1998-11-14
2002,清水エスパルス,1556.8929465253802,J1,348,2002-11-30
2002,鹿島アントラーズ,1638.2675020388942,J1,348,2002-11-30
2002,名古屋グランパス,1587.542534110426,J1,348,2002-11-30
2002,湘南ベルマーレ,1486.4573435035502,J2,350,2002-11-24
2002,ジュビロ磐田,1786.273938867575,J1,312,2002-11-30
2002,セレッソ大阪,1575.7589017946257,J2,282,2002-11-24
2002,柏レイソル,1542.8872616841327,J1,268,2002-11-30
2002,アビスパ福岡,1373.5443913983468,J2,230,2002-11-24
2002,京都サンガF.C.,1570.051406597192,J1,230,2002-11-30
