match_id,year,date,home,away,actual_home_goal,actual_away_goal,lambda_home,lambda_away,split
J1_2023_197,2023,2023-08-06,浦和レッズ,横浜Ｆ・マリノス,0,0,1.6874370868072766,1.454980790741084,second_half
J1_2023_198,2023,2023-08-06,鹿島アントラーズ,北海道コンサドーレ札幌,3,0,1.8063805128857078,1.9029570795099868,second_half
J1_2023_199,2023,2023-08-12,アビスパ福岡,横浜ＦＣ,2,0,1.5779462827794195,0.7009313382224092,second_half
J1_2023_200,2023,2023-08-12,アルビレックス新潟,湘南ベルマーレ,2,2,1.318809434695851,1.5030618684868975,second_half
J1_2023_201,2023,2023-08-12,北海道コンサドーレ札幌,サガン鳥栖,1,1,1.5461021801975992,1.571256810120882,second_half
J1_2023_202,2023,2023-08-12,川崎フロンターレ,ヴィッセル神戸,0,1,0.956570833677485,1.224238594909468,second_half
J1_2023_203,2023,2023-08-12,柏レイソル,セレッソ大阪,1,1,0.9065402822693202,1.6592029727387467,second_half
J1_2023_204,2023,2023-08-12,横浜Ｆ・マリノス,ガンバ大阪,2,1,3.5,0.7125015236881859,second_half
J1_2023_205,2023,2023-08-12,ＦＣ東京,京都サンガF.C.,2,0,2.127273910512496,1.4987067645702623,second_half
J1_2023_206,2023,2023-08-13,サンフレッチェ広島,浦和レッズ,2,1,0.7108601350941243,0.5570080596491328,second_half
J1_2023_207,2023,2023-08-13,名古屋グランパス,鹿島アントラーズ,1,0,0.8285103174363706,0.8762427635546233,second_half
J1_2023_208,2023,2023-08-18,アビスパ福岡,アルビレックス新潟,0,1,1.0890556336104114,0.8559162152669366,second_half
J1_2023_209,2023,2023-08-18,浦和レッズ,名古屋グランパス,1,0,1.1411662423232145,1.1000163367920777,second_half
J1_2023_210,2023,2023-08-19,ガンバ大阪,湘南ベルマーレ,2,1,1.3124530995722474,1.2393772733498434,second_half
J1_2023_211,2023,2023-08-19,サンフレッチェ広島,川崎フロンターレ,3,2,1.4276388103515274,1.0552637849762208,second_half
J1_2023_212,2023,2023-08-19,ヴィッセル神戸,柏レイソル,1,1,1.7274735253432432,0.474477442444092,second_half
J1_2023_213,2023,2023-08-19,京都サンガF.C.,北海道コンサドーレ札幌,3,0,1.0674992133521244,2.4775545192077613,second_half
J1_2023_214,2023,2023-08-19,横浜Ｆ・マリノス,ＦＣ東京,2,1,2.75752146678317,0.5676979000247598,second_half
J1_2023_215,2023,2023-08-19,鹿島アントラーズ,サガン鳥栖,2,1,1.1282282449021588,1.039628902609833,second_half
J1_2023_216,2023,2023-08-20,横浜ＦＣ,セレッソ大阪,0,1,0.7354134162368491,1.6875099754235139,second_half
J1_2023_217,2023,2023-08-25,湘南ベルマーレ,浦和レッズ,0,1,0.7404974308302823,1.1832208726282591,second_half
J1_2023_218,2023,2023-08-26,サガン鳥栖,ガンバ大阪,1,1,1.7416792792413227,1.0870707636742842,second_half
J1_2023_219,2023,2023-08-26,セレッソ大阪,名古屋グランパス,3,1,0.8801714610891267,1.2522778932067675,second_half
J1_2023_220,2023,2023-08-26,京都サンガF.C.,アビスパ福岡,2,0,0.9155079566877637,1.0035738715994649,second_half
J1_2023_221,2023,2023-08-26,川崎フロンターレ,北海道コンサドーレ札幌,2,2,1.7096154885230876,1.3482571569429433,second_half
J1_2023_222,2023,2023-08-26,柏レイソル,サンフレッチェ広島,0,0,0.9526159989021898,1.681485807452978,second_half
J1_2023_223,2023,2023-08-26,横浜ＦＣ,横浜Ｆ・マリノス,4,1,0.838331725267155,2.5482763471446823,second_half
J1_2023_224,2023,2023-08-26,鹿島アントラーズ,アルビレックス新潟,2,0,1.3170912474407879,0.9946062826266949,second_half
J1_2023_225,2023,2023-08-26,ＦＣ東京,ヴィッセル神戸,2,2,1.440794625768847,2.079242345586904,second_half
J1_2023_226,2023,2023-09-02,アルビレックス新潟,浦和レッズ,1,1,0.7066482393545941,1.0276304567227013,second_half
J1_2023_227,2023,2023-09-02,サガン鳥栖,サンフレッチェ広島,0,2,0.9514300697889773,1.2286378910603408,second_half
J1_2023_228,2023,2023-09-02,セレッソ大阪,川崎フロンターレ,3,0,1.5000838908703302,1.41608580553016,second_half
J1_2023_229,2023,2023-09-02,北海道コンサドーレ札幌,ガンバ大阪,4,0,2.8804648951939593,1.4845676354556459,second_half
J1_2023_230,2023,2023-09-02,名古屋グランパス,横浜ＦＣ,1,1,1.8998640934633908,0.6046109595008319,second_half
J1_2023_231,2023,2023-09-02,柏レイソル,横浜Ｆ・マリノス,2,0,1.033407144987754,2.5055304870012187,second_half
J1_2023_232,2023,2023-09-02,湘南ベルマーレ,鹿島アントラーズ,2,2,0.8620608276055861,1.8710041980393801,second_half
J1_2023_233,2023,2023-09-03,ヴィッセル神戸,京都サンガF.C.,2,1,1.9796085669569445,0.7931464970978985,second_half
J1_2023_234,2023,2023-09-03,ＦＣ東京,アビスパ福岡,1,2,2.208401066359269,0.92755122786469,second_half
J1_2023_235,2023,2023-09-15,川崎フロンターレ,ＦＣ東京,1,0,1.5038882787754697,0.5545061812950577,second_half
J1_2023_236,2023,2023-09-15,横浜Ｆ・マリノス,サガン鳥栖,1,1,1.957895462031997,0.754107017140355,second_half
J1_2023_237,2023,2023-09-15,浦和レッズ,京都サンガF.C.,0,0,2.0215906272687185,1.0954370019128785,second_half
J1_2023_238,2023,2023-09-16,アビスパ福岡,名古屋グランパス,1,0,0.6965289428811896,1.0762809816242962,second_half
J1_2023_239,2023,2023-09-16,サンフレッチェ広島,ヴィッセル神戸,2,0,1.0050624477459555,1.2892848924428906,second_half
J1_2023_240,2023,2023-09-16,北海道コンサドーレ札幌,湘南ベルマーレ,0,1,1.8282645249967633,1.6502267746328843,second_half
J1_2023_241,2023,2023-09-16,鹿島アントラーズ,セレッソ大阪,1,0,1.0926958305451853,1.0954777481043745,second_half
J1_2023_242,2023,2023-09-17,ガンバ大阪,アルビレックス新潟,1,1,1.2956922131133126,1.1289635630450292,second_half
J1_2023_243,2023,2023-09-17,横浜ＦＣ,柏レイソル,1,2,0.8764226701333251,1.1477276109704375,second_half
J1_2023_244,2023,2023-09-23,アルビレックス新潟,横浜ＦＣ,3,1,1.8864367569291511,1.1212371474263527,second_half
J1_2023_245,2023,2023-09-23,ヴィッセル神戸,セレッソ大阪,1,0,1.4495371354761144,0.6976266925920152,second_half
J1_2023_246,2023,2023-09-23,京都サンガF.C.,サンフレッチェ広島,1,0,0.6785601863625063,1.4454114017312039,second_half
J1_2023_247,2023,2023-09-23,名古屋グランパス,北海道コンサドーレ札幌,1,1,1.7983481061441922,1.4125687254852535,second_half
J1_2023_248,2023,2023-09-23,柏レイソル,アビスパ福岡,1,3,1.2852618591405263,1.1674843714419187,second_half
J1_2023_249,2023,2023-09-23,ＦＣ東京,サガン鳥栖,3,2,1.6083150178111545,1.2510110063845454,second_half
J1_2023_250,2023,2023-09-24,ガンバ大阪,浦和レッズ,1,3,0.7032423697075679,0.8473515695973083,second_half
J1_2023_251,2023,2023-09-24,湘南ベルマーレ,川崎フロンターレ,0,2,1.487160158557673,2.2416374680450413,second_half
J1_2023_252,2023,2023-09-24,鹿島アントラーズ,横浜Ｆ・マリノス,1,2,1.245614453840953,1.6542598710369671,second_half
J1_2023_253,2023,2023-09-29,川崎フロンターレ,アルビレックス新潟,2,3,1.2465366960950133,0.7046848577568351,second_half
J1_2023_254,2023,2023-09-29,横浜Ｆ・マリノス,ヴィッセル神戸,0,2,1.753963140474849,1.253363267901162,second_half
J1_2023_255,2023,2023-09-29,浦和レッズ,横浜ＦＣ,1,1,2.5852465263807836,0.7163890621299981,second_half
J1_2023_256,2023,2023-09-30,アビスパ福岡,鹿島アントラーズ,0,0,0.6881254191503091,1.0158367181652106,second_half
J1_2023_257,2023,2023-09-30,サガン鳥栖,京都サンガF.C.,3,2,1.23650559969676,1.378353258375629,second_half
J1_2023_258,2023,2023-09-30,サンフレッチェ広島,名古屋グランパス,3,1,0.837664443476959,0.9331945170742522,second_half
J1_2023_259,2023,2023-09-30,セレッソ大阪,湘南ベルマーレ,0,2,1.3939914995044842,1.0932762271154823,second_half
J1_2023_260,2023,2023-09-30,北海道コンサドーレ札幌,柏レイソル,1,2,1.7845247054035231,1.1260686543753777,second_half
J1_2023_261,2023,2023-10-01,ＦＣ東京,ガンバ大阪,3,0,2.996370491260932,1.1819903912043577,second_half
