year,division,n_teams,total_matches,known_matches_first_half,simulated_matches_second_half,first_match_date,split_date_last_known,split_date_first_future,league_home_avg_for_lambda,league_away_avg_for_lambda,mae,mean_prob_actual_position,sim_draw_rate,actual_second_half_draw_rate,sim_goals_per_match,actual_second_half_goals_per_match
2023,J1,18.0,306.0,153.0,153.0,2023-02-17,2023-06-24,2023-06-24,1.4052287581699345,1.2745098039215685,2.051588888888889,0.15639999999999998,0.24838366013071894,0.27450980392156865,2.6368071895424836,2.366013071895425
2024,J1,20.0,380.0,190.0,190.0,2024-02-23,2024-06-26,2024-06-26,1.3789473684210527,1.2421052631578948,2.3655899999999996,0.097675,0.25366052631578945,0.2631578947368421,2.5703736842105265,2.6736842105263157
2025,J1,20.0,380.0,190.0,190.0,2025-02-14,2025-06-14,2025-06-14,1.2473684210526317,1.0157894736842106,2.4464099999999998,0.14725499999999997,0.28419526315789473,0.2631578947368421,2.2137389473684213,2.526315789473684
ALL_MEAN,J1,19.333333333333332,355.3333333333333,177.66666666666666,177.66666666666666,,,,1.343848182547873,1.1774681802545581,2.2878629629629628,0.13377666666666665,0.26207981653480106,0.2669418644650843,2.4736399403738107,2.5220043572984747
