event_id,season,team,old_manager,new_manager,effective_change_date,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_1_3,1,3,3,1,1.2100491152989676,2.3333333333333335,1.1232842180343656,3.630147345896903,7.0,3.369852654103097,0.3968486622241918,1.8497197738445394,1.267570014819044,1.0,-0.26757001481904413,1.5637413596798115,0.0,1.5637413596798115,0.7822427776303568,2.3452399417292664,1.2961713448607675,0.31690073934682,0.25934689725850785,0.42375236339467226,0.6666666666666666,17.0
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_1_5,1,5,5,1,1.0912262840475555,2.0,0.9087737159524444,5.456131420237778,10.0,4.543868579762222,-0.22323833333268694,2.0407857652375756,1.1319179339349068,1.0,-0.1319179339349068,1.5811133851497439,0.6,0.9811133851497438,-0.3204626887857518,2.2826894590852396,0.8491954512148372,0.272337783133163,0.2742129346480669,0.4534492822187703,0.6,17.0
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_1_10,1,10,10,1,1.1339828107054395,1.4,0.26601718929456064,11.339828107054394,14.0,2.6601718929456064,-0.5804287451457215,1.1124631237348428,1.272590201911612,1.1,-0.17259020191161206,1.6888217431959478,1.0,0.6888217431959478,-0.07021652768382924,1.447860014075725,0.5162315412843358,0.293518363129051,0.2534277213182865,0.45305391555266256,0.6,17.0
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_4_6,4,6,3,1,1.1882199352954588,2.0,0.8117800647045414,3.564659805886376,6.0,2.4353401941136243,-1.1161514746815497,2.7397116040906324,1.3475616194254947,1.3333333333333333,-0.01422828609216135,1.5844020709559683,1.0,0.5844020709559684,-1.4846840007640174,2.6534881426759545,0.5701737848638071,0.30282958862121595,0.2797311694318108,0.4174392419469734,0.6666666666666666,17.0
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_7_10,7,10,4,1,1.0362552388177788,0.25,-0.7862552388177788,4.145020955271115,1.0,-3.1450209552711152,-1.703557921173179,0.13104744353762154,1.2201267790956258,1.0,-0.22012677909562603,1.8609467850130346,1.75,0.11094678501303445,-0.726818788730073,0.9487123587561419,-0.10917999408259152,0.2689981618466005,0.22926075327797726,0.5017410848754222,0.5,17.0
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_1_3,1,3,3,1,0.6731906898445884,0.3333333333333333,-0.33985735651125504,2.019572069533765,1.0,-1.0195720695337651,-1.4094627927674308,0.7297480797449207,0.740121041877507,1.6666666666666667,0.9265456247891596,2.0428620004402465,2.6666666666666665,-0.6238046662264202,-3.083105691177259,1.835496358724419,0.3027409585627394,0.15007197274134074,0.2229747716205662,0.6269532556380931,0.6666666666666666,13.0
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_1_5,1,5,5,1,0.7165247160933806,0.4,-0.3165247160933807,3.5826235804669033,2.0,-1.5826235804669033,-0.9216343588952294,0.28858492670846797,0.6770620670052316,1.6,0.9229379329947683,1.774011213935519,2.4,-0.6259887860644808,-2.396163138513332,1.1441855663843703,0.2969491469302875,0.1524391048414295,0.25920740156909206,0.5883534935894785,0.6,13.0
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_1_10,1,10,10,1,0.8650630379880717,0.7,-0.1650630379880717,8.650630379880717,7.0,-1.6506303798807171,-0.6988104896145355,0.36868441363839216,0.7159473254289931,1.2,0.4840526745710069,1.513139017892634,1.8,-0.2868609821073661,-1.2945047983349478,0.7207828341202157,0.19719169246364082,0.19332833903992244,0.28507802086830436,0.5215936400917733,0.5,13.0
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_4_6,4,6,3,1,0.7928653982937752,0.3333333333333333,-0.4595320649604419,2.3785961948813257,1.0,-1.3785961948813257,-0.901777954296195,-0.017286175624688815,0.5837596421810188,1.0,0.4162403578189811,1.3404508702330695,1.6666666666666667,-0.32621579643359694,-2.5055920723515595,1.8531604794843657,0.09002456138538413,0.1579426113219515,0.31903756432792063,0.523019824350128,0.3333333333333333,13.0
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_7_10,7,10,4,1,1.0631155288664067,1.25,0.1868844711335934,4.252462115465627,5.0,0.7475378845343736,-0.9065466914758634,1.2803156337430504,0.7969578005285882,1.0,0.2030421994714119,1.2453628917265975,1.25,-0.004637108273402468,-1.4201428984961184,1.4108686819493135,0.19840509119800936,0.2523099095523369,0.30618580020939584,0.4415042902382672,0.5,13.0
