rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,n_sim,pressure_setting_name,use_pressure_effects,late_season_start_ratio,relegation_points_window,title_points_window,relegation_attack_lambda_boost,relegation_defense_lambda_boost,title_attack_lambda_boost,title_attack_lambda_debuff,title_defense_lambda_boost,title_chaser_max_rank,leader_attack_lambda_debuff,chaser_attack_lambda_boost,chaser_defense_lambda_boost,draw_shift_relegation,draw_shift_title,max_draw_shift,sim_draw_rate,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_pressure_off
1,prev040_decay0995,0.4,0.995,0.2,1000,relegation_weak_title_boost_weak,True,0.65,6.0,6.0,0.02,0.02,0.03,0.0,0.02,4,0.0,0.0,0.0,0.02,0.0,0.06,0.28403684210526314,2.1864000000000003,4.939,8,4.641,3.359,2,6.028999999999999,4.028999999999999,3,5.403,2.4029999999999996,14,10.4,3.5999999999999996,6,9.188,3.1880000000000006,16,12.197999999999997,3.802000000000003,15,17.747,2.747,11,15.939,4.939,-0.04439999999999955
2,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_strong,True,0.65,6.0,6.0,0.0,0.0,0.07,0.0,0.04,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2820578947368421,2.1885000000000003,4.758000000000003,8,4.83,3.17,2,5.984999999999999,3.9849999999999994,3,5.3500000000000005,2.3500000000000005,14,10.273,3.7270000000000003,6,9.335000000000003,3.3350000000000026,16,12.011000000000001,3.988999999999999,15,17.887999999999998,2.887999999999998,11,15.758000000000003,4.758000000000003,-0.04229999999999956
3,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_mid_late070,True,0.7,6.0,6.0,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2851105263157895,2.2019999999999995,4.872,8,4.694000000000001,3.305999999999999,2,6.020999999999999,4.020999999999999,3,5.438,2.4379999999999997,14,10.372000000000002,3.6279999999999983,6,9.455,3.455,16,12.031,3.9689999999999994,15,17.816,2.815999999999999,11,15.872,4.872,-0.02880000000000038
4,prev040_decay0995,0.4,0.995,0.2,1000,relegation_mid_title_boost_mid,True,0.65,6.0,6.0,0.04,0.04,0.05,0.0,0.03,4,0.0,0.0,0.0,0.035,0.0,0.08,0.28367894736842103,2.2072000000000003,4.839,8,4.643999999999999,3.3560000000000008,2,5.95,3.95,3,5.3889999999999985,2.3889999999999985,14,10.313,3.6869999999999994,6,9.441000000000003,3.4410000000000025,16,12.041999999999998,3.958000000000002,15,17.926000000000002,2.926000000000002,11,15.839,4.839,-0.02359999999999962
5,prev040_decay0995,0.4,0.995,0.2,1000,relegation_mid_title_boost_weak,True,0.65,6.0,6.0,0.04,0.04,0.03,0.0,0.02,4,0.0,0.0,0.0,0.035,0.0,0.08,0.28242105263157896,2.2079999999999997,4.7669999999999995,8,4.637,3.3630000000000004,2,6.018,4.018,3,5.456,2.4560000000000004,14,10.309999999999999,3.6900000000000013,6,9.347999999999999,3.347999999999999,16,12.112,3.888,15,17.842,2.8419999999999987,11,15.767,4.7669999999999995,-0.022800000000000153
6,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_weak,True,0.65,6.0,6.0,0.0,0.0,0.03,0.0,0.02,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2818263157894737,2.2196,4.741999999999999,8,4.673,3.327,2,6.105,4.105,3,5.313,2.3129999999999997,14,10.119000000000002,3.8809999999999985,6,9.278999999999998,3.278999999999998,16,12.139,3.8610000000000007,15,17.878999999999998,2.878999999999998,11,15.741999999999999,4.741999999999999,-0.011200000000000099
7,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_mid,True,0.65,6.0,6.0,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2806157894736842,2.2199,4.676,8,4.751000000000001,3.2489999999999988,2,5.998,3.998,3,5.295999999999999,2.2959999999999994,14,10.221000000000002,3.778999999999998,6,9.388000000000002,3.3880000000000017,16,12.103,3.8970000000000002,15,17.943999999999996,2.9439999999999955,11,15.676,4.676,-0.01089999999999991
8,prev040_decay0995,0.4,0.995,0.2,1000,relegation_mid_leader_chaser_mid,True,0.65,6.0,6.0,0.04,0.04,0.0,0.0,0.0,4,0.04,0.04,0.03,0.035,0.015,0.08,0.28447894736842105,2.2219,4.961,8,4.751,3.2489999999999997,2,6.147999999999999,4.147999999999999,3,5.321999999999999,2.321999999999999,14,10.359,3.641,6,9.180000000000001,3.1800000000000015,16,11.962,4.038,15,17.922,2.9220000000000006,11,15.961,4.961,-0.008899999999999686
9,prev040_decay0995,0.4,0.995,0.2,1000,pressure_off,False,0.65,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28095263157894734,2.2308,4.818000000000001,8,4.7330000000000005,3.2669999999999995,2,6.011000000000001,4.011000000000001,3,5.285,2.285,14,10.398,3.6020000000000003,6,9.461000000000002,3.461000000000002,16,11.857999999999999,4.142000000000001,15,17.853,2.8530000000000015,11,15.818000000000001,4.818000000000001,0.0
10,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_mid_window4,True,0.65,6.0,4.0,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2815,2.2393,4.6579999999999995,8,4.641,3.359,2,6.024,4.024,3,5.363,2.3630000000000004,14,10.067000000000002,3.932999999999998,6,9.373000000000001,3.373000000000001,16,12.164999999999997,3.8350000000000026,15,17.872999999999998,2.8729999999999976,11,15.658,4.6579999999999995,0.008500000000000174
11,prev040_decay0995,0.4,0.995,0.2,1000,leader_debuff_chaser_boost_mid,True,0.65,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.04,0.04,0.03,0.0,0.015,0.05,0.2831526315789474,2.2528,5.005000000000003,8,4.629,3.3710000000000004,2,6.041,4.041,3,5.454,2.4539999999999997,14,10.16,3.84,6,9.358,3.3580000000000005,16,11.765,4.234999999999999,15,17.814,2.814,11,16.005000000000003,5.005000000000003,0.02200000000000024
12,prev040_decay0995,0.4,0.995,0.2,1000,leader_debuff_chaser_boost_late070,True,0.7,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.04,0.04,0.03,0.0,0.015,0.05,0.2829315789473684,2.258,5.059999999999999,8,4.621999999999999,3.378000000000001,2,6.090000000000001,4.090000000000001,3,5.43,2.4299999999999997,14,10.167000000000003,3.8329999999999966,6,9.388000000000002,3.3880000000000017,16,11.749,4.2509999999999994,15,17.797,2.7970000000000006,11,16.06,5.059999999999999,0.027200000000000113
13,prev040_decay0995,0.4,0.995,0.2,1000,leader_debuff_chaser_boost_weak,True,0.65,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.03,0.03,0.02,0.0,0.01,0.04,0.28245263157894734,2.26,4.907,8,4.601,3.399,2,6.079,4.079,3,5.510999999999998,2.5109999999999983,14,10.139999999999999,3.860000000000001,6,9.464,3.4640000000000004,16,11.791000000000002,4.208999999999998,15,17.799,2.7989999999999995,11,15.907,4.907,0.029199999999999893
