season,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
2005,after_1_3,1,3,15,5,0.9950969754481911,0.9333333333333333,-0.061763642114857714,14.926454631722866,14.0,-0.9264546317228657,-0.7891071631172079,0.6655798788874924,1.0177071232967532,1.1333333333333333,0.1156262100365802,1.59727446407598,2.0,-0.4027255359240204,-1.111161342311278,0.3057102704632373,-0.2870993258874402,0.23585909998989343,0.28751967547851076,0.47662122453159583,0.5333333333333333,16.0
2005,after_1_5,1,5,25,5,0.955609548361967,0.92,-0.035609548361967044,23.890238709049175,23.0,-0.8902387090491761,-0.5678991535885655,0.49668005686463135,1.02352379682133,1.04,0.016476203178670122,1.681637816586571,1.68,0.0016378165865710414,-0.6163150595025281,0.6195906926756701,0.018114019765241202,0.22374778252747624,0.2843662007795383,0.49188601669298554,0.56,16.0
2005,after_1_10,1,10,46,5,1.0023618521030075,1.108695652173913,0.10633380007090576,46.108645196738344,51.0,4.891354803261665,-0.29719631699888593,0.5098639171406975,1.0937051269751945,1.2826086956521738,0.1889035686769793,1.6824490324818666,1.4565217391304348,0.22592729335143188,-0.18656718734620573,0.6384217740490695,0.4148308620284112,0.24015949735093436,0.28188336005020437,0.4779571425988614,0.5,16.869565217391305
2005,after_4_6,4,6,15,5,0.9344054682616506,1.0666666666666667,0.13226119840501588,14.01608202392476,16.0,1.9839179760752383,-0.5651580646330117,0.8296804614430435,1.0581747589378903,1.2666666666666666,0.20849190772877657,1.7728358522326795,1.1333333333333333,0.6395025188993465,-0.17341589875165941,1.4524209365503524,0.8479944266281229,0.21672610522172275,0.28422715259648246,0.49904674218179473,0.4666666666666667,16.0
2005,after_7_10,7,10,16,4,1.0728817838181692,1.3125,0.2396182161818307,17.166108541090708,21.0,3.8338914589092914,-0.4706460494956088,0.9498824818592702,1.1982629754587066,1.4375,0.23923702454129342,1.6775625468459987,1.25,0.4275625468459987,-0.12362854887367791,0.9787536425656753,0.6667995713872923,0.26615992499804586,0.27440200882403154,0.45943806617792254,0.5,18.5
2006,after_1_3,1,3,27,9,1.2693612076040934,1.3333333333333333,0.06397212572924008,34.27275260531052,36.0,1.727247394689482,-0.3199452466599464,0.4478894981184266,1.5899581558040494,1.7037037037037037,0.11374554789965403,1.7710496097047255,1.4444444444444444,0.32660516526028116,-0.08719181473748405,0.7404021452580464,0.4403507131599352,0.3394720822446892,0.2509449608700256,0.4095829568852852,0.48148148148148145,13.777777777777779
2006,after_1_5,1,5,44,9,1.244807724843473,1.2727272727272727,0.0279195478837999,54.77153989311281,56.0,1.2284601068871956,-0.3210799933814161,0.3769190891490159,1.5122963758847041,1.5454545454545454,0.03315816956984116,1.7476397526004959,1.5,0.24763975260049573,-0.09950172195278503,0.5947812271537765,0.28079792217033683,0.3296531060718546,0.2558484066279089,0.4144984873002365,0.5227272727272727,13.909090909090908
2006,after_1_10,1,10,83,9,1.2462743630912887,1.0,-0.2462743630912888,103.44077213657695,83.0,-20.44077213657697,-0.515226003073894,0.022677276891316434,1.433365083889462,1.4096385542168675,-0.02372652967259466,1.6616266465886893,1.7951807228915662,-0.13355407630287686,-0.45430727021704087,0.18719911761128716,-0.15728060597547158,0.3267821656070093,0.2659278662702609,0.40728996812272983,0.4939759036144578,14.060240963855422
2006,after_4_6,4,6,25,9,1.2421819194357635,0.84,-0.40218191943576337,31.054547985894086,21.0,-10.054547985894084,-0.923411001584536,0.11904716271300925,1.3729502950990495,1.32,-0.05295029509904973,1.623839814492169,1.84,-0.21616018550783067,-0.8480620704557746,0.4157416994401133,-0.2691104806068805,0.3234663567124711,0.2717828492983503,0.4047507939891786,0.6,14.24
2006,after_7_10,7,10,31,8,1.2294668240442699,0.8387096774193549,-0.39075714662491495,38.11347154537236,26.0,-12.113471545372363,-0.8671124142571369,0.08559812100730707,1.345699173504509,1.2258064516129032,-0.11989272189160559,1.5967960271783677,2.064516129032258,-0.4677201018538904,-1.0399448593702894,0.1045046556625086,-0.587612823745496,0.3184036969988189,0.27425573304781314,0.4073405699533679,0.41935483870967744,14.161290322580646
