window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
after_1_3,1,3,30,10,1.081470968588082,0.9333333333333333,-0.14813763525474852,32.444129057642456,28.0,-4.4441290576424555,-0.5824832984877429,0.28620802797824596,1.0686964084993533,1.0666666666666667,-0.0020297418326866417,1.519343871887844,1.7,-0.18065612811215545,-0.6775141982647387,0.31620194204042773,-0.18268586994484207,0.26776726394969214,0.2781691767390057,0.45406355931130243,0.5,21.0
after_1_5,1,5,50,10,1.0845771609266008,1.0,-0.08457716092660096,54.228858046330046,50.0,-4.228858046330048,-0.4265185375592694,0.2573642157060675,1.0614312556151488,1.12,0.05856874438485126,1.4876533811437174,1.54,-0.05234661885628254,-0.4192172332547261,0.314523995542161,0.006222125528568689,0.2659466174833412,0.2867373084765774,0.44731607404008145,0.5,21.0
after_1_10,1,10,94,10,1.1094473810854415,1.0106382978723405,-0.09880908321310103,104.2880538220315,95.0,-9.288053822031497,-0.3473554203316425,0.14973725390544046,1.0883517025741916,1.0319148936170213,-0.05643680895717027,1.4720571131972726,1.372340425531915,0.09971668766535684,-0.1474749559464471,0.34690833127716075,0.043279878708186593,0.2739658662384801,0.28754978237000095,0.4384843513915189,0.5106382978723404,20.74468085106383
after_4_6,4,6,30,10,1.1471040094386067,1.1666666666666667,0.019562657228059988,34.4131202831582,35.0,0.5868797168417996,-0.45352149808388004,0.49264681254000003,1.075984681406506,1.2,0.12401531859349389,1.372344786117654,1.2333333333333334,0.13901145278432087,-0.25351732447081526,0.5315402300394569,0.26302677137781466,0.28176053905689785,0.30182239226791324,0.416417068675189,0.5333333333333333,21.0
after_7_10,7,10,34,9,1.1009060141538483,0.9411764705882353,-0.15972954356561306,37.430804481230844,32.0,-5.430804481230844,-0.5589434958707475,0.23948440873952145,1.1166066866117124,0.8529411764705882,-0.26366551014112416,1.5183149676581937,1.2058823529411764,0.31243261471701717,-0.07704278418828636,0.7019080136223207,0.048767104575892894,0.2725575687123365,0.28323330801683894,0.44420912327082457,0.5,20.294117647058822
