window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate
after_1_3,1,3,24,8,1.1806701073399148,1.125,-0.05567010733991484,28.336082576157956,27.0,-1.3360825761579562,-0.5297180470768741,0.4519248861023389,1.1588991085804985,1.0833333333333333,-0.0755657752471652,1.4214940256860855,1.5416666666666667,-0.12017264098058124,0.29779983614752403,0.2872705988973425,0.4149295649551334,0.5
after_1_5,1,5,41,9,1.203527864962087,1.1951219512195121,-0.00840591374257469,49.34464246344557,49.0,-0.34464246344556226,-0.3969636045700178,0.41440486478513794,1.1775647581990667,1.1219512195121952,-0.05561353868687161,1.406775397872885,1.3170731707317074,0.08970222714117748,0.3051480047317599,0.2880838507668069,0.406768144501433,0.4878048780487805
after_1_10,1,10,85,10,1.1959763927006208,1.035294117647059,-0.16068227505356206,101.65799337955276,88.0,-13.657993379552774,-0.4230194326691855,0.10755563586467007,1.1843898955964967,0.9529411764705882,-0.2314487191259086,1.443012945710552,1.2823529411764707,0.16066000453408152,0.30362611908358933,0.2850980354498529,0.41127584546655793,0.5176470588235295
after_4_6,4,6,26,9,1.230459277702664,1.2307692307692308,0.00030995306656679864,31.99194122026926,32.0,0.008058779730736765,-0.5049366624345243,0.5108202078066792,1.2294435552418206,1.1153846153846154,-0.11405893985720518,1.4351717669607023,1.0384615384615385,0.39671022849916354,0.3149514726525458,0.28560485974502664,0.39944366760242755,0.5
after_7_10,7,10,35,9,1.1808562738035873,0.8285714285714286,-0.35228484523215875,41.32996958312555,29.0,-12.329969583125557,-0.7178020657379757,0.03249251300383655,1.168400859528084,0.7428571428571429,-0.425543716670941,1.463593652227218,1.2857142857142858,0.17787936651293207,0.29920816473138073,0.28323177960944507,0.41756005565917415,0.5428571428571428
