model_version,event_id,season,team,old_manager,new_manager,last_old_manager_match_date,effective_change_date,next_change_date,stop_at_next_manager_change,games_after_change,date,home,away,opponent,is_home,actual_home_goal,actual_away_goal,actual_goals_for,actual_goals_against,lambda_home,lambda_away,lambda_for,lambda_against,expected_goals_for_score_grid,expected_goals_against_score_grid,home_win_prob,draw_prob,away_win_prob,team_win_prob,team_draw_prob,team_loss_prob,expected_points,actual_points,points_residual,goal_for_residual,goal_against_residual,goals_against_improvement,goal_diff_residual,team_elo_at_cutoff,opponent_elo_at_cutoff,matchup_effect_at_cutoff,n_train_matches_at_cutoff,team_games_in_train_at_cutoff,team_prev_games,team_effective_prev_weight
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,1,2023-06-24,FC東京,名古屋,名古屋,True,2,0,2,0,1.2592853551097325,1.483110642083703,1.2592853551097325,1.483110642083703,1.2468775344782301,1.4554559148612805,0.29994943236927396,0.3048246854274499,0.39522588220327637,0.29994943236927396,0.3048246854274499,0.39522588220327637,1.2046729825352718,3,1.7953270174647282,0.7407146448902675,-1.483110642083703,1.483110642083703,2.2238252869739705,1474.3075807527803,1567.8706549714868,0.030850995535680176,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,2,2023-07-01,FC東京,柏,柏,True,1,0,1,0,1.843271754275975,0.9169861681730535,1.843271754275975,0.9169861681730535,1.7947849042125559,0.9222777195169154,0.5573418221173821,0.26984365698819635,0.17281452089442162,0.5573418221173821,0.26984365698819635,0.17281452089442162,1.9418691233403427,3,1.0581308766596573,-0.8432717542759749,-0.9169861681730535,0.9169861681730535,0.07371441389707856,1474.3075807527803,1426.229179760879,-0.015508548411395791,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,3,2023-07-08,浦和,FC東京,浦和,False,0,0,0,0,2.291127268782678,0.7001529350714251,0.7001529350714251,2.291127268782678,0.7113048451228714,2.2371040160722293,0.7032166870863188,0.20337234935987736,0.09341096355380389,0.09341096355380389,0.20337234935987736,0.7032166870863188,0.483605240021289,1,0.516394759978711,-0.7001529350714251,-2.291127268782678,2.291127268782678,1.5909743337112527,1474.3075807527803,1557.3234991779466,-0.048987016385833804,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,4,2023-07-16,FC東京,鹿島,鹿島,True,1,3,1,3,1.061308008039096,1.4762261436679083,1.061308008039096,1.4762261436679083,1.0540191453247452,1.4396596114315845,0.25289969758160696,0.31292697330159597,0.43417332911679724,0.25289969758160696,0.31292697330159597,0.43417332911679724,1.071626066046417,0,-1.071626066046417,-0.061308008039095974,1.5237738563320917,-1.5237738563320917,-1.5850818643711877,1474.3075807527803,1552.177325572027,-0.004881487834034279,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,5,2023-08-06,C大阪,FC東京,C大阪,False,0,1,1,0,1.7381167030413764,0.7955716171783056,0.7955716171783056,1.7381167030413764,0.8006790951283488,1.6858060463708204,0.5618159917930374,0.28009700816321476,0.15808700004374793,0.15808700004374793,0.28009700816321476,0.5618159917930374,0.7543580082944585,3,2.2456419917055417,0.2044283828216944,-1.7381167030413764,1.7381167030413764,1.9425450858630708,1474.3075807527803,1540.921460546103,-0.011035086256529112,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,6,2023-08-12,FC東京,京都,京都,True,2,0,2,0,2.1858052330590825,1.5388633661586206,2.1858052330590825,1.5388633661586206,2.1532329509684365,1.5398377146344246,0.4975020682382929,0.2461695268306217,0.25632840493108544,0.4975020682382929,0.2461695268306217,0.25632840493108544,1.7386757315455004,3,1.2613242684544996,-0.18580523305908248,-1.5388633661586206,1.5388633661586206,1.3530581330995382,1474.3075807527803,1435.0035369045336,-0.03600180278072281,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,7,2023-08-19,横浜FM,FC東京,横浜FM,False,2,1,1,2,2.9177942425562895,0.5704475728949732,0.5704475728949732,2.9177942425562895,0.5806844659736233,2.869912419016067,0.8262107426279248,0.12833641505445983,0.045452842317615344,0.045452842317615344,0.12833641505445983,0.8262107426279248,0.26469494200730587,0,-0.26469494200730587,0.42955242710502684,-0.9177942425562895,0.9177942425562895,1.3473466696613166,1474.3075807527803,1654.9664878390527,0.03311318550118094,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,8,2023-08-26,FC東京,神戸,神戸,True,2,2,2,2,1.5027044337452062,2.0653609272016973,1.5027044337452062,2.0653609272016973,1.5016868831275143,2.0339248234405796,0.2655874153132245,0.2547464171162681,0.4796661675705074,0.2655874153132245,0.2547464171162681,0.4796661675705074,1.0515086630559416,1,-0.051508663055941595,0.49729556625479376,-0.06536092720169728,0.06536092720169728,0.562656493456491,1474.3075807527803,1581.3188621947713,0.002594585593413726,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,9,2023-09-03,FC東京,福岡,福岡,True,1,2,1,2,2.230019121174587,0.9398949345819377,2.230019121174587,0.9398949345819377,2.1801745923520928,0.9501661571055747,0.6349891971783079,0.22616517014337886,0.13884563267831293,0.6349891971783079,0.22616517014337886,0.13884563267831293,2.1311327616783027,0,-2.1311327616783027,-1.2300191211745868,1.0601050654180622,-1.0601050654180622,-2.290124186592649,1474.3075807527803,1446.4903029050529,-0.09709486251166607,151,17,34,0.2
v1.5_counterfactual,E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,,True,10,2023-09-15,川崎F,FC東京,川崎F,False,1,0,0,1,1.5207370357122132,0.5773359885677379,0.5773359885677379,1.5207370357122132,0.5812025962456573,1.459506653131118,0.5622417966249438,0.30779501079780225,0.1299631925772543,0.1299631925772543,0.30779501079780225,0.5622417966249438,0.6976845885295652,0,-0.6976845885295652,-0.5773359885677379,-0.5207370357122132,0.5207370357122132,-0.05659895285552474,1474.3075807527803,1578.255514608496,-0.003230879243093022,151,17,34,0.2
