event_id,season,team,old_manager,new_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,games_after_change,date,opponent,is_home_schedule,match_id,match_url,merge_date,target_year,date_v15,is_home,home,away,actual_goals_for,actual_goals_against,lambda_for,lambda_against,team_win_prob,team_draw_prob,team_loss_prob,expected_points,actual_points,points_residual,goal_for_residual,goals_against_improvement,actual_home_goal,actual_away_goal,lambda_home,lambda_away
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,5,2023-06-24,新潟,True,20230624012,https://soccer-db.net/result/20230624012,2023-06-24,2023.0,2023-06-24,True,柏,新潟,0.0,0.0,1.239580246717136,1.3638109186526768,0.3151419697185262,0.3157288781608007,0.369129152120673,1.2611547873163795,1.0,-0.26115478731637953,-1.239580246717136,1.3638109186526768,0.0,0.0,1.239580246717136,1.3638109186526768
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,6,2023-07-01,FC東京,False,20230701005,https://soccer-db.net/result/20230701005,2023-07-01,2023.0,2023-07-01,False,FC東京,柏,0.0,1.0,0.9104516756773396,1.8420340225669587,0.1715747850558746,0.2698181484883865,0.5586070664557387,0.7845425036560105,0.0,-0.7845425036560105,-0.9104516756773396,0.8420340225669587,1.0,0.0,1.8420340225669587,0.9104516756773396
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,7,2023-07-08,湘南,True,20230708004,https://soccer-db.net/result/20230708004,2023-07-08,2023.0,2023-07-08,True,柏,湘南,1.0,1.0,1.1552042194814287,1.6738396793794728,0.2464324875316351,0.2902975428694451,0.4632699695989198,1.0295950054643503,1.0,-0.029595005464350344,-0.1552042194814287,0.6738396793794728,1.0,1.0,1.1552042194814287,1.6738396793794728
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,8,2023-07-16,G大阪,False,20230716005,https://soccer-db.net/result/20230716005,2023-07-16,2023.0,2023-07-16,False,G大阪,柏,1.0,3.0,0.9176090023044736,1.3015505681058697,0.2456608396428935,0.33,0.4243391603571065,1.0669825189286806,0.0,-1.0669825189286806,0.08239099769552638,-1.6984494318941303,3.0,1.0,1.3015505681058697,0.9176090023044736
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,9,2023-08-06,京都,False,20230806005,https://soccer-db.net/result/20230806005,2023-08-06,2023.0,2023-08-06,False,京都,柏,1.0,0.0,1.0383076049774689,0.7543361744170286,0.4118179887365982,0.3300000000000001,0.2581820112634017,1.5654539662097948,3.0,1.4345460337902052,-0.03830760497746888,0.7543361744170286,0.0,1.0,0.7543361744170286,1.0383076049774689
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,10,2023-08-12,C大阪,True,20230812003,https://soccer-db.net/result/20230812003,2023-08-12,2023.0,2023-08-12,True,柏,C大阪,1.0,1.0,0.9215778968156642,2.156633287292109,0.142200594655495,0.2332964223145433,0.6245029830299618,0.6598982062810284,1.0,0.34010179371897165,0.07842210318433585,1.156633287292109,1.0,1.0,0.9215778968156642,2.156633287292109
E003,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-14,2024-07-20,2024-07-20,1,2024-07-20,町田,False,20240720001,https://soccer-db.net/result/20240720001,2024-07-20,2024.0,2024-07-20,False,町田,横浜FM,2.0,1.0,1.3130909821441985,1.9666216181685665,0.2404058744312229,0.2625850580719603,0.4970090674968168,0.983802681365629,3.0,2.016197318634371,0.6869090178558015,0.9666216181685665,1.0,2.0,1.9666216181685665,1.3130909821441985
E003,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-14,2024-07-20,2024-07-20,2,2024-08-07,札幌,True,20240807009,https://soccer-db.net/result/20240807009,2024-08-07,2024.0,2024-08-07,True,横浜FM,札幌,3.0,2.0,2.9537541696705136,0.8677040779509654,0.7713811243427473,0.1512789859165246,0.0773398897407281,2.4654223589447666,3.0,0.5345776410552334,0.04624583032948637,-1.1322959220490345,3.0,2.0,2.9537541696705136,0.8677040779509654
E003,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-14,2024-07-20,2024-07-20,3,2024-08-11,神戸,True,20240811008,https://soccer-db.net/result/20240811008,2024-08-11,2024.0,2024-08-11,True,横浜FM,神戸,1.0,2.0,0.9330177596370144,1.379311807211415,0.2349221360561212,0.3286045905246901,0.4364732734191888,1.0333709986930537,0.0,-1.0333709986930537,0.06698224036298561,-0.620688192788585,1.0,2.0,0.9330177596370144,1.379311807211415
E003,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-14,2024-07-20,2024-07-20,4,2024-08-17,川崎F,False,20240817008,https://soccer-db.net/result/20240817008,2024-08-17,2024.0,2024-08-17,False,川崎F,横浜FM,3.0,1.0,1.4160895837890746,2.1536052116502638,0.2366316518754072,0.2478368657196414,0.5155314824049513,0.957731821345863,3.0,2.042268178654137,1.5839104162109254,1.1536052116502638,1.0,3.0,2.1536052116502638,1.4160895837890746
