event_id,season,team,old_manager,new_manager,effective_change_date,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
J1C_2005_0001,2005,名古屋,ネルシーニョ,中田 仁司,2005-09-24,after_1_3,1,3,3,1,1.4105720000116773,1.0,-0.4105720000116775,4.231716000035032,3.0,-1.2317160000350325,-2.951220849794437,2.1300768497710822,1.3857766631659576,1.3333333333333333,-0.05244332983262412,1.2522570894490332,2.6666666666666665,-1.4144095772176335,-3.268424846137349,0.43960569170208186,-1.4668529070502576,0.37076679913357474,0.29827160261095326,0.33096159825547206,0.6666666666666666,24.0
J1C_2005_0001,2005,名古屋,ネルシーニョ,中田 仁司,2005-09-24,after_1_5,1,5,5,1,1.31031782741033,0.6,-0.71031782741033,6.55158913705165,3.0,-3.55158913705165,-2.1674512273758526,0.7468155725551925,1.2837567834826553,1.0,-0.2837567834826552,1.337050905545166,2.2,-0.8629490944548339,-2.214464149185615,0.4885659602759471,-1.1467058779374892,0.33773888877872454,0.2971011610741564,0.3651599501471191,0.6,24.0
J1C_2005_0001,2005,名古屋,ネルシーニョ,中田 仁司,2005-09-24,after_1_10,1,10,10,1,1.3896764078090702,0.7,-0.6896764078090701,13.896764078090703,7.0,-6.896764078090701,-1.5771987074356528,0.19784589181751244,1.4483963447773356,1.0,-0.4483963447773357,1.3813003380663447,1.8,-0.4186996619336556,-1.2703065836231358,0.43290725975582445,-0.8670960067109913,0.3669359495767287,0.2888685590788841,0.34419549134438726,0.5,24.0
J1C_2005_0001,2005,名古屋,ネルシーニョ,中田 仁司,2005-09-24,after_4_6,4,6,3,1,1.2710754429394775,0.0,-1.2710754429394775,3.8132263288184327,0.0,-3.8132263288184327,-1.7595070652224005,-0.7826438206565546,1.1989559671615386,1.0,-0.19895596716153863,1.34315176554174,2.0,-0.6568482344582601,-2.2917329350449065,0.9780364661283864,-0.8558042016197988,0.32181441651063675,0.30563219340756737,0.37255339008179594,0.3333333333333333,24.0
J1C_2005_0001,2005,名古屋,ネルシーニョ,中田 仁司,2005-09-24,after_7_10,7,10,4,1,1.462955437309309,1.0,-0.46295543730930905,5.851821749237236,4.0,-1.8518217492372362,-1.910612762190287,0.9847018875716691,1.6824413891977172,0.75,-0.9324413891977172,1.5066942039227813,1.0,0.5066942039227814,-0.023316741448854095,1.0367051492944168,-0.42574718527493566,0.3979039622086631,0.2692435506833199,0.332852487108017,0.5,24.0
J1C_2005_0002,2005,大分,ファンボ グァン,ペリクレス シャムスカ,2005-09-03,after_1_3,1,3,3,1,0.8615612588224666,2.0,1.1384387411775334,2.5846837764673998,6.0,3.4153162235326002,-0.8435820468859576,3.1204595292410247,0.7583935428094676,1.6666666666666667,0.908273123857199,1.4695635388056498,1.0,0.46956353880565005,-0.782451303604047,1.7215783812153471,1.3778366626628493,0.18450935048621067,0.3080332073638345,0.5074574421499548,0.6666666666666666,21.0
J1C_2005_0002,2005,大分,ファンボ グァン,ペリクレス シャムスカ,2005-09-03,after_1_5,1,5,5,1,0.841401125874197,2.0,1.1585988741258029,4.207005629370985,10.0,5.792994370629015,-0.08288604134034472,2.4000837895919505,0.766581036917053,1.6,0.8334189630829469,1.5187722825740653,0.6,0.9187722825740654,0.044590357506964606,1.7929542076411662,1.7521912456570123,0.1787427048314714,0.3051730113797828,0.5160842837887457,0.4,21.0
J1C_2005_0002,2005,大分,ファンボ グァン,ペリクレス シャムスカ,2005-09-03,after_1_10,1,10,10,1,0.7868245582400049,2.0,1.2131754417599951,7.868245582400049,20.0,12.131754417599952,0.3370482618556858,2.0893026216643045,0.7907372537067638,2.0,1.2092627462932362,1.700192982659496,0.6,1.1001929826594963,0.5860197455316701,1.6143662197873225,2.3094557289527327,0.16659802897068562,0.2870304713279479,0.5463714997013664,0.5,21.0
J1C_2005_0002,2005,大分,ファンボ グァン,ペリクレス シャムスカ,2005-09-03,after_4_6,4,6,3,1,0.8560285996796836,2.3333333333333335,1.4773047336536498,2.568085799039051,7.0,4.431914200960949,0.2416159391527255,2.7129935281545743,0.7704137289690625,2.6666666666666665,1.8962529376976043,1.4921209613286892,0.0,1.4921209613286892,1.2695055883702815,1.714736334287097,3.3883738990262935,0.18181337380351556,0.3105884782691368,0.5075981479273475,0.3333333333333333,21.0
J1C_2005_0002,2005,大分,ファンボ グァン,ペリクレス シャムスカ,2005-09-03,after_7_10,7,10,4,1,0.6788690017233994,1.75,1.0711309982766006,2.7154760068935975,7.0,4.2845239931064025,-0.640920935011362,2.7831829315645633,0.8302376804330122,1.75,0.919762319566988,2.0292190815479865,0.75,1.2792190815479865,0.5022084963222126,2.0562296667737603,2.1989814011149744,0.1417530292094194,0.2536099140951413,0.6046370566954393,0.5,21.0
