date,home,away,home_goals,away_goals,home_shots_official,away_shots_official,home_ck,away_ck,home_fk,away_fk,home_first_half_goals,away_first_half_goals,home_second_half_goals,away_second_half_goals,home_livetxt,away_livetxt,home_shots_livetxt,away_shots_livetxt,home_shots_on_target,away_shots_on_target,home_xg,away_xg,livetxt_found,url
2024-03-30,広島,G大阪,1,1,18,7,8,3,21,12,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033001/live/
2024-03-30,新潟,柏,1,1,6,14,4,10,13,9,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033002/live/
2024-03-30,神戸,札幌,6,1,23,5,6,1,15,11,3,0,3,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033003/live/
2024-03-30,鹿島,磐田,1,0,10,14,5,4,13,13,1,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033004/live/
2024-03-30,浦和,福岡,2,1,14,4,7,4,19,6,0,1,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033005/live/
2024-03-30,町田,鳥栖,3,1,13,9,0,1,9,17,1,1,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033006/live/
2024-03-30,川崎F,FC東京,3,0,18,4,5,4,20,18,1,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033007/live/
2024-03-30,名古屋,横浜FM,2,1,11,14,2,9,19,21,0,0,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033008/live/
2024-03-30,C大阪,湘南,2,0,10,9,5,11,19,10,0,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/033009/live/
2024-04-03,柏,C大阪,1,1,19,8,6,7,4,11,1,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040301/live/
2024-04-03,町田,広島,1,2,3,9,2,4,9,22,0,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040302/live/
2024-04-03,横浜FM,川崎F,0,0,15,11,14,5,17,15,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040303/live/
2024-04-03,湘南,東京V,1,2,12,5,6,2,11,17,1,0,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040304/live/
2024-04-03,磐田,新潟,2,0,14,10,8,5,7,13,0,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040305/live/
2024-04-03,G大阪,京都,0,0,13,11,6,6,16,18,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040306/live/
2024-04-03,福岡,鹿島,1,0,5,6,9,1,8,18,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040307/live/
2024-04-03,鳥栖,神戸,0,0,8,6,5,12,10,14,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040308/live/
2024-04-03,札幌,名古屋,1,2,6,5,8,1,13,11,1,0,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040309/live/
2024-04-03,FC東京,浦和,2,1,13,11,8,6,11,12,0,1,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040310/live/
2024-04-06,札幌,G大阪,1,0,9,11,6,4,18,15,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040601/live/
2024-04-07,東京V,柏,1,1,7,8,6,4,17,12,1,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040701/live/
2024-04-07,新潟,C大阪,0,1,6,5,7,4,9,8,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040702/live/
2024-04-07,京都,磐田,0,3,11,12,9,14,14,12,0,0,0,3,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040703/live/
2024-04-07,神戸,横浜FM,1,2,17,18,4,10,16,14,0,0,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040704/live/
2024-04-07,広島,湘南,2,0,28,5,12,6,22,12,0,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040705/live/
2024-04-07,浦和,鳥栖,3,0,19,4,4,2,13,12,1,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040706/live/
2024-04-07,川崎F,町田,0,1,12,8,8,5,16,12,0,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040707/live/
2024-04-07,名古屋,福岡,0,0,3,12,2,8,14,14,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040708/live/
2024-04-07,FC東京,鹿島,2,0,10,10,6,4,7,16,0,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/040709/live/
2024-04-10,横浜FM,G大阪,2,0,11,21,3,11,14,13,0,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041010/live/
2024-04-12,柏,浦和,1,0,13,8,5,3,10,8,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041201/live/
2024-04-13,新潟,札幌,1,1,10,4,5,6,14,11,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041301/live/
2024-04-13,磐田,名古屋,0,1,9,5,6,2,13,21,0,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041302/live/
2024-04-13,福岡,広島,1,1,7,10,4,6,10,24,1,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041303/live/
2024-04-13,鹿島,京都,1,0,15,4,7,4,16,9,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041304/live/
2024-04-13,町田,神戸,1,2,11,13,7,4,12,10,0,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041305/live/
2024-04-13,横浜FM,湘南,2,2,15,16,6,3,22,15,1,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041306/live/
2024-04-13,C大阪,川崎F,1,0,12,12,6,7,16,13,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041307/live/
2024-04-13,東京V,FC東京,2,2,9,7,5,5,14,15,2,0,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041308/live/
2024-04-14,G大阪,鳥栖,2,1,20,9,16,3,8,9,1,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/041401/live/
2024-04-20,札幌,広島,1,1,4,18,1,8,10,12,1,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042001/live/
2024-04-20,京都,新潟,0,1,8,8,8,7,19,18,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042003/live/
2024-04-20,鳥栖,鹿島,4,2,12,12,8,8,10,14,2,1,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042004/live/
2024-04-20,湘南,神戸,0,1,10,14,6,10,13,12,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042005/live/
2024-04-20,福岡,磐田,2,2,9,5,4,2,12,16,0,1,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042006/live/
2024-04-20,浦和,G大阪,0,1,12,4,11,0,13,11,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042007/live/
2024-04-20,川崎F,東京V,0,0,13,11,9,6,17,17,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042008/live/
2024-04-21,FC東京,町田,1,2,13,4,6,3,20,14,1,2,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042101/live/
2024-04-21,名古屋,C大阪,2,1,6,11,3,10,9,20,0,0,2,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042102/live/
2024-04-27,札幌,湘南,3,3,12,11,6,3,14,14,2,0,1,3,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042701/live/
2024-04-27,新潟,FC東京,1,3,10,7,6,2,11,10,0,1,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042702/live/
2024-04-27,磐田,町田,2,0,7,16,4,9,11,12,0,0,2,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042703/live/
2024-04-27,神戸,京都,0,1,29,5,13,6,11,6,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042704/live/
2024-04-27,C大阪,横浜FM,2,2,16,7,8,5,14,10,1,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042705/live/
2024-04-28,東京V,福岡,0,0,6,7,9,5,9,8,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042801/live/
2024-04-28,広島,川崎F,2,2,23,12,8,3,15,13,1,0,1,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042802/live/
2024-04-28,浦和,名古屋,2,1,8,13,4,5,11,15,1,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042803/live/
2024-04-28,柏,鳥栖,1,1,15,3,7,4,13,12,1,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042804/live/
2024-04-28,G大阪,鹿島,1,2,3,8,6,4,17,18,1,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/042805/live/
