team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
ヴィッセル神戸,サガン鳥栖,23,10,8,5,38,20,12,18,0.43478260869565216,0.34782608695652173,0.21739130434782608,38,1.6521739130434783
ヴィッセル神戸,ジェフユナイテッド千葉,23,10,4,9,40,41,11,-1,0.43478260869565216,0.17391304347826086,0.391304347826087,34,1.4782608695652173
ヴィッセル神戸,東京ヴェルディ,23,6,6,11,29,35,12,-6,0.2608695652173913,0.2608695652173913,0.4782608695652174,24,1.0434782608695652
ヴィッセル神戸,大宮アルディージャ,20,10,7,3,33,17,10,16,0.5,0.35,0.15,37,1.85
ヴィッセル神戸,大分トリニータ,18,6,6,6,21,29,9,-8,0.3333333333333333,0.3333333333333333,0.3333333333333333,24,1.3333333333333333
ヴィッセル神戸,ヴァンフォーレ甲府,12,6,1,5,23,17,6,6,0.5,0.08333333333333333,0.4166666666666667,19,1.5833333333333333
ヴィッセル神戸,横浜ＦＣ,10,6,1,3,19,6,5,13,0.6,0.1,0.3,19,1.9
ヴィッセル神戸,モンテディオ山形,8,4,1,3,9,7,4,2,0.5,0.125,0.375,13,1.625
ヴィッセル神戸,徳島ヴォルティス,4,2,2,0,7,3,2,4,0.5,0.5,0.0,8,2.0
ヴィッセル神戸,ＦＣ町田ゼルビア,4,2,1,1,3,3,2,0,0.5,0.25,0.25,7,1.75
ヴィッセル神戸,松本山雅ＦＣ,4,2,0,2,5,6,2,-1,0.5,0.0,0.5,6,1.5
ヴィッセル神戸,横浜フリューゲルス,4,0,0,4,7,14,2,-7,0.0,0.0,1.0,0,0.0
ヴィッセル神戸,ファジアーノ岡山,2,2,0,0,4,1,1,3,1.0,0.0,0.0,6,3.0
ヴィッセル神戸,Ｖ・ファーレン長崎,2,1,1,0,2,1,1,1,0.5,0.5,0.0,4,2.0
ヴィッセル神戸,"サンフレッチェ広島 2 (3) Result (2) 2 セレッソ大阪 観客:6,234 S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Y Y Referee: 小幡 真一郎 1997.07.05 清水エスパルス",1,1,0,0,4,2,0,2,1.0,0.0,0.0,3,3.0
ヴィッセル神戸,サンフレッチェ広島 S S S S S S S S S S S S S S S S S S S Y Y Referee: 岡部 拓人 2021.05.01 サガン鳥栖 2 Result 0 徳島ヴォルティス,1,1,0,0,3,0,1,3,1.0,0.0,0.0,3,3.0
ヴィッセル神戸,"名古屋グランパス 1 (5) Result (3) 1 セレッソ大阪 観客:9,288 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: モハメド ナザリー 1998.09.26 東京ヴェルディ",1,1,0,0,2,1,0,1,1.0,0.0,0.0,3,3.0
"ヴィッセル神戸 5 (5) Result (3) 5 ジェフユナイテッド千葉 観客:2,091 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 片山 義継 1998.10.14 浦和レッズ",北海道コンサドーレ札幌,1,1,0,0,2,1,1,1,1.0,0.0,0.0,3,3.0
京都サンガF.C.,名古屋グランパス,30,8,8,14,34,43,15,-9,0.26666666666666666,0.26666666666666666,0.4666666666666667,32,1.0666666666666667
京都サンガF.C.,横浜Ｆ・マリノス,30,8,3,19,33,59,15,-26,0.26666666666666666,0.1,0.6333333333333333,27,0.9
京都サンガF.C.,鹿島アントラーズ,30,6,6,18,27,59,15,-32,0.2,0.2,0.6,24,0.8
京都サンガF.C.,ガンバ大阪,29,9,5,15,37,52,15,-15,0.3103448275862069,0.1724137931034483,0.5172413793103449,32,1.103448275862069
京都サンガF.C.,浦和レッズ,27,6,6,15,20,49,13,-29,0.2222222222222222,0.2222222222222222,0.5555555555555556,24,0.8888888888888888
