year,date,home,away,home_goal,away_goal,home_raw,away_raw,source_url
1993,1993-06-05,"東京ヴェルディ 1 (5) Result (4) 1 横浜フリューゲルス 観客:54,995 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 菊地 秀夫 1993.06.05 横浜Ｆ・マリノス",鹿島アントラーズ,0,2,"東京ヴェルディ 1 (5) Result (4) 1 横浜フリューゲルス 観客:54,995 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 菊地 秀夫 1993.06.05 横浜Ｆ・マリノス",鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,"ガンバ大阪 1 (3) Result (4) 1 サンフレッチェ広島 観客:19,351 S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 田中 賢二 1993.06.09 鹿島アントラーズ",浦和レッズ,3,1,"ガンバ大阪 1 (3) Result (4) 1 サンフレッチェ広島 観客:19,351 S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 田中 賢二 1993.06.09 鹿島アントラーズ",浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,名古屋グランパス,東京ヴェルディ,3,1,名古屋グランパス,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,横浜フリューゲルス,ジェフユナイテッド千葉,1,0,横浜フリューゲルス,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,清水エスパルス,横浜Ｆ・マリノス,1,2,清水エスパルス,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,サンフレッチェ広島,鹿島アントラーズ,0,1,サンフレッチェ広島,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,ジェフユナイテッド千葉,名古屋グランパス,3,1,ジェフユナイテッド千葉,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,東京ヴェルディ,ガンバ大阪,1,0,東京ヴェルディ,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,横浜Ｆ・マリノス,横浜フリューゲルス,3,2,横浜Ｆ・マリノス,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,浦和レッズ,清水エスパルス,2,1,浦和レッズ,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-16,ガンバ大阪,横浜Ｆ・マリノス,2,1,ガンバ大阪,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-16,サンフレッチェ広島,清水エスパルス,0,3,サンフレッチェ広島,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-16,名古屋グランパス,浦和レッズ,3,1,名古屋グランパス,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-16,東京ヴェルディ,ジェフユナイテッド千葉,2,1,東京ヴェルディ,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-16,横浜フリューゲルス,鹿島アントラーズ,2,0,横浜フリューゲルス,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-19,ジェフユナイテッド千葉,サンフレッチェ広島,1,0,ジェフユナイテッド千葉,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-19,名古屋グランパス,鹿島アントラーズ,0,4,名古屋グランパス,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-19,横浜Ｆ・マリノス,東京ヴェルディ,2,0,横浜Ｆ・マリノス,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-19,浦和レッズ,ガンバ大阪,1,3,浦和レッズ,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-19,清水エスパルス,横浜フリューゲルス,1,0,清水エスパルス,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-23,横浜フリューゲルス,名古屋グランパス,1,2,横浜フリューゲルス,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-23,横浜Ｆ・マリノス,サンフレッチェ広島,3,2,横浜Ｆ・マリノス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-23,浦和レッズ,ジェフユナイテッド千葉,2,3,浦和レッズ,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-23,清水エスパルス,ガンバ大阪,3,2,清水エスパルス,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-23,鹿島アントラーズ,東京ヴェルディ,3,2,鹿島アントラーズ,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-26,ガンバ大阪,鹿島アントラーズ,2,4,ガンバ大阪,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-26,サンフレッチェ広島,横浜フリューゲルス,1,2,サンフレッチェ広島,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-26,ジェフユナイテッド千葉,横浜Ｆ・マリノス,1,3,ジェフユナイテッド千葉,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-26,名古屋グランパス,清水エスパルス,3,1,名古屋グランパス,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-26,東京ヴェルディ,浦和レッズ,1,0,東京ヴェルディ,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-30,ガンバ大阪,横浜フリューゲルス,2,1,ガンバ大阪,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-30,サンフレッチェ広島,名古屋グランパス,2,0,サンフレッチェ広島,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-30,"東京ヴェルディ 1 (4) Result (2) 1 清水エスパルス 観客:10,067 S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 塩屋園 文一 1993.06.30 ジェフユナイテッド千葉",鹿島アントラーズ,0,2,"東京ヴェルディ 1 (4) Result (2) 1 清水エスパルス 観客:10,067 S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 塩屋園 文一 1993.06.30 ジェフユナイテッド千葉",鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-30,横浜Ｆ・マリノス,浦和レッズ,5,1,横浜Ｆ・マリノス,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-03,名古屋グランパス,ガンバ大阪,2,3,名古屋グランパス,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-03,"横浜フリューゲルス 0 (1) Result (3) 0 東京ヴェルディ 観客:14,552 S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Referee: マーティン ボデナム 1993.07.07 ジェフユナイテッド千葉",横浜フリューゲルス,1,0,"横浜フリューゲルス 0 (1) Result (3) 0 東京ヴェルディ 観客:14,552 S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Referee: マーティン ボデナム 1993.07.07 ジェフユナイテッド千葉",横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-03,浦和レッズ,サンフレッチェ広島,1,0,浦和レッズ,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-03,清水エスパルス,ジェフユナイテッド千葉,4,1,清水エスパルス,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-03,鹿島アントラーズ,横浜Ｆ・マリノス,3,1,鹿島アントラーズ,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-07,サンフレッチェ広島,ガンバ大阪,4,3,サンフレッチェ広島,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-07,東京ヴェルディ,名古屋グランパス,5,0,東京ヴェルディ,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-07,横浜Ｆ・マリノス,清水エスパルス,3,1,横浜Ｆ・マリノス,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-07,浦和レッズ,鹿島アントラーズ,0,2,浦和レッズ,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-10,ガンバ大阪,東京ヴェルディ,2,3,ガンバ大阪,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-10,名古屋グランパス,ジェフユナイテッド千葉,0,1,名古屋グランパス,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-10,横浜フリューゲルス,横浜Ｆ・マリノス,1,0,横浜フリューゲルス,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-10,"清水エスパルス 0 (6) Result (5) 0 浦和レッズ 観客:9,448 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Referee: 塩屋園 文一 1993.07.14 浦和レッズ",横浜フリューゲルス,0,2,"清水エスパルス 0 (6) Result (5) 0 浦和レッズ 観客:9,448 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Y Referee: 塩屋園 文一 1993.07.14 浦和レッズ",横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-10,鹿島アントラーズ,サンフレッチェ広島,1,2,鹿島アントラーズ,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-14,ジェフユナイテッド千葉,ガンバ大阪,0,1,ジェフユナイテッド千葉,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-14,東京ヴェルディ,サンフレッチェ広島,2,0,東京ヴェルディ,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-14,横浜Ｆ・マリノス,名古屋グランパス,1,0,横浜Ｆ・マリノス,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-14,鹿島アントラーズ,清水エスパルス,1,2,鹿島アントラーズ,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-24,ガンバ大阪,鹿島アントラーズ,0,1,ガンバ大阪,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-24,サンフレッチェ広島,浦和レッズ,4,0,サンフレッチェ広島,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-24,ジェフユナイテッド千葉,清水エスパルス,1,0,ジェフユナイテッド千葉,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-24,名古屋グランパス,横浜フリューゲルス,1,2,名古屋グランパス,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-24,横浜Ｆ・マリノス,東京ヴェルディ,3,0,横浜Ｆ・マリノス,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-07-31,横浜フリューゲルス,ジェフユナイテッド千葉,2,3,横浜フリューゲルス,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
