season,league,league_level,team,team_std,xg_rank,xg,xga_rank,xga,xg_diff,source_xg_url,source_xga_url,scraped_at,is_valid_xg,league_avg_xg,league_avg_xga,xg_attack_ratio,xga_defense_ratio,xg_diff_ratio,season_status
2019,j1,1,サガン鳥栖,鳥栖,14,44.0,9,49.4,-5.4,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,https://www.jleague.jp/stats/j1/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,47.44444444444444,47.43888888888889,0.927400468384075,1.041339735332006,-0.113939266947931,completed
2019,j1,1,鹿島アントラーズ,鹿島,7,50.4,13,46.2,4.2,https://www.jleague.jp/stats/j1/club/2019/expected_goals/,https://www.jleague.jp/stats/j1/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,47.44444444444444,47.43888888888889,1.0622950819672132,0.9738845298044267,0.08841055216278648,completed
2019,j2,2,京都サンガF.C.,京都,14,55.7,18,49.2,6.5,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.9623812141679102,0.85000785299199,0.11237336117592023,completed
2019,j2,2,ジェフユナイテッド千葉,千葉,7,61.2,11,54.8,6.4,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.0574098798397864,0.9467567143081513,0.11065316553163507,completed
2019,j2,2,大宮アルディージャ,大宮,4,64.5,19,47.9,16.6,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.114427079242912,0.8275482959007382,0.28687878334217387,completed
2019,j2,2,レノファ山口ＦＣ,山口,9,59.5,5,67.7,-8.2,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.0280373831775702,1.1696246269828805,-0.1415872438053103,completed
2019,j2,2,モンテディオ山形,山形,11,57.7,21,44.9,12.8,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.9969370925940471,0.7757185487670802,0.22121854382696682,completed
2019,j2,2,ＦＣ岐阜,岐阜,22,38.5,1,80.6,-42.1,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.6652006597031336,1.3924925396576093,-0.7272918799544758,completed
2019,j2,2,ファジアーノ岡山,岡山,19,51.0,15,52.2,-1.2,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.8811748998664887,0.901837600125648,-0.020662700259159283,completed
2019,j2,2,徳島ヴォルティス,徳島,8,61.2,16,52.1,9.1,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.0574098798397864,0.9001099418878593,0.1572999379519271,completed
2019,j2,2,愛媛ＦＣ,愛媛,15,55.6,9,58.2,-2.6,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.9606534202466034,1.0054970943929638,-0.04484367414636037,completed
2019,j2,2,アルビレックス新潟,新潟,5,64.3,6,67.2,-2.9,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.1109714914002984,1.1609863357939376,-0.050014844393639235,completed
2019,j2,2,東京ヴェルディ,東京V,20,49.8,4,70.6,-20.8,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.8604413728108066,1.2197267158787497,-0.35928534306794313,completed
2019,j2,2,柏レイソル,柏,1,72.4,22,43.2,29.2,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.2509227990261527,0.7463483587246741,0.5045744403014786,completed
2019,j2,2,栃木ＳＣ,栃木SC,21,43.2,8,62.9,-19.7,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.7464069740045551,1.0866970315690279,-0.3402900575644727,completed
2019,j2,2,横浜ＦＣ,横浜FC,6,62.9,17,49.9,13.0,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.0867823765020026,0.86210146065651,0.22468091584549255,completed
2019,j2,2,水戸ホーリーホック,水戸,12,57.2,14,53.6,3.6,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.9882981229875129,0.9260248154546883,0.06227330753282456,completed
2019,j2,2,ＦＣ琉球,琉球,17,54.3,3,71.0,-16.7,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,0.9381920992696143,1.2266373488299043,-0.28844524956028994,completed
2019,j2,2,ヴァンフォーレ甲府,甲府,2,72.0,20,45.6,26.4,https://www.jleague.jp/stats/j2/club/2019/expected_goals/,https://www.jleague.jp/stats/j2/club/2019/expected_goals_against/,2026-06-18T18:25:14,True,57.877272727272725,57.88181818181818,1.2440116233409253,0.7878121564316004,0.4561994669093249,completed
