year,cutoff_matches,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,cutoff_mode,min_team_games_at_cutoff,max_team_games_at_cutoff,avg_team_games_at_cutoff,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_future_draw_rate,sim_goals_per_match,actual_future_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2025,17,0.15,20,380,178,202,0.46842105263157896,2025-05-25,all_teams_at_least,17,19,17.8,1.247191011235955,1.0056179775280898,14083,2.31701,0.13691,0.28449059405940597,0.2623762376237624,2.200737623762376,2.51980198019802,1.2237493216462965,0.9760435197198004,2.199792841366097,1.000502709339362,57.92732178217823
2023,17,0.2,18,306,160,146,0.5228758169934641,2023-06-25,all_teams_at_least,17,18,17.77777777777778,1.38125,1.3,12424,2.0678666666666667,0.1779222222222222,0.24028835616438357,0.273972602739726,2.669545890410959,2.335616438356164,1.4256061218416405,1.2422700981284396,2.6678762199700805,1.0052976100905502,92.78213698630137
2024,17,0.2,20,380,179,201,0.4710526315789474,2024-06-19,all_teams_at_least,17,18,17.9,1.3910614525139664,1.2625698324022345,13513,2.54094,0.09007499999999999,0.24692985074626866,0.26865671641791045,2.623663184079602,2.6417910447761193,1.373065035135681,1.2529481577731414,2.626013192908822,1.0008013593702854,76.06325373134327
2025,17,0.2,20,380,178,202,0.46842105263157896,2025-05-25,all_teams_at_least,17,19,17.8,1.247191011235955,1.0056179775280898,14083,2.31834,0.13798499999999997,0.28349059405940596,0.2623762376237624,2.2068841584158414,2.51980198019802,1.2258486546520584,0.9782163008195377,2.2040649554715963,1.0008226853026674,57.92732178217823
2023,17,0.3,18,306,160,146,0.5228758169934641,2023-06-25,all_teams_at_least,17,18,17.77777777777778,1.38125,1.3,12424,2.078155555555556,0.17575,0.2344486301369863,0.273972602739726,2.691569178082192,2.335616438356164,1.4394986574844655,1.2521327974447263,2.691631454929192,1.0091347533089405,92.78213698630137
2024,17,0.3,20,380,179,201,0.4710526315789474,2024-06-19,all_teams_at_least,17,18,17.9,1.3910614525139664,1.2625698324022345,13513,2.5415,0.08956,0.24330696517412936,0.26865671641791045,2.6430004975124377,2.6417910447761193,1.3823277151528834,1.26087026519239,2.6431979803452736,1.0020189236160664,76.06325373134327
2025,17,0.3,20,380,178,202,0.46842105263157896,2025-05-25,all_teams_at_least,17,19,17.8,1.247191011235955,1.0056179775280898,14083,2.3169099999999996,0.13804,0.2817851485148515,0.2623762376237624,2.2123985148514853,2.51980198019802,1.2303416269433882,0.9828065066921934,2.213148133635581,1.0016914316862233,57.92732178217823
2023,20,0.0,18,306,188,118,0.6143790849673203,2023-07-16,all_teams_at_least,20,21,20.88888888888889,1.377659574468085,1.2287234042553192,12424,1.9594888888888886,0.16915000000000002,0.25127966101694915,0.2711864406779661,2.551027966101695,2.3728813559322033,1.363386022457584,1.1872058455731525,2.5505918680307373,1.0,92.84555084745763
2024,20,0.0,20,380,209,171,0.55,2024-06-30,all_teams_at_least,20,21,20.9,1.354066985645933,1.2248803827751196,13513,2.78887,0.076215,0.2573327485380117,0.2573099415204678,2.5325286549707604,2.7309941520467835,1.329388814451007,1.2039113469346483,2.5333001613856556,1.0,83.34624561403506
2025,20,0.0,20,380,207,173,0.5447368421052632,2025-06-22,all_teams_at_least,20,22,20.7,1.2463768115942029,1.0531400966183575,14083,1.98703,0.13638500000000003,0.27963815028901734,0.26011560693641617,2.2342404624277457,2.508670520231214,1.2218953770597472,1.0136628636132015,2.235558240672949,1.0,68.1037456647399
2023,20,0.05,18,306,188,118,0.6143790849673203,2023-07-16,all_teams_at_least,20,21,20.88888888888889,1.377659574468085,1.2287234042553192,12424,1.955922222222222,0.1716666666666667,0.24949406779661018,0.2711864406779661,2.5622754237288135,2.3728813559322033,1.368719788584023,1.192009201192949,2.560728989776973,1.0004612430610138,92.84555084745763
2024,20,0.05,20,380,209,171,0.55,2024-06-30,all_teams_at_least,20,21,20.9,1.354066985645933,1.2248803827751196,13513,2.7847,0.07602,0.2554017543859649,0.2573099415204678,2.540712865497076,2.7309941520467835,1.334181036023803,1.2071720336783383,2.541353069702141,1.0001888243875248,83.34624561403506
2025,20,0.05,20,380,207,173,0.5447368421052632,2025-06-22,all_teams_at_least,20,22,20.7,1.2463768115942029,1.0531400966183575,14083,2.0003,0.13775500000000002,0.2777306358381503,0.26011560693641617,2.240852601156069,2.508670520231214,1.2242761429785094,1.0159735369074603,2.2402496798859697,1.0003051566358032,68.1037456647399
2023,20,0.1,18,306,188,118,0.6143790849673203,2023-07-16,all_teams_at_least,20,21,20.88888888888889,1.377659574468085,1.2287234042553192,12424,1.9602666666666666,0.16886666666666666,0.2475864406779661,0.2711864406779661,2.571522033898305,2.3728813559322033,1.3743293409203865,1.197094614680729,2.571423955601115,1.001122878921076,92.84555084745763
