team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
浦和レッズ,柏レイソル,56,28,9,19,110,80,28,30,0.5,0.16071428571428573,0.3392857142857143,93,1.6607142857142858
浦和レッズ,ジュビロ磐田,54,24,6,24,84,74,27,10,0.4444444444444444,0.1111111111111111,0.4444444444444444,78,1.4444444444444444
浦和レッズ,ヴィッセル神戸,52,26,9,17,81,63,26,18,0.5,0.17307692307692307,0.3269230769230769,87,1.6730769230769231
浦和レッズ,セレッソ大阪,50,18,8,24,71,77,25,-6,0.36,0.16,0.48,62,1.24
浦和レッズ,ＦＣ東京,48,23,12,13,75,57,24,18,0.4791666666666667,0.25,0.2708333333333333,81,1.6875
浦和レッズ,川崎フロンターレ,42,13,13,16,57,66,21,-9,0.30952380952380953,0.30952380952380953,0.38095238095238093,52,1.2380952380952381
浦和レッズ,湘南ベルマーレ,40,22,6,12,81,57,20,24,0.55,0.15,0.3,72,1.8
浦和レッズ,ジェフユナイテッド千葉,38,19,5,14,62,47,19,15,0.5,0.13157894736842105,0.3684210526315789,62,1.631578947368421
浦和レッズ,東京ヴェルディ,36,17,5,14,63,53,18,10,0.4722222222222222,0.1388888888888889,0.3888888888888889,56,1.5555555555555556
浦和レッズ,アルビレックス新潟,34,25,8,1,67,22,17,45,0.7352941176470589,0.23529411764705882,0.029411764705882353,83,2.4411764705882355
浦和レッズ,ベガルタ仙台,28,15,10,3,60,28,14,32,0.5357142857142857,0.35714285714285715,0.10714285714285714,55,1.9642857142857142
浦和レッズ,京都サンガF.C.,28,16,6,6,50,21,14,29,0.5714285714285714,0.21428571428571427,0.21428571428571427,54,1.9285714285714286
浦和レッズ,アビスパ福岡,26,14,5,7,36,24,13,12,0.5384615384615384,0.19230769230769232,0.2692307692307692,47,1.8076923076923077
浦和レッズ,北海道コンサドーレ札幌,26,13,6,7,41,34,13,7,0.5,0.23076923076923078,0.2692307692307692,45,1.7307692307692308
浦和レッズ,サガン鳥栖,26,10,8,8,43,36,13,7,0.38461538461538464,0.3076923076923077,0.3076923076923077,38,1.4615384615384615
浦和レッズ,大宮アルディージャ,24,9,7,8,31,23,12,8,0.375,0.2916666666666667,0.3333333333333333,34,1.4166666666666667
浦和レッズ,大分トリニータ,22,10,4,8,32,27,11,5,0.45454545454545453,0.18181818181818182,0.36363636363636365,34,1.5454545454545454
浦和レッズ,横浜フリューゲルス,18,11,0,7,36,20,9,16,0.6111111111111112,0.0,0.3888888888888889,33,1.8333333333333333
浦和レッズ,ヴァンフォーレ甲府,16,10,5,1,28,9,8,19,0.625,0.3125,0.0625,35,2.1875
浦和レッズ,横浜ＦＣ,10,6,2,2,13,7,5,6,0.6,0.2,0.2,20,2.0
浦和レッズ,モンテディオ山形,8,3,3,2,9,6,4,3,0.375,0.375,0.25,12,1.5
浦和レッズ,徳島ヴォルティス,4,4,0,0,6,1,2,5,1.0,0.0,0.0,12,3.0
浦和レッズ,松本山雅ＦＣ,4,3,0,1,5,3,2,2,0.75,0.0,0.25,9,2.25
浦和レッズ,ＦＣ町田ゼルビア,4,1,2,1,5,4,2,1,0.25,0.5,0.25,5,1.25
浦和レッズ,ファジアーノ岡山,2,2,0,0,2,0,1,2,1.0,0.0,0.0,6,3.0
浦和レッズ,Ｖ・ファーレン長崎,2,0,2,0,1,1,1,0,0.0,1.0,0.0,2,1.0
清水エスパルス,鹿島アントラーズ,66,25,8,33,86,105,33,-19,0.3787878787878788,0.12121212121212122,0.5,83,1.2575757575757576
清水エスパルス,横浜Ｆ・マリノス,66,23,12,31,79,101,33,-22,0.3484848484848485,0.18181818181818182,0.4696969696969697,81,1.2272727272727273
清水エスパルス,名古屋グランパス,64,27,11,26,98,103,32,-5,0.421875,0.171875,0.40625,92,1.4375
清水エスパルス,浦和レッズ,64,25,11,28,85,90,32,-5,0.390625,0.171875,0.4375,86,1.34375
清水エスパルス,ガンバ大阪,64,23,9,32,89,109,32,-20,0.359375,0.140625,0.5,78,1.21875
清水エスパルス,サンフレッチェ広島,62,27,11,24,74,82,31,-8,0.43548387096774194,0.1774193548387097,0.3870967741935484,92,1.4838709677419355
清水エスパルス,ジュビロ磐田,52,20,7,25,60,71,26,-11,0.38461538461538464,0.1346153846153846,0.4807692307692308,67,1.2884615384615385
清水エスパルス,柏レイソル,52,19,6,27,67,89,26,-22,0.36538461538461536,0.11538461538461539,0.5192307692307693,63,1.2115384615384615
清水エスパルス,ヴィッセル神戸,48,24,7,17,68,67,24,1,0.5,0.14583333333333334,0.3541666666666667,79,1.6458333333333333
清水エスパルス,セレッソ大阪,48,17,8,23,75,92,24,-17,0.3541666666666667,0.16666666666666666,0.4791666666666667,59,1.2291666666666667
清水エスパルス,ＦＣ東京,44,14,8,22,46,63,22,-17,0.3181818181818182,0.18181818181818182,0.5,50,1.1363636363636365
清水エスパルス,ジェフユナイテッド千葉,40,23,4,13,67,47,20,20,0.575,0.1,0.325,73,1.825
清水エスパルス,川崎フロンターレ,38,10,10,18,53,71,19,-18,0.2631578947368421,0.2631578947368421,0.47368421052631576,40,1.0526315789473684
清水エスパルス,東京ヴェルディ,36,16,1,19,41,61,18,-20,0.4444444444444444,0.027777777777777776,0.5277777777777778,49,1.3611111111111112
清水エスパルス,湘南ベルマーレ,34,20,6,8,73,41,17,32,0.5882352941176471,0.17647058823529413,0.23529411764705882,66,1.9411764705882353
清水エスパルス,アルビレックス新潟,28,10,6,12,36,43,14,-7,0.35714285714285715,0.21428571428571427,0.42857142857142855,36,1.2857142857142858
清水エスパルス,京都サンガF.C.,26,18,4,4,44,22,13,22,0.6923076923076923,0.15384615384615385,0.15384615384615385,58,2.230769230769231
清水エスパルス,ベガルタ仙台,26,12,5,9,39,35,13,4,0.46153846153846156,0.19230769230769232,0.34615384615384615,41,1.5769230769230769
清水エスパルス,アビスパ福岡,22,15,3,4,43,21,11,22,0.6818181818181818,0.13636363636363635,0.18181818181818182,48,2.1818181818181817
清水エスパルス,北海道コンサドーレ札幌,22,10,3,9,43,46,11,-3,0.45454545454545453,0.13636363636363635,0.4090909090909091,33,1.5
清水エスパルス,大宮アルディージャ,22,8,9,5,26,20,11,6,0.36363636363636365,0.4090909090909091,0.22727272727272727,33,1.5
清水エスパルス,大分トリニータ,22,8,6,8,35,33,11,2,0.36363636363636365,0.2727272727272727,0.36363636363636365,30,1.3636363636363635
清水エスパルス,サガン鳥栖,20,5,10,5,26,27,10,-1,0.25,0.5,0.25,25,1.25
清水エスパルス,横浜フリューゲルス,18,11,0,7,34,28,9,6,0.6111111111111112,0.0,0.3888888888888889,33,1.8333333333333333
清水エスパルス,ヴァンフォーレ甲府,14,10,3,1,22,6,7,16,0.7142857142857143,0.21428571428571427,0.07142857142857142,33,2.357142857142857
清水エスパルス,モンテディオ山形,8,6,2,0,19,7,4,12,0.75,0.25,0.0,20,2.5
清水エスパルス,横浜ＦＣ,8,3,3,2,11,9,4,2,0.375,0.375,0.25,12,1.5
清水エスパルス,徳島ヴォルティス,4,2,1,1,7,5,2,2,0.5,0.25,0.25,7,1.75
清水エスパルス,松本山雅ＦＣ,4,1,1,2,2,3,2,-1,0.25,0.25,0.5,4,1.0
清水エスパルス,ファジアーノ岡山,2,0,1,1,2,3,1,-1,0.0,0.5,0.5,1,0.5
清水エスパルス,ＦＣ町田ゼルビア,2,0,1,1,2,5,1,-3,0.0,0.5,0.5,1,0.5
清水エスパルス,Ｖ・ファーレン長崎,2,0,1,1,4,5,1,-1,0.0,0.5,0.5,1,0.5
湘南ベルマーレ,名古屋グランパス,40,12,8,20,49,65,20,-16,0.3,0.2,0.5,44,1.1
湘南ベルマーレ,サンフレッチェ広島,40,12,6,22,45,58,20,-13,0.3,0.15,0.55,42,1.05
湘南ベルマーレ,浦和レッズ,40,12,6,22,57,81,20,-24,0.3,0.15,0.55,42,1.05
湘南ベルマーレ,鹿島アントラーズ,40,12,3,25,46,73,20,-27,0.3,0.075,0.625,39,0.975
湘南ベルマーレ,横浜Ｆ・マリノス,40,7,7,26,45,88,20,-43,0.175,0.175,0.65,28,0.7
湘南ベルマーレ,ガンバ大阪,38,12,3,23,54,69,19,-15,0.3157894736842105,0.07894736842105263,0.6052631578947368,39,1.0263157894736843
