competition,season,team,old_manager,new_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,last_old_manager_match_id,first_new_manager_match_id,last_old_manager_match_url,first_new_manager_match_url,change_type,source,note,next_new_manager,next_old_manager,next_effective_change_date,prev_old_manager,prev_new_manager,prev_effective_change_date,starts_short_reversion,ends_short_reversion,days_until_next_change,days_since_prev_change,auto_event_type,recommended_use_for_boost,review_status,event_note
J1,2024,神戸,菅原 智,吉田 孝行,2024-03-02,2024-03-09,2024-03-09,20240302001,20240309007,https://soccer-db.net/result/20240302001,https://soccer-db.net/result/20240309007,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,吉田 孝行,菅原 智,2024-03-02,False,True,,7.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2024,鳥栖,川井 健太,木谷 公亮,2024-08-07,2024-08-11,2024-08-11,20240807008,20240811007,https://soccer-db.net/result/20240807008,https://soccer-db.net/result/20240811007,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2024,鹿島,ランコ ポポビッチ,中後 雅喜,2024-10-05,2024-10-19,2024-10-19,20241005001,20241019002,https://soccer-db.net/result/20241005001,https://soccer-db.net/result/20241019002,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2025,広島,ミヒャエル スキッベ,迫井 深也,2025-04-20,2025-04-25,2025-04-25,20250420002,20250425007,https://soccer-db.net/result/20250420002,https://soccer-db.net/result/20250425007,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,ミヒャエル スキッベ,迫井 深也,2025-05-03,,,,True,False,8.0,,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2025,広島,迫井 深也,ミヒャエル スキッベ,2025-04-29,2025-05-03,2025-05-03,20250429002,20250503001,https://soccer-db.net/result/20250429002,https://soccer-db.net/result/20250503001,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,ミヒャエル スキッベ,迫井 深也,2025-04-25,False,True,,8.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2025,新潟,樹森 大介,入江 徹,2025-06-21,2025-06-25,2025-06-25,20250621002,20250625001,https://soccer-db.net/result/20250621002,https://soccer-db.net/result/20250625001,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,吉本 岳史,入江 徹,2025-08-31,,,,False,False,67.0,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2025,新潟,入江 徹,吉本 岳史,2025-08-23,2025-08-31,2025-08-31,20250823006,20250831005,https://soccer-db.net/result/20250823006,https://soccer-db.net/result/20250831005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,入江 徹,吉本 岳史,2025-09-13,樹森 大介,入江 徹,2025-06-25,True,False,13.0,67.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2025,新潟,吉本 岳史,入江 徹,2025-08-31,2025-09-13,2025-09-13,20250831005,20250913006,https://soccer-db.net/result/20250831005,https://soccer-db.net/result/20250913006,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,入江 徹,吉本 岳史,2025-08-31,False,True,,13.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2025,横浜FC,四方田 修平,三浦 文丈,2025-07-20,2025-08-09,2025-08-09,20250720003,20250809001,https://soccer-db.net/result/20250720003,https://soccer-db.net/result/20250809001,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2025,横浜FM,スティーブ ホーランド,パトリック キスノーボ,2025-04-16,2025-04-20,2025-04-20,20250416001,20250420009,https://soccer-db.net/result/20250416001,https://soccer-db.net/result/20250420009,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,大島 秀夫,パトリック キスノーボ,2025-06-21,,,,False,False,62.0,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
