rank,prev_weight,prev_decay,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,delta_vs_decay100
1,0.4,0.995,2000,2.2052500000000004,4.7940000000000005,8,4.727499999999999,3.272500000000001,2,5.891,3.891,3,5.265000000000001,2.2650000000000006,14,10.374499999999998,3.6255000000000024,6,9.415500000000002,3.4155000000000015,16,12.030000000000001,3.969999999999999,-0.0018999999999995687
2,0.4,1.0,2000,2.20715,4.902500000000002,8,4.7395000000000005,3.2604999999999995,2,5.999,3.9989999999999997,3,5.298499999999999,2.298499999999999,14,10.322500000000002,3.6774999999999984,6,9.313,3.3130000000000006,16,12.034000000000002,3.9659999999999975,0.0
3,0.4,0.97,2000,2.2075500000000003,4.870000000000001,8,4.706499999999998,3.2935000000000016,2,6.099000000000001,4.099000000000001,3,5.2589999999999995,2.2589999999999995,14,10.302000000000001,3.6979999999999986,6,9.356499999999999,3.3564999999999987,16,12.0855,3.9145000000000003,0.00040000000000040004
4,0.4,0.98,2000,2.2195999999999994,4.822000000000003,8,4.673999999999999,3.3260000000000014,2,6.0345,4.0345,3,5.298,2.298,14,10.234500000000002,3.7654999999999976,6,9.476,3.476000000000001,16,12.014500000000004,3.9854999999999965,0.012449999999999406
5,0.4,0.985,2000,2.2230000000000003,4.783999999999999,8,4.644499999999998,3.355500000000002,2,6.014000000000001,4.014000000000001,3,5.287,2.287,14,10.330499999999999,3.669500000000001,6,9.493999999999996,3.493999999999996,16,11.935,4.0649999999999995,0.015850000000000364
6,0.4,0.99,2000,2.2258000000000004,4.901499999999999,8,4.664999999999999,3.335000000000001,2,5.9905,3.9905,3,5.311500000000001,2.3115000000000014,14,10.359999999999998,3.6400000000000023,6,9.3395,3.3394999999999992,16,11.9995,4.000500000000001,0.0186500000000005
7,0.4,0.975,2000,2.2289,4.723999999999998,8,4.756499999999999,3.243500000000001,2,6.0760000000000005,4.0760000000000005,3,5.313500000000001,2.3135000000000012,14,10.183500000000002,3.816499999999998,6,9.465999999999998,3.4659999999999975,16,12.147499999999999,3.852500000000001,0.021749999999999936
