year,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,same_date_policy,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_second_half_draw_rate,sim_goals_per_match,actual_second_half_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2023,0.0,18,306,151,155,0.4934640522875817,2023-06-11,nearest,1.4105960264900663,1.2781456953642385,12424,1.8704333333333336,0.17114444444444443,0.24869225806451614,0.2709677419354839,2.634012258064516,2.361290322580645,1.4101281752424952,1.2257603818263543,2.6358885570688493,1.0,88.9242322580645
2024,0.0,20,380,189,191,0.49736842105263157,2024-06-23,nearest,1.3756613756613756,1.2433862433862435,13513,2.3526399999999996,0.09966,0.25379633507853405,0.2617801047120419,2.570725654450262,2.675392670157068,1.360966970002553,1.209284220845308,2.5702511908478614,1.0,77.95697905759162
2025,0.0,20,380,189,191,0.49736842105263157,2025-06-01,nearest,1.253968253968254,1.0158730158730158,14083,2.42455,0.148685,0.2839607329842932,0.2617801047120419,2.2164979057591623,2.518324607329843,1.2213081236783623,0.9964905113763196,2.2177986350546823,1.0,59.55370680628272
2023,0.05,18,306,151,155,0.4934640522875817,2023-06-11,nearest,1.4105960264900663,1.2781456953642385,12424,1.8760777777777777,0.1708777777777778,0.24733870967741936,0.2709677419354839,2.6435451612903225,2.361290322580645,1.4149111334147924,1.2301229142082504,2.6450340476230423,1.0004443363310085,88.9242322580645
2024,0.05,20,380,189,191,0.49736842105263157,2024-06-23,nearest,1.3756613756613756,1.2433862433862435,13513,2.34926,0.09933000000000002,0.25204031413612565,0.2617801047120419,2.579986387434555,2.675392670157068,1.3654268388031607,1.212032509672629,2.5774593484757897,1.0003313219794745,77.95697905759162
2025,0.05,20,380,189,191,0.49736842105263157,2025-06-01,nearest,1.253968253968254,1.0158730158730158,14083,2.4389200000000004,0.14887,0.28282565445026175,0.2617801047120419,2.2216638743455497,2.518324607329843,1.2229926724904774,0.998751577423748,2.221744249914225,0.9999753190075935,59.55370680628272
2023,0.1,18,306,151,155,0.4934640522875817,2023-06-11,nearest,1.4105960264900663,1.2781456953642385,12424,1.873088888888889,0.17158333333333334,0.24470774193548386,0.2709677419354839,2.6564670967741937,2.361290322580645,1.4199519645386809,1.2347281487917086,2.6546801133303894,1.0010709646830451,88.9242322580645
2024,0.1,20,380,189,191,0.49736842105263157,2024-06-23,nearest,1.3756613756613756,1.2433862433862435,13513,2.3595900000000003,0.098795,0.25092774869109946,0.2617801047120419,2.5863743455497383,2.675392670157068,1.3700823438308423,1.2149590195023385,2.5850413633331804,1.0008052920379518,77.95697905759162
2025,0.1,20,380,189,191,0.49736842105263157,2025-06-01,nearest,1.253968253968254,1.0158730158730158,14083,2.4237499999999996,0.15150000000000002,0.2821230366492147,0.2617801047120419,2.225568062827225,2.518324607329843,1.2247837779762953,1.0011038609934992,2.2258876389697946,1.0000347347536038,59.55370680628272
2023,0.15,18,306,151,155,0.4934640522875817,2023-06-11,nearest,1.4105960264900663,1.2781456953642385,12424,1.8777888888888892,0.1718888888888889,0.24238774193548387,0.2709677419354839,2.6665554838709675,2.361290322580645,1.4252524019149404,1.2395783845963264,2.6648307865112666,1.0018800678454125,88.9242322580645
2024,0.15,20,380,189,191,0.49736842105263157,2024-06-23,nearest,1.3756613756613756,1.2433862433862435,13513,2.3674600000000003,0.098,0.24812513089005236,0.2617801047120419,2.592416230366492,2.675392670157068,1.3749383859647755,1.2180646852801416,2.593003071244917,1.0014221962225884,77.95697905759162
2025,0.15,20,380,189,191,0.49736842105263157,2025-06-01,nearest,1.253968253968254,1.0158730158730158,14083,2.42423,0.15192,0.2809104712041885,0.2617801047120419,2.229961256544503,2.518324607329843,1.2266818176684429,1.0035479122974513,2.2302297299658944,1.0001782615860657,59.55370680628272
