match_id,year,date,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2023_152,2023,2023-06-24,0.0,ガンバ大阪,鹿島アントラーズ,2,1,1512.624,1632.01,-119.38599999999997,1.0,0.686449913148825,1.3996856068851888,0.686449913148825,1.3996856068851888
J1_2023_153,2023,2023-06-24,0.0,サンフレッチェ広島,横浜Ｆ・マリノス,0,1,1620.75,1721.624,-100.87400000000002,1.0,1.468682112070898,1.241135919376984,1.468682112070898,1.241135919376984
J1_2023_154,2023,2023-06-24,0.0,京都サンガF.C.,横浜ＦＣ,2,1,1501.471,1459.553,41.91799999999989,1.0,1.1251209045698858,1.058933188665129,1.1251209045698858,1.058933188665129
J1_2023_155,2023,2023-06-24,0.0,北海道コンサドーレ札幌,セレッソ大阪,1,4,1599.111,1602.651,-3.5399999999999636,1.0,1.4939795301281837,1.6527022835281764,1.4939795301281837,1.6527022835281764
J1_2023_156,2023,2023-06-24,0.0,柏レイソル,アルビレックス新潟,0,0,1472.168,1506.901,-34.733000000000175,1.0,1.0899264888765337,1.5040984176585035,1.0899264888765337,1.5040984176585035
J1_2023_157,2023,2023-06-24,0.0,浦和レッズ,川崎フロンターレ,1,1,1630.196,1652.313,-22.11700000000019,1.0,1.9403465719981305,1.241937910480048,1.9403465719981305,1.241937910480048
J1_2023_158,2023,2023-06-24,0.0,湘南ベルマーレ,サガン鳥栖,0,6,1501.056,1558.919,-57.863000000000056,1.0,1.1662973062882895,1.6447273408565624,1.1662973062882895,1.6447273408565624
J1_2023_159,2023,2023-06-24,0.0,ＦＣ東京,名古屋グランパス,2,0,1533.442,1650.823,-117.38100000000009,1.0,1.1979464323525306,1.502012085672049,1.1979464323525306,1.502012085672049
J1_2023_160,2023,2023-06-25,0.0,アビスパ福岡,ヴィッセル神戸,0,3,1515.189,1662.495,-147.3059999999998,1.0,0.8339527182884294,1.4843785958611018,0.8339527182884294,1.4843785958611018
J1_2023_161,2023,2023-06-28,0.0,浦和レッズ,湘南ベルマーレ,4,1,1630.196,1501.056,129.13999999999987,1.0,1.8026968598382689,0.9586616252625116,1.8026968598382689,0.9586616252625116
