cutoff_matches,beta_elo,n_years,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mean_actual_future_draw_rate,mean_sim_goals_per_match,mean_actual_future_goals_per_match,mean_lambda_total,mean_abs_elo_diff,mean_known_matches,mean_future_matches,mean_known_ratio,mean_min_team_games,mean_max_team_games,baseline_mae,baseline_prob_actual_position,mae_diff_vs_beta0,prob_diff_vs_beta0
5,0.3,3,3.0918855555555553,0.8524245456104949,0.1293135185185185,0.2787730197503236,0.2551340410494945,2.2771242348785554,2.568130635765043,2.2776198263132823,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,-0.0859277777777776,0.006886666666666638
10,0.1,3,2.3291062962962967,0.8961631361451979,0.14412203703703705,0.2689448629362413,0.25071661985276567,2.3709419423271094,2.569651190541756,2.370054685688679,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,-0.010676296296296073,0.0019581481481481533
15,0.3,3,2.171092222222222,0.5052409890815945,0.1483838888888889,0.2555737240136909,0.2665880340611709,2.4754011388033352,2.538213237489906,2.475244527824732,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,-0.02277962962962965,0.004215370370370369
17,0.0,3,2.292308148148148,0.24650966631770405,0.13474222222222224,0.26274727208255483,0.2683351855937996,2.469127904354533,2.4990698211101012,2.469622716151146,75.59090416660761,172.33333333333334,183.0,0.4874498337346635,17.0,18.333333333333332,2.292308148148148,0.13474222222222224,0.0,0.0
20,0.0,3,2.2451296296296297,0.47109428034968687,0.12725,0.2627501866146594,0.26287066304495005,2.439265694500067,2.5375153427367336,2.4398167566964473,81.43184737541087,201.33333333333334,154.0,0.5697053090241945,20.0,21.333333333333332,2.2451296296296297,0.12725,0.0,0.0
