cutoff_matches,beta_elo,n_years,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mean_actual_future_draw_rate,mean_sim_goals_per_match,mean_actual_future_goals_per_match,mean_lambda_total,mean_abs_elo_diff,mean_known_matches,mean_future_matches,mean_known_ratio,mean_min_team_games,mean_max_team_games,baseline_mae,baseline_prob_actual_position,mae_diff_vs_beta0,prob_diff_vs_beta0
5,0.3,3,3.0918855555555553,0.8524245456104949,0.1293135185185185,0.2787730197503236,0.2551340410494945,2.2771242348785554,2.568130635765043,2.2776198263132823,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,-0.0859277777777776,0.006886666666666638
5,0.2,3,3.114102222222222,0.8327796570611069,0.12683592592592594,0.28040257700107074,0.2551340410494945,2.2685908138758095,2.568130635765043,2.2672266631042386,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,-0.06371111111111105,0.004409074074074079
5,0.15,3,3.133248148148148,0.8171536314816336,0.12455796296296295,0.2816783589365383,0.2551340410494945,2.2617973261477853,2.568130635765043,2.262184391955207,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,-0.04456518518518493,0.0021311111111110975
5,0.1,3,3.144279259259259,0.8035256949576666,0.12445166666666667,0.28266131191191235,0.2551340410494945,2.2580204998746733,2.568130635765043,2.2573373553800375,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,-0.03353407407407394,0.0020248148148148126
5,0.05,3,3.1571211111111115,0.7796633799298925,0.12282018518518519,0.283569018583721,0.2551340410494945,2.252459044127988,2.568130635765043,2.2526253869146844,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,-0.020692222222221446,0.00039333333333332887
5,0.0,3,3.177813333333333,0.7769195654849559,0.12242685185185186,0.28434688347859893,0.2551340410494945,2.2478853139963175,2.568130635765043,2.247992134997633,62.04508486915123,54.0,301.3333333333333,0.15165118679050568,5.0,5.666666666666667,3.177813333333333,0.12242685185185186,0.0,0.0
10,0.1,3,2.3291062962962967,0.8961631361451979,0.14412203703703705,0.2689448629362413,0.25071661985276567,2.3709419423271094,2.569651190541756,2.370054685688679,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,-0.010676296296296073,0.0019581481481481533
10,0.2,3,2.335344444444444,0.8809992995604057,0.14679537037037035,0.2663305752694094,0.25071661985276567,2.3807641450955557,2.569651190541756,2.3824255165484742,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,-0.004438148148148802,0.004631481481481459
10,0.3,3,2.337038888888889,0.8639401424888786,0.14859481481481482,0.2638102705751684,0.25071661985276567,2.3953400125479614,2.569651190541756,2.395554319993204,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,-0.0027437037037039147,0.006430925925925923
10,0.05,3,2.3389248148148147,0.9162839709770916,0.1432414814814815,0.27034682521892384,0.25071661985276567,2.364781371050651,2.569651190541756,2.364031060058723,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,-0.0008577777777780682,0.0010775925925926022
10,0.15,3,2.339764444444444,0.8936936058623554,0.14459129629629627,0.267832910860825,0.25071661985276567,2.377172252189238,2.569651190541756,2.376143440018228,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,-1.814814814871113e-05,0.002427407407407378
10,0.0,3,2.339782592592593,0.9228574297848251,0.1421638888888889,0.2713323117622221,0.25071661985276567,2.3581552521984173,2.569651190541756,2.358277478509318,68.68753439747753,109.0,246.33333333333334,0.30932805870886365,10.0,11.666666666666666,2.339782592592593,0.1421638888888889,0.0,0.0
15,0.3,3,2.171092222222222,0.5052409890815945,0.1483838888888889,0.2555737240136909,0.2665880340611709,2.4754011388033352,2.538213237489906,2.475244527824732,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,-0.02277962962962965,0.004215370370370369
15,0.2,3,2.1809381481481482,0.48879519208998773,0.14647037037037036,0.2588037503246908,0.2665880340611709,2.457171949797057,2.538213237489906,2.4582398710368367,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,-0.012933703703703614,0.0023018518518518327
15,0.15,3,2.185955925925926,0.49114256878427537,0.14674462962962964,0.26043670130918867,0.2665880340611709,2.449726676712203,2.538213237489906,2.4500922074309757,74.95206248049645,157.66666666666666,197.66666666666666,0.44503497305354894,15.0,17.0,2.193871851851852,0.14416851851851853,-0.007915925925925826,0.0025761111111111124
