match_id,year,date,cutoff_matches,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2023_046,2023,2023-03-31,5,0.0,柏レイソル,浦和レッズ,0,3,1490.264,1598.507,-108.24300000000017,1.0,1.0864229336888451,0.7372395437384676,1.0864229336888451,0.7372395437384676
J1_2023_047,2023,2023-04-01,5,0.0,アルビレックス新潟,名古屋グランパス,1,3,1604.608,1593.768,10.839999999999918,1.0,0.5280862810993798,0.9950569745584951,0.5280862810993798,0.9950569745584951
J1_2023_048,2023,2023-04-01,5,0.0,サガン鳥栖,ＦＣ東京,1,0,1507.597,1575.293,-67.69599999999991,1.0,0.6332971353411497,0.6196960799847772,0.6332971353411497,0.6196960799847772
J1_2023_049,2023,2023-04-01,5,0.0,セレッソ大阪,横浜Ｆ・マリノス,2,1,1564.017,1693.719,-129.702,1.0,2.1216323061846465,1.5206216328507882,2.1216323061846465,1.5206216328507882
J1_2023_050,2023,2023-04-01,5,0.0,京都サンガF.C.,ヴィッセル神戸,0,3,1564.689,1611.437,-46.74799999999982,1.0,0.49294835375079055,1.485912579361745,0.49294835375079055,1.485912579361745
J1_2023_051,2023,2023-04-01,5,0.0,北海道コンサドーレ札幌,川崎フロンターレ,3,4,1564.173,1668.761,-104.58799999999997,1.0,1.300160941571543,1.4648312647290296,1.300160941571543,1.4648312647290296
J1_2023_052,2023,2023-04-01,5,0.0,横浜ＦＣ,アビスパ福岡,1,1,1473.452,1553.467,-80.0150000000001,1.0,0.36763659673886667,0.8250910316252774,0.36763659673886667,0.8250910316252774
J1_2023_053,2023,2023-04-01,5,0.0,湘南ベルマーレ,ガンバ大阪,4,1,1548.091,1504.167,43.92399999999998,1.0,2.069289822453491,1.510301761872825,2.069289822453491,1.510301761872825
J1_2023_054,2023,2023-04-01,5,0.0,鹿島アントラーズ,サンフレッチェ広島,1,2,1606.558,1610.727,-4.169000000000096,1.0,0.5381139657795758,1.2533119552002592,0.5381139657795758,1.2533119552002592
J1_2023_055,2023,2023-04-08,5,0.0,横浜Ｆ・マリノス,横浜ＦＣ,5,0,1693.719,1473.452,220.26700000000005,1.0,2.9838131304342252,0.8379135743472107,2.9838131304342252,0.8379135743472107
J1_2023_056,2023,2023-04-09,5,0.0,アビスパ福岡,京都サンガF.C.,2,1,1553.467,1564.689,-11.22199999999998,1.0,0.9092058778391165,1.1560222716775124,0.9092058778391165,1.1560222716775124
J1_2023_057,2023,2023-04-09,5,0.0,ガンバ大阪,川崎フロンターレ,2,0,1504.167,1668.761,-164.59400000000005,1.0,1.0516650190125372,1.507219446939905,1.0516650190125372,1.507219446939905
J1_2023_058,2023,2023-04-09,5,0.0,サンフレッチェ広島,サガン鳥栖,1,0,1610.727,1507.597,103.13000000000011,1.0,1.0607172207974356,0.6588794373698403,1.0607172207974356,0.6588794373698403
J1_2023_059,2023,2023-04-09,5,0.0,セレッソ大阪,北海道コンサドーレ札幌,2,3,1564.017,1564.173,-0.15599999999994907,1.0,1.9547087532234486,1.5870827836715469,1.9547087532234486,1.5870827836715469
J1_2023_060,2023,2023-04-09,5,0.0,ヴィッセル神戸,アルビレックス新潟,0,0,1611.437,1604.608,6.828999999999951,1.0,1.9113849477715463,0.6142146655511109,1.9113849477715463,0.6142146655511109
J1_2023_061,2023,2023-04-09,5,0.0,名古屋グランパス,浦和レッズ,0,0,1593.768,1598.507,-4.739000000000033,1.0,0.6111697835860654,0.16104371907554396,0.6111697835860654,0.16104371907554396
J1_2023_062,2023,2023-04-09,5,0.0,柏レイソル,鹿島アントラーズ,1,0,1490.264,1606.558,-116.2940000000001,1.0,0.8161677778173727,2.9707125141213693,0.8161677778173727,2.9707125141213693
J1_2023_063,2023,2023-04-09,5,0.0,ＦＣ東京,湘南ベルマーレ,2,2,1575.293,1548.091,27.201999999999998,1.0,2.2989269681669358,0.9416179735415756,2.2989269681669358,0.9416179735415756
J1_2023_064,2023,2023-04-15,5,0.0,アルビレックス新潟,アビスパ福岡,3,2,1604.608,1553.467,51.14099999999985,1.0,0.7241884916655759,0.32941510855106537,0.7241884916655759,0.32941510855106537
