year,beta_elo,team,actual_position,avg_pred_position,abs_error,prob_actual_position,prob_top1,prob_top3,prob_bottom3
2023,0.0,横浜Ｆ・マリノス,2,1.6218,0.3782000000000001,0.2712,0.5875,0.9523,0.0
2023,0.0,ヴィッセル神戸,1,2.3187,1.3187000000000002,0.2851,0.2851,0.8493,0.0
2023,0.0,名古屋グランパス,6,3.4301,2.5699,0.0595,0.0883,0.5909,0.0
2023,0.0,浦和レッズ,4,4.569,0.569,0.236,0.0254,0.30379999999999996,0.0
2023,0.0,サンフレッチェ広島,3,5.643,2.643,0.0947,0.0087,0.1368,0.0
2023,0.0,鹿島アントラーズ,5,6.4759,1.4759000000000002,0.1543,0.0023,0.06520000000000001,0.0
2023,0.0,セレッソ大阪,9,6.537,2.463,0.1078,0.002,0.0657,0.0
2023,0.0,川崎フロンターレ,8,7.751,0.24899999999999967,0.1971,0.0004,0.0194,0.0002
2023,0.0,北海道コンサドーレ札幌,12,7.9946,4.0054,0.0233,0.0003,0.0161,0.0005
2023,0.0,サガン鳥栖,14,9.9525,4.047499999999999,0.0211,0.0,0.0005,0.0034999999999999996
2023,0.0,ＦＣ東京,11,11.5407,0.5406999999999993,0.2483,0.0,0.0,0.0293
2023,0.0,アビスパ福岡,7,12.5565,5.5565,0.0034,0.0,0.0,0.07359999999999998
2023,0.0,アルビレックス新潟,10,12.9839,2.9839,0.0642,0.0,0.0,0.11100000000000002
2023,0.0,湘南ベルマーレ,15,14.4704,0.5296000000000003,0.1722,0.0,0.0,0.3412
2023,0.0,京都サンガF.C.,13,14.7462,1.7462,0.1173,0.0,0.0,0.37899999999999995
2023,0.0,ガンバ大阪,16,14.9733,1.0267,0.2071,0.0,0.0,0.42560000000000003
2023,0.0,柏レイソル,17,16.3436,0.6564000000000014,0.2953,0.0,0.0,0.7494
2023,0.0,横浜ＦＣ,18,17.0918,0.9082000000000008,0.5227,0.0,0.0,0.8867
2023,0.05,横浜Ｆ・マリノス,2,1.5695,0.4305000000000001,0.2522,0.6194,0.9572999999999999,0.0
2023,0.05,ヴィッセル神戸,1,2.3207,1.3207,0.2662,0.2662,0.8567,0.0
2023,0.05,名古屋グランパス,6,3.4566,2.5434,0.0567,0.0782,0.5889,0.0
2023,0.05,浦和レッズ,4,4.5541,0.5541,0.243,0.024,0.2983,0.0
2023,0.05,サンフレッチェ広島,3,5.6609,2.6609,0.0966,0.0072,0.1369,0.0
2023,0.05,鹿島アントラーズ,5,6.4655,1.4654999999999996,0.157,0.0023,0.06709999999999999,0.0
2023,0.05,セレッソ大阪,9,6.5274,2.4726,0.1054,0.0022,0.0617,0.0
2023,0.05,川崎フロンターレ,8,7.6858,0.3141999999999996,0.2007,0.0003,0.0195,0.0
2023,0.05,北海道コンサドーレ札幌,12,8.0217,3.978300000000001,0.0211,0.0002,0.0132,0.00030000000000000003
2023,0.05,サガン鳥栖,14,9.9437,4.0563,0.0178,0.0,0.0002,0.0034
2023,0.05,ＦＣ東京,11,11.5145,0.5145,0.258,0.0,0.0002,0.0253
2023,0.05,アビスパ福岡,7,12.5522,5.552199999999999,0.0033,0.0,0.0,0.0698
2023,0.05,アルビレックス新潟,10,13.0388,3.0388,0.0627,0.0,0.0,0.11839999999999999
2023,0.05,湘南ベルマーレ,15,14.4592,0.5408000000000008,0.1828,0.0,0.0,0.3267
2023,0.05,京都サンガF.C.,13,14.778,1.7780000000000005,0.1227,0.0,0.0,0.38199999999999995
2023,0.05,ガンバ大阪,16,14.9592,1.0408000000000008,0.2011,0.0,0.0,0.4223
2023,0.05,柏レイソル,17,16.3747,0.6252999999999993,0.3008,0.0,0.0,0.7578
2023,0.05,横浜ＦＣ,18,17.1175,0.8825000000000003,0.5277,0.0,0.0,0.8939999999999999
2023,0.1,横浜Ｆ・マリノス,2,1.5403,0.4597,0.2579,0.6261,0.967,0.0
2023,0.1,ヴィッセル神戸,1,2.3321,1.3321,0.2625,0.2625,0.8556999999999999,0.0
2023,0.1,名古屋グランパス,6,3.4432,2.5568,0.0547,0.0758,0.5844,0.0
2023,0.1,浦和レッズ,4,4.4946,0.49460000000000015,0.2462,0.0255,0.308,0.0
2023,0.1,サンフレッチェ広島,3,5.6948,2.6948,0.0883,0.0059,0.124,0.0
2023,0.1,鹿島アントラーズ,5,6.4213,1.4212999999999996,0.1591,0.002,0.0703,0.0
2023,0.1,セレッソ大阪,9,6.5326,2.4673999999999996,0.1014,0.0017,0.0547,0.0
2023,0.1,川崎フロンターレ,8,7.66,0.33999999999999986,0.2007,0.0003,0.0213,0.0
2023,0.1,北海道コンサドーレ札幌,12,8.0065,3.993499999999999,0.0172,0.0002,0.014,0.0
2023,0.1,サガン鳥栖,14,9.9694,4.0306,0.0188,0.0,0.0006000000000000001,0.0026999999999999997
2023,0.1,ＦＣ東京,11,11.5398,0.5397999999999996,0.2772,0.0,0.0,0.0232
2023,0.1,アビスパ福岡,7,12.5536,5.553599999999999,0.0023,0.0,0.0,0.0648
2023,0.1,アルビレックス新潟,10,13.0506,3.0505999999999993,0.0592,0.0,0.0,0.1128
2023,0.1,湘南ベルマーレ,15,14.5225,0.47749999999999915,0.1814,0.0,0.0,0.3408
2023,0.1,京都サンガF.C.,13,14.771,1.7710000000000008,0.1237,0.0,0.0,0.38520000000000004
2023,0.1,ガンバ大阪,16,14.899,1.1010000000000009,0.2015,0.0,0.0,0.408
2023,0.1,柏レイソル,17,16.4155,0.5844999999999985,0.3033,0.0,0.0,0.7622
2023,0.1,横浜ＦＣ,18,17.1532,0.8468000000000018,0.5331,0.0,0.0,0.9003
2023,0.15,横浜Ｆ・マリノス,2,1.5121,0.4879,0.2492,0.643,0.967,0.0
2023,0.15,ヴィッセル神戸,1,2.2942,1.2942,0.2596,0.2596,0.8627999999999999,0.0
2023,0.15,名古屋グランパス,6,3.4502,2.5498,0.0548,0.0702,0.593,0.0
2023,0.15,浦和レッズ,4,4.5499,0.5499,0.2466,0.019,0.2965,0.0
2023,0.15,サンフレッチェ広島,3,5.6475,2.6475,0.0916,0.0051,0.1268,0.0
2023,0.15,鹿島アントラーズ,5,6.4326,1.4325999999999999,0.159,0.0016,0.0633,0.0
2023,0.15,セレッソ大阪,9,6.5598,2.4402,0.1092,0.0012,0.056799999999999996,0.0
2023,0.15,川崎フロンターレ,8,7.5996,0.4004000000000003,0.2093,0.0002,0.0207,0.0
2023,0.15,北海道コンサドーレ札幌,12,8.0085,3.9915000000000003,0.0167,0.0001,0.0125,0.0001
2023,0.15,サガン鳥栖,14,10.0135,3.9864999999999995,0.0164,0.0,0.0006000000000000001,0.003
2023,0.15,ＦＣ東京,11,11.5438,0.5437999999999992,0.2728,0.0,0.0,0.0214
2023,0.15,アビスパ福岡,7,12.5733,5.5733,0.0015,0.0,0.0,0.0634
2023,0.15,アルビレックス新潟,10,13.0716,3.0716,0.0559,0.0,0.0,0.1135
2023,0.15,湘南ベルマーレ,15,14.5039,0.4961000000000002,0.1845,0.0,0.0,0.3353
2023,0.15,京都サンガF.C.,13,14.7872,1.7872000000000003,0.1233,0.0,0.0,0.3908
2023,0.15,ガンバ大阪,16,14.8807,1.1193000000000008,0.2037,0.0,0.0,0.40379999999999994
2023,0.15,柏レイソル,17,16.4187,0.5812999999999988,0.3067,0.0,0.0,0.7688999999999999
2023,0.15,横浜ＦＣ,18,17.1529,0.8471000000000011,0.5332,0.0,0.0,0.8997999999999999
2023,0.2,横浜Ｆ・マリノス,2,1.4851,0.5148999999999999,0.2387,0.6586,0.9705,0.0
2023,0.2,ヴィッセル神戸,1,2.3053,1.3053,0.2475,0.2475,0.8657,0.0
2023,0.2,名古屋グランパス,6,3.4156,2.5844,0.057,0.0674,0.5993999999999999,0.0
2023,0.2,浦和レッズ,4,4.5503,0.5503,0.2549,0.0185,0.2887,0.0
2023,0.2,サンフレッチェ広島,3,5.6792,2.6792,0.0882,0.0044,0.1222,0.0
2023,0.2,鹿島アントラーズ,5,6.389,1.3890000000000002,0.1626,0.0013,0.0678,0.0
2023,0.2,セレッソ大阪,9,6.5827,2.4173,0.1102,0.0019,0.0539,0.0
2023,0.2,川崎フロンターレ,8,7.5288,0.4711999999999996,0.2192,0.0001,0.0194,0.0
2023,0.2,北海道コンサドーレ札幌,12,8.0357,3.9642999999999997,0.0161,0.0003,0.0119,0.0002
2023,0.2,サガン鳥栖,14,10.017,3.9830000000000005,0.0163,0.0,0.00039999999999999996,0.0026000000000000003
2023,0.2,ＦＣ東京,11,11.5122,0.5122,0.2874,0.0,0.0,0.020300000000000002
2023,0.2,アビスパ福岡,7,12.5942,5.594200000000001,0.0016,0.0,0.0,0.066
2023,0.2,アルビレックス新潟,10,13.0874,3.0874000000000006,0.053,0.0,0.0001,0.11259999999999999
2023,0.2,湘南ベルマーレ,15,14.5397,0.46030000000000015,0.1901,0.0,0.0,0.337
2023,0.2,京都サンガF.C.,13,14.7831,1.7830999999999992,0.1289,0.0,0.0,0.37939999999999996
2023,0.2,ガンバ大阪,16,14.8441,1.1559000000000008,0.2015,0.0,0.0,0.3917
2023,0.2,柏レイソル,17,16.4656,0.5344000000000015,0.3108,0.0,0.0,0.7834
2023,0.2,横浜ＦＣ,18,17.185,0.8150000000000013,0.544,0.0,0.0,0.9068
2023,0.3,横浜Ｆ・マリノス,2,1.4176,0.5824,0.2273,0.6908,0.9797999999999999,0.0
2023,0.3,ヴィッセル神戸,1,2.2913,1.2913000000000001,0.2275,0.2275,0.8778,0.0
2023,0.3,名古屋グランパス,6,3.4407,2.5593,0.0507,0.0596,0.5973,0.0
2023,0.3,浦和レッズ,4,4.5291,0.5290999999999997,0.2671,0.0162,0.2878,0.0
2023,0.3,サンフレッチェ広島,3,5.685,2.6849999999999996,0.0892,0.0033,0.1165,0.0
2023,0.3,鹿島アントラーズ,5,6.378,1.3780000000000001,0.1598,0.0017,0.0633,0.0
2023,0.3,セレッソ大阪,9,6.5948,2.4052,0.112,0.0009,0.048299999999999996,0.0
2023,0.3,川崎フロンターレ,8,7.474,0.5259999999999998,0.2202,0.0,0.0189,0.0
2023,0.3,北海道コンサドーレ札幌,12,8.0262,3.9738000000000007,0.0116,0.0,0.0096,0.0002
2023,0.3,サガン鳥栖,14,10.0094,3.9906000000000006,0.0154,0.0,0.0006,0.0019
2023,0.3,ＦＣ東京,11,11.5544,0.5543999999999993,0.295,0.0,0.0001,0.016800000000000002
2023,0.3,アビスパ福岡,7,12.5837,5.5837,0.001,0.0,0.0,0.0588
2023,0.3,アルビレックス新潟,10,13.0719,3.0718999999999994,0.049,0.0,0.0,0.1031
2023,0.3,湘南ベルマーレ,15,14.568,0.4320000000000004,0.185,0.0,0.0,0.34459999999999996
2023,0.3,京都サンガF.C.,13,14.7865,1.7865000000000002,0.1244,0.0,0.0,0.382
2023,0.3,ガンバ大阪,16,14.8188,1.1812000000000005,0.1981,0.0,0.0,0.37729999999999997
2023,0.3,柏レイソル,17,16.5394,0.46059999999999945,0.3264,0.0,0.0,0.7964
2023,0.3,横浜ＦＣ,18,17.2312,0.7687999999999988,0.5518,0.0,0.0,0.9188999999999999
2024,0.0,ＦＣ町田ゼルビア,3,1.5168,1.4832,0.0764,0.6897,0.9503,0.0
2024,0.0,鹿島アントラーズ,5,2.9592,2.0408,0.0785,0.1617,0.7041999999999999,0.0
2024,0.0,ヴィッセル神戸,1,3.9916,2.9916,0.0629,0.0629,0.46599999999999997,0.0
2024,0.0,サンフレッチェ広島,2,4.2084,2.2084,0.16,0.0518,0.4232,0.0
2024,0.0,ガンバ大阪,4,4.9274,0.9273999999999996,0.1862,0.0277,0.2843,0.0
2024,0.0,横浜Ｆ・マリノス,9,8.1137,0.8863000000000003,0.1126,0.0021,0.0477,0.0
2024,0.0,ＦＣ東京,7,8.1633,1.1632999999999996,0.1303,0.0014,0.0464,0.0001
2024,0.0,セレッソ大阪,10,8.5692,1.4307999999999996,0.1066,0.0011,0.0329,0.0003
2024,0.0,浦和レッズ,13,9.4362,3.5638000000000005,0.0746,0.0007,0.0133,0.0006
2024,0.0,アビスパ福岡,12,9.8304,2.169600000000001,0.1081,0.0004,0.0112,0.0002
2024,0.0,名古屋グランパス,11,9.9975,1.0024999999999995,0.1264,0.0002,0.0109,0.0004
2024,0.0,東京ヴェルディ,6,10.1117,4.111700000000001,0.0584,0.0003,0.0082,0.0006
2024,0.0,川崎フロンターレ,8,12.1025,4.102499999999999,0.0491,0.0,0.0011,0.006500000000000001
2024,0.0,ジュビロ磐田,18,13.8395,4.160500000000001,0.0278,0.0,0.00030000000000000003,0.033499999999999995
2024,0.0,アルビレックス新潟,16,14.2255,1.7744999999999997,0.1694,0.0,0.0,0.0452
2024,0.0,柏レイソル,17,15.4084,1.5915999999999997,0.1951,0.0,0.0,0.1082
2024,0.0,サガン鳥栖,20,16.5772,3.4227999999999987,0.0145,0.0,0.0,0.2943
2024,0.0,湘南ベルマーレ,15,17.7086,2.7086000000000006,0.0424,0.0,0.0,0.6431
2024,0.0,京都サンガF.C.,14,18.7097,4.7097000000000016,0.003,0.0,0.0,0.8855999999999999
2024,0.0,北海道コンサドーレ札幌,19,19.6032,0.6032000000000011,0.2109,0.0,0.0,0.9814
2024,0.05,ＦＣ町田ゼルビア,3,1.4885,1.5115,0.0737,0.6949,0.9569,0.0
2024,0.05,鹿島アントラーズ,5,2.9463,2.0537,0.0786,0.159,0.7092,0.0
2024,0.05,ヴィッセル神戸,1,3.9106,2.9106,0.0664,0.0664,0.4762,0.0
2024,0.05,サンフレッチェ広島,2,4.2043,2.2043,0.1631,0.0494,0.422,0.0
2024,0.05,ガンバ大阪,4,4.9562,0.9561999999999999,0.1947,0.0247,0.27180000000000004,0.0
2024,0.05,横浜Ｆ・マリノス,9,8.0541,0.9459,0.1091,0.0024,0.0492,0.0002
2024,0.05,ＦＣ東京,7,8.2395,1.2394999999999996,0.1276,0.0014,0.0368,0.0002
2024,0.05,セレッソ大阪,10,8.536,1.4640000000000004,0.1042,0.0008,0.0293,0.0001
2024,0.05,浦和レッズ,13,9.4247,3.5753000000000004,0.0737,0.0004,0.0158,0.0002
2024,0.05,アビスパ福岡,12,9.8654,2.1346000000000007,0.1153,0.0001,0.0098,0.0002
2024,0.05,東京ヴェルディ,6,10.0145,4.0145,0.0631,0.0,0.0116,0.0011
2024,0.05,名古屋グランパス,11,10.045,0.9550000000000001,0.1228,0.0005,0.0104,0.0004
2024,0.05,川崎フロンターレ,8,12.0827,4.082700000000001,0.0473,0.0,0.0009,0.0062
2024,0.05,ジュビロ磐田,18,13.8694,4.130599999999999,0.0252,0.0,0.0001,0.031799999999999995
