timing_bucket,n_events,mean_sum_points_residual_after_1_3,median_sum_points_residual_after_1_3,mean_sum_points_residual_after_1_5,mean_goal_for_residual_after_1_3,mean_goals_against_improvement_after_1_3,boost_rate_after_1_3,strong_boost_rate_after_1_3,strong_negative_rate_after_1_3
17_24,46,0.4561103962306073,0.9662139352111282,0.7116355285452469,0.1722714832814059,-0.027264630052506025,0.5652173913043478,0.2391304347826087,0.17391304347826086
09_16,33,0.31083427789261653,-0.4549091379981891,0.09809170121206241,0.2064483751263681,-0.16798633421355766,0.3939393939393939,0.24242424242424243,0.18181818181818182
25_plus,26,-0.1301606252271431,0.043666994750552454,0.07309302059369675,-0.09059435133868231,-0.04255575792358024,0.5,0.15384615384615385,0.2692307692307692
00_08,13,-0.10286592540062715,-0.1890453658111841,0.7463557808401584,-0.18127661208993232,0.2161306344706787,0.38461538461538464,0.23076923076923078,0.3076923076923077
