last5_points_bucket,n_events,mean_sum_points_residual_after_1_3,median_sum_points_residual_after_1_3,mean_sum_points_residual_after_1_5,mean_goal_for_residual_after_1_3,mean_goals_against_improvement_after_1_3,boost_rate_after_1_3,strong_boost_rate_after_1_3,strong_negative_rate_after_1_3
0_3_poor,54,0.4931478988735276,0.2839947339780239,0.8660448283088503,0.086104137549388,0.018262132296645972,0.5370370370370371,0.25925925925925924,0.2037037037037037
4_6_bad,45,0.2764976645102296,-0.1464483950567745,0.10514746052945857,0.1013789707099672,0.07444527365939524,0.4888888888888889,0.2222222222222222,0.17777777777777778
7_9_neutral,11,-0.5975693101611234,-0.4549091379981891,0.8095519396627071,0.24391595709565667,-0.5727862059406855,0.2727272727272727,0.09090909090909091,0.2727272727272727
10_15_good,8,-0.747742864926008,-1.3592991280492484,-1.6034779561694674,-0.23368963994096775,-0.39125220783763415,0.375,0.125,0.375
