season,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
2005,after_1_3,1,3,15,5,1.1962751499976116,0.8666666666666667,-0.32960848333094517,17.944127249964176,13.0,-4.944127249964177,-0.9642423677616867,0.30502540109979637,1.0726468890347036,1.2666666666666666,0.19401977763196315,1.312503689618912,1.4666666666666666,-0.15416297704775492,-0.7595044779148162,0.45117852381930634,0.03985680058420814,0.296373704650854,0.30715403604504987,0.39647225930409624,0.5333333333333333,17.2
2005,after_1_5,1,5,25,5,1.2552406429326752,1.0,-0.25524064293267523,31.381016073316882,25.0,-6.381016073316881,-0.7245669473224959,0.21408566145714547,1.1767138267433404,1.28,0.10328617325665966,1.3393869217379868,1.44,-0.10061307826201343,-0.5572603096242226,0.3560341531001957,0.002673094994646199,0.3175611214176095,0.3025572786798467,0.37988159990254383,0.48,17.2
2005,after_1_10,1,10,50,5,1.2433334492726533,1.26,0.01666655072734672,62.166672463632665,63.0,0.833327536367336,-0.3321881551398896,0.36552125659458307,1.1746576966313618,1.26,0.08534230336863816,1.3491538549293225,1.36,-0.010846145070677507,-0.3685834879584485,0.3468911978170935,0.07449615829796066,0.313562495803906,0.3026459618609353,0.38379154233515883,0.52,17.2
2005,after_4_6,4,6,15,5,1.2160108920573902,1.1333333333333333,-0.08267755872405684,18.240163380860853,17.0,-1.2401633808608525,-0.6373103964543404,0.47195527900622675,1.265400755159973,1.3333333333333333,0.0679325781733603,1.5134497088674312,1.6,-0.08655029113256853,-0.680158251497558,0.507057669232421,-0.018617712959208176,0.30898159613864884,0.2890661036414434,0.40195230021990763,0.4666666666666667,17.2
2005,after_7_10,7,10,20,5,1.2991190916403816,1.65,0.35088090835961844,25.982381832807633,33.0,7.017618167192369,-0.2405589903031367,0.9423208070223736,1.1831085084323973,1.2,0.0168914915676028,1.2534195884585486,1.1,0.15341958845854875,-0.49344404676877107,0.8002832236858686,0.1703110800261515,0.3298897639176378,0.3094497998874681,0.3606604361948941,0.55,17.2
2006,after_1_3,1,3,27,9,1.1613765895958243,1.7407407407407407,0.5793641511449161,31.35716791908726,47.0,15.642832080912736,0.1312942320120027,1.0274340702778295,1.4677344139413877,2.1481481481481484,0.6804137342067604,1.8543434929553895,1.7407407407407407,0.11360275221464884,-0.3910495953867648,0.6182550998160625,0.7940164864214092,0.3034246010919199,0.25110278632006494,0.44547261258801524,0.5185185185185185,14.444444444444445
2006,after_1_5,1,5,45,9,1.0813100678155751,1.511111111111111,0.42980104329553626,48.65895305170088,68.0,19.34104694829913,0.07385628070249789,0.7857458058885747,1.385854262696441,1.8444444444444446,0.4585901817480035,1.9189678268662722,1.7777777777777777,0.14119004908849395,-0.2705139007024716,0.5528939988794596,0.5997802308364973,0.27788850183588865,0.247644562307909,0.4744669358562024,0.5111111111111111,14.444444444444445
2006,after_1_10,1,10,85,9,1.1013177899423294,1.3647058823529412,0.2633880924106118,93.61201214509799,116.0,22.387987854902,-0.008084332847588638,0.5348605176688122,1.3979813894926987,1.576470588235294,0.17848919874259533,1.8821283065168193,1.7058823529411764,0.17624595357564282,-0.10640744134957408,0.4588993485008597,0.3547351523182382,0.2839482465851992,0.24947305018673183,0.466578703228069,0.5058823529411764,13.588235294117647
2006,after_4_6,4,6,26,9,1.0190944951245766,1.0,-0.01909449512457664,26.49645687323899,26.0,-0.4964568732389927,-0.519133478881939,0.4809444886327857,1.3298709188561715,1.3076923076923077,-0.022178611163863618,1.980087925949371,1.9230769230769231,0.05701100287244832,-0.5540006506590148,0.6680226564039115,0.034832391708584765,0.25824953663492717,0.24434588521979514,0.4974045781452777,0.46153846153846156,13.884615384615385
2006,after_7_10,7,10,32,8,1.1174496047741167,1.34375,0.22630039522588313,35.758387352771734,43.0,7.24161264722826,-0.2274473640423343,0.6800481544941006,1.3944670325062958,1.3125,-0.08196703250629592,1.825979552170327,1.5,0.325979552170327,-0.05555409037909409,0.707513194719748,0.2440125196640311,0.28839527430474954,0.25226378185986825,0.45934094383538226,0.53125,12.625
