event_id,season,team,old_manager,new_manager,effective_change_date,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_1_10,1,10,10,1,1.1490592216164113,1.4,0.2509407783835885,11.490592216164114,14.0,2.509407783835885,-0.5716041085933904,1.0662351108501709,1.2850028711634258,1.1,-0.1850028711634259,1.6778587162329128,1.0,0.6778587162329128,0.29854101132219113,0.253436187649838,0.4480228010279709,0.6
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_1_3,1,3,3,1,1.2142013654042612,2.3333333333333335,1.119131967929072,3.6426040962127835,7.0,3.3573959037872165,0.5185633212459577,1.7844719303968617,1.2661902183199665,1.0,-0.26619021831996664,1.5555057287837257,0.0,1.5555057287837257,0.3181646572385295,0.2597073936886723,0.4221279490727981,0.6666666666666666
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_1_5,1,5,5,1,1.11786151506927,2.0,0.88213848493073,5.58930757534635,10.0,4.41069242465365,-0.25809757344833717,1.8251159267854646,1.159054073263212,1.0,-0.1590540732632121,1.5681308082977685,0.6,0.9681308082977683,0.2812779650758406,0.2740276198417481,0.44469441508241125,0.6
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_4_6,4,6,3,1,1.2309797574573242,2.0,0.7690202425426756,3.692939272371973,6.0,2.307060727628027,-1.1978410396281685,2.2511375604946013,1.3936706330409099,1.3333333333333333,-0.060337299707576474,1.566270629035358,1.0,0.5662706290353582,0.3172996117021913,0.2790809223507504,0.4036194659470584,0.6666666666666666
E001,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-24,after_7_10,7,10,4,1,1.0387622118948396,0.25,-0.7887622118948396,4.1550488475793586,1.0,-3.1550488475793586,-1.6674578259184027,-0.16201648673275348,1.2176115393879074,1.0,-0.21761153938790742,1.853314522217969,1.75,0.10331452221796911,0.26975432659993714,0.2294992320950281,0.5007464413050349,0.5
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_1_10,1,10,6,1,1.0612711646427073,1.0,-0.061271164642707356,6.367626987856244,6.0,-0.36762698785624415,-0.6656333063250187,0.625288920212251,1.030455107662252,0.6666666666666666,-0.36378844099558516,1.515367441735686,1.0,0.5153674417356859,0.25547144422350376,0.2948568319721959,0.44967172380430026,0.5
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_1_5,1,5,1,1,1.2611547873163795,1.0,-0.26115478731637953,1.2611547873163795,1.0,-0.26115478731637953,-0.26115478731637953,-0.26115478731637953,1.239580246717136,0.0,-1.239580246717136,1.3638109186526768,0.0,1.3638109186526768,0.3151419697185262,0.3157288781608007,0.369129152120673,1.0
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_4_6,4,6,2,1,1.022848645486195,0.5,-0.522848645486195,2.04569729097239,1.0,-1.04569729097239,-0.7845425036560105,-0.26115478731637953,1.0750159611972379,0.0,-1.0750159611972379,1.6029224706098177,0.5,1.1029224706098177,0.2433583773872004,0.29277351332459356,0.4638681092882058,0.5
E002,2023,柏,ネルシーニョ,井原 正巳,2023-05-20,after_7_10,7,10,4,1,1.0804824242209636,1.25,0.16951757577903648,4.3219296968838545,5.0,0.6780703031161459,-0.7152114407667676,1.0685107739765662,1.008174680894759,1.0,-0.00817468089475884,1.47158992729862,1.25,0.22158992729862,0.2615279776416554,0.2958984912959971,0.4425735310623474,0.5
E003,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-20,after_1_10,1,10,10,1,1.4710939678182775,1.3,-0.17109396781827751,14.710939678182775,13.0,-1.7109396781827753,-1.0749009410288086,0.7785257638886669,1.6077480680425005,1.7,0.09225193195749967,1.4263060510550551,1.8,-0.3736939489449448,0.40139812799325725,0.26689958383850565,0.3317022881682371,0.6
