competition,competition_id,season,match_id,match_url,date,home,away,home_goal,away_goal,home_manager,away_manager,manager_parse_method,page_title
J1,1001,2024,20240928002,https://soccer-db.net/result/20240928002,2024-09-28,名古屋,磐田,,,長谷川 健太,横内 昭展,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 名古屋グランパス - ジュビロ磐田 試合結果,スタメン"
J1,1001,2024,20240928003,https://soccer-db.net/result/20240928003,2024-09-28,G大阪,東京V,,,ダニエル ポヤトス,城福 浩,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 ガンバ大阪 - 東京ヴェルディ 試合結果,スタメン"
J1,1001,2024,20240928004,https://soccer-db.net/result/20240928004,2024-09-28,横浜FM,FC東京,,,ジョン ハッチンソン,ピーター クラモフスキー,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 横浜Ｆ・マリノス - ＦＣ東京 試合結果,スタメン"
J1,1001,2024,20240928005,https://soccer-db.net/result/20240928005,2024-09-28,C大阪,柏,,,小菊 昭雄,井原 正巳,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 セレッソ大阪 - 柏レイソル 試合結果,スタメン"
J1,1001,2024,20240928006,https://soccer-db.net/result/20240928006,2024-09-28,湘南,鹿島,,,山口 智,ランコ ポポビッチ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 湘南ベルマーレ - 鹿島アントラーズ 試合結果,スタメン"
J1,1001,2024,20240928007,https://soccer-db.net/result/20240928007,2024-09-28,広島,町田,,,ミヒャエル スキッベ,黒田 剛,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 サンフレッチェ広島 - ＦＣ町田ゼルビア 試合結果,スタメン,フォーメーション"
J1,1001,2024,20240928008,https://soccer-db.net/result/20240928008,2024-09-28,神戸,浦和,,,吉田 孝行,マチェイ スコルジャ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 ヴィッセル神戸 - 浦和レッズ 試合結果,スタメン"
J1,1001,2024,20240928009,https://soccer-db.net/result/20240928009,2024-09-28,鳥栖,福岡,,,木谷 公亮,長谷部 茂利,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/09/28 サガン鳥栖 - アビスパ福岡 試合結果,スタメン,フォーメーション"
J1,1001,2024,20241002001,https://soccer-db.net/result/20241002001,2024-10-02,C大阪,G大阪,,,小菊 昭雄,ダニエル ポヤトス,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/02 セレッソ大阪 - ガンバ大阪 試合結果,スタメン,フォーメーション"
J1,1001,2024,20241004001,https://soccer-db.net/result/20241004001,2024-10-04,福岡,名古屋,,,長谷部 茂利,長谷川 健太,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/04 アビスパ福岡 - 名古屋グランパス 試合結果,スタメン"
J1,1001,2024,20241005001,https://soccer-db.net/result/20241005001,2024-10-05,新潟,鹿島,,,松橋 力蔵,ランコ ポポビッチ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/05 アルビレックス新潟 - 鹿島アントラーズ 試合結果,スタメン"
J1,1001,2024,20241005002,https://soccer-db.net/result/20241005002,2024-10-05,FC東京,鳥栖,,,ピーター クラモフスキー,木谷 公亮,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/05 ＦＣ東京 - サガン鳥栖 試合結果,スタメン"
J1,1001,2024,20241005003,https://soccer-db.net/result/20241005003,2024-10-05,町田,川崎F,,,黒田 剛,鬼木 達,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/05 ＦＣ町田ゼルビア - 川崎フロンターレ 試合結果,スタメン"
J1,1001,2024,20241005004,https://soccer-db.net/result/20241005004,2024-10-05,柏,横浜FM,,,井原 正巳,ジョン ハッチンソン,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/05 柏レイソル - 横浜Ｆ・マリノス 試合結果,スタメン"
J1,1001,2024,20241005005,https://soccer-db.net/result/20241005005,2024-10-05,浦和,C大阪,,,マチェイ スコルジャ,小菊 昭雄,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/05 浦和レッズ - セレッソ大阪 試合結果,スタメン"
J1,1001,2024,20241005006,https://soccer-db.net/result/20241005006,2024-10-05,G大阪,札幌,,,ダニエル ポヤトス,ミハイロ ペトロビッチ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/05 ガンバ大阪 - 北海道コンサドーレ札幌 試合結果,スタメン"
J1,1001,2024,20241006001,https://soccer-db.net/result/20241006001,2024-10-06,京都,神戸,,,チョウ キジェ,吉田 孝行,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/06 京都サンガF.C. - ヴィッセル神戸 試合結果,スタメン"
J1,1001,2024,20241006002,https://soccer-db.net/result/20241006002,2024-10-06,磐田,広島,,,横内 昭展,ミヒャエル スキッベ,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/06 ジュビロ磐田 - サンフレッチェ広島 試合結果,スタメン"
J1,1001,2024,20241006003,https://soccer-db.net/result/20241006003,2024-10-06,東京V,湘南,,,城福 浩,山口 智,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/06 東京ヴェルディ - 湘南ベルマーレ 試合結果,スタメン"
J1,1001,2024,20241018001,https://soccer-db.net/result/20241018001,2024-10-18,神戸,FC東京,,,吉田 孝行,ピーター クラモフスキー,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/18 ヴィッセル神戸 - ＦＣ東京 試合結果,スタメン"
J1,1001,2024,20241018002,https://soccer-db.net/result/20241018002,2024-10-18,川崎F,G大阪,,,鬼木 達,ダニエル ポヤトス,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/18 川崎フロンターレ - ガンバ大阪 試合結果,スタメン"
J1,1001,2024,20241018003,https://soccer-db.net/result/20241018003,2024-10-18,横浜FM,新潟,,,ジョン ハッチンソン,松橋 力蔵,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/18 横浜Ｆ・マリノス - アルビレックス新潟 試合結果,スタメン"
J1,1001,2024,20241019001,https://soccer-db.net/result/20241019001,2024-10-19,柏,町田,,,井原 正巳,黒田 剛,text,"Soccer D.B. : 2024 明治安田 Ｊ１リーグ 24/10/19 柏レイソル - ＦＣ町田ゼルビア 試合結果,スタメン"
