pre_context_auto,n_events,mean_sum_points_residual_after_1_3,median_sum_points_residual_after_1_3,mean_sum_points_residual_after_1_5,mean_goal_for_residual_after_1_3,mean_goals_against_improvement_after_1_3,boost_rate_after_1_3,strong_boost_rate_after_1_3,strong_negative_rate_after_1_3
defense_collapse,34,0.3227111720418798,0.3904535996298575,0.07745224113946353,0.0576916750526517,0.20011734067554246,0.5,0.29411764705882354,0.2647058823529412
both_attack_defense_bad,28,0.5862025064710868,0.811828320842892,1.1407935388999542,0.18528615718480482,0.05537738485185224,0.5714285714285714,0.25,0.14285714285714285
attack_stagnation,26,0.10231022480158046,-0.733437448191665,0.43642805876703716,0.18793838606500954,-0.25344682556682757,0.4230769230769231,0.15384615384615385,0.23076923076923078
mixed_or_unclear,24,-0.02187371975035531,-0.31580778608942484,0.23382512373690925,-0.04027938604192913,-0.2775332025482108,0.4583333333333333,0.16666666666666666,0.125
low_base_strength,5,-0.6581929297447727,-2.461462011395489,-0.3360571204824808,-0.1624255555392909,-0.04525951425690196,0.2,0.2,0.6
poor_form_possible_regression,1,0.2871941582273625,0.2871941582273625,-2.2789380437192657,-0.2318588298122267,0.0276820690018342,1.0,0.0,0.0
