event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source,pseudo_last5_points,pseudo_last5_gf,pseudo_last5_ga,pseudo_last5_gd,timing_bucket,original_pseudo_event_id
PSEUDO_0093,J1,2021,徳島,no_change_control,no_change_control,,2021-06-27,2021-07-04,2021-07-04,2021-07-04,20,18,20,18,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,2,5,-3,17_24,PSEUDO_2021_徳島_20
PSEUDO_0094,J1,2021,徳島,no_change_control,no_change_control,,2021-08-29,2021-09-10,2021-09-10,2021-09-10,27,11,27,11,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,9,-7,25_plus,PSEUDO_2021_徳島_27
PSEUDO_0095,J1,2021,札幌,no_change_control,no_change_control,,2021-09-18,2021-09-26,2021-09-26,2021-09-26,29,9,29,9,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,8,-6,25_plus,PSEUDO_2021_札幌_29
PSEUDO_0096,J1,2021,柏,no_change_control,no_change_control,,2021-03-17,2021-03-21,2021-03-21,2021-03-21,5,33,5,33,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,7,-5,00_08,PSEUDO_2021_柏_05
PSEUDO_0097,J1,2021,柏,no_change_control,no_change_control,,2021-05-26,2021-05-29,2021-05-29,2021-05-29,16,22,16,22,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,2,9,-7,09_16,PSEUDO_2021_柏_16
PSEUDO_0098,J1,2021,横浜FC,no_change_control,no_change_control,,2021-09-18,2021-09-25,2021-09-25,2021-09-25,29,9,29,9,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,12,-7,25_plus,PSEUDO_2021_横浜FC_29
PSEUDO_0099,J1,2021,湘南,no_change_control,no_change_control,,2021-06-02,2021-06-20,2021-06-20,2021-06-20,18,20,18,20,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,6,-3,17_24,PSEUDO_2021_湘南_18
PSEUDO_0100,J1,2021,福岡,no_change_control,no_change_control,,2021-04-14,2021-04-17,2021-04-17,2021-04-17,10,28,10,28,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,7,-3,09_16,PSEUDO_2021_福岡_10
PSEUDO_0101,J1,2022,G大阪,no_change_control,no_change_control,,2022-06-26,2022-06-29,2022-06-29,2022-06-29,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,8,-4,17_24,PSEUDO_2022_G大阪_17
PSEUDO_0102,J1,2022,京都,no_change_control,no_change_control,,2022-05-21,2022-05-25,2022-05-25,2022-05-25,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,2,6,-4,09_16,PSEUDO_2022_京都_14
PSEUDO_0103,J1,2022,京都,no_change_control,no_change_control,,2022-08-06,2022-08-27,2022-08-27,2022-08-27,24,10,24,10,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,7,-2,17_24,PSEUDO_2022_京都_24
PSEUDO_0104,J1,2022,札幌,no_change_control,no_change_control,,2022-06-18,2022-06-26,2022-06-26,2022-06-26,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,20,-13,17_24,PSEUDO_2022_札幌_17
PSEUDO_0105,J1,2022,清水,no_change_control,no_change_control,,2022-04-06,2022-04-10,2022-04-10,2022-04-10,7,27,7,27,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,8,-5,00_08,PSEUDO_2022_清水_07
PSEUDO_0106,J1,2022,福岡,no_change_control,no_change_control,,2022-08-26,2022-08-31,2022-08-31,2022-08-31,26,8,26,8,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,2,9,-7,25_plus,PSEUDO_2022_福岡_26
PSEUDO_0107,J1,2023,G大阪,no_change_control,no_change_control,,2023-05-06,2023-05-14,2023-05-14,2023-05-14,12,22,12,22,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,3,10,-7,09_16,PSEUDO_2023_G大阪_12
PSEUDO_0108,J1,2023,新潟,no_change_control,no_change_control,,2023-06-24,2023-07-01,2023-07-01,2023-07-01,18,16,18,16,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,10,-6,17_24,PSEUDO_2023_新潟_18
PSEUDO_0109,J1,2024,C大阪,no_change_control,no_change_control,,2024-08-11,2024-08-17,2024-08-17,2024-08-17,26,12,26,12,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,6,-3,25_plus,PSEUDO_2024_C大阪_26
PSEUDO_0110,J1,2024,新潟,no_change_control,no_change_control,,2024-10-05,2024-10-18,2024-10-18,2024-10-18,33,5,33,5,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,16,-10,25_plus,PSEUDO_2024_新潟_33
PSEUDO_0111,J1,2024,湘南,no_change_control,no_change_control,,2024-06-26,2024-06-30,2024-06-30,2024-06-30,20,18,20,18,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,5,8,-3,17_24,PSEUDO_2024_湘南_20
PSEUDO_0112,J1,2024,福岡,no_change_control,no_change_control,,2024-08-10,2024-08-17,2024-08-17,2024-08-17,26,12,26,12,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,7,-3,25_plus,PSEUDO_2024_福岡_26
PSEUDO_0113,J1,2025,FC東京,no_change_control,no_change_control,,2025-06-22,2025-06-25,2025-06-25,2025-06-25,20,18,20,18,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,4,13,-9,17_24,PSEUDO_2025_FC東京_20
PSEUDO_0114,J1,2025,G大阪,no_change_control,no_change_control,,2025-06-15,2025-06-22,2025-06-22,2025-06-22,20,18,20,18,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,7,-3,17_24,PSEUDO_2025_G大阪_20
PSEUDO_0115,J1,2025,広島,no_change_control,no_change_control,,2025-04-29,2025-05-03,2025-05-03,2025-05-03,12,26,12,26,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,3,6,-3,09_16,PSEUDO_2025_広島_12
PSEUDO_0116,J1,2025,清水,no_change_control,no_change_control,,2025-07-05,2025-07-20,2025-07-20,2025-07-20,23,15,23,15,38,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,10,-7,17_24,PSEUDO_2025_清水_23
