event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source,pseudo_last5_points,pseudo_last5_gf,pseudo_last5_ga,pseudo_last5_gd,timing_bucket,original_pseudo_event_id
PSEUDO_0019,J1,2008,新潟,no_change_control,no_change_control,,2008-04-06,2008-04-13,2008-04-13,2008-04-13,5,29,5,29,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,2,10,-8,00_08,PSEUDO_2008_新潟_05
PSEUDO_0020,J1,2008,磐田,no_change_control,no_change_control,,2008-07-05,2008-07-12,2008-07-12,2008-07-12,15,19,15,19,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,9,-5,09_16,PSEUDO_2008_磐田_15
PSEUDO_0021,J1,2008,神戸,no_change_control,no_change_control,,2008-06-29,2008-07-05,2008-07-05,2008-07-05,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,6,-4,09_16,PSEUDO_2008_神戸_14
PSEUDO_0022,J1,2009,FC東京,no_change_control,no_change_control,,2009-08-23,2009-08-29,2009-08-29,2009-08-29,23,11,23,11,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,2,6,-4,17_24,PSEUDO_2009_FC東京_23
PSEUDO_0023,J1,2009,名古屋,no_change_control,no_change_control,,2009-06-28,2009-07-01,2009-07-01,2009-07-01,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,5,8,-3,09_16,PSEUDO_2009_名古屋_14
PSEUDO_0024,J1,2009,大分,no_change_control,no_change_control,,2009-08-24,2009-08-29,2009-08-29,2009-08-29,23,11,23,11,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,6,-4,17_24,PSEUDO_2009_大分_23
PSEUDO_0025,J1,2009,横浜FM,no_change_control,no_change_control,,2009-07-26,2009-08-01,2009-08-01,2009-08-01,19,15,19,15,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,6,-2,17_24,PSEUDO_2009_横浜FM_19
PSEUDO_0026,J1,2009,浦和,no_change_control,no_change_control,,2009-08-15,2009-08-19,2009-08-19,2009-08-19,21,13,21,13,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,7,-5,17_24,PSEUDO_2009_浦和_21
PSEUDO_0027,J1,2010,FC東京,no_change_control,no_change_control,,2010-05-01,2010-05-05,2010-05-05,2010-05-05,9,25,9,25,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,4,8,-4,09_16,PSEUDO_2010_FC東京_09
PSEUDO_0028,J1,2010,京都,no_change_control,no_change_control,,2010-10-24,2010-10-30,2010-10-30,2010-10-30,27,7,27,7,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,8,-5,25_plus,PSEUDO_2010_京都_27
PSEUDO_0029,J1,2010,新潟,no_change_control,no_change_control,,2010-04-03,2010-04-10,2010-04-10,2010-04-10,5,29,5,29,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,5,-3,00_08,PSEUDO_2010_新潟_05
PSEUDO_0030,J1,2010,湘南,no_change_control,no_change_control,,2010-08-21,2010-08-28,2010-08-28,2010-08-28,20,14,20,14,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,6,15,-9,17_24,PSEUDO_2010_湘南_20
PSEUDO_0031,J1,2010,鹿島,no_change_control,no_change_control,,2010-08-28,2010-09-11,2010-09-11,2010-09-11,21,13,21,13,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,6,-2,17_24,PSEUDO_2010_鹿島_21
PSEUDO_0032,J1,2011,大宮,no_change_control,no_change_control,,2011-08-24,2011-08-27,2011-08-27,2011-08-27,23,11,23,11,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,8,-4,17_24,PSEUDO_2011_大宮_23
PSEUDO_0033,J1,2011,川崎F,no_change_control,no_change_control,,2011-08-06,2011-08-14,2011-08-14,2011-08-14,20,14,20,14,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,8,-4,17_24,PSEUDO_2011_川崎F_20
PSEUDO_0034,J1,2011,福岡,no_change_control,no_change_control,,2011-09-17,2011-09-25,2011-09-25,2011-09-25,26,8,26,8,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,5,14,-9,25_plus,PSEUDO_2011_福岡_26
PSEUDO_0035,J1,2011,鹿島,no_change_control,no_change_control,,2011-07-27,2011-07-31,2011-07-31,2011-07-31,17,17,17,17,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,7,10,-3,17_24,PSEUDO_2011_鹿島_17
PSEUDO_0036,J1,2012,C大阪,no_change_control,no_change_control,,2012-05-06,2012-05-12,2012-05-12,2012-05-12,10,24,10,24,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,6,9,-3,09_16,PSEUDO_2012_C大阪_10
PSEUDO_0037,J1,2012,FC東京,no_change_control,no_change_control,,2012-04-28,2012-05-06,2012-05-06,2012-05-06,8,26,8,26,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,2,8,-6,00_08,PSEUDO_2012_FC東京_08
PSEUDO_0038,J1,2012,G大阪,no_change_control,no_change_control,,2012-05-25,2012-06-16,2012-06-16,2012-06-16,12,22,12,22,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,3,10,-7,09_16,PSEUDO_2012_G大阪_12
