model_version,target_year,previous_year,match_index_in_test,date,home,away,actual_home_goal,actual_away_goal,lambda_home,lambda_away,home_win_prob,draw_prob,away_win_prob,home_expected_points,away_expected_points,home_actual_points,away_actual_points,home_points_residual,away_points_residual,home_goal_residual,away_goal_residual,score_grid_expected_home_goals,score_grid_expected_away_goals,home_elo,away_elo,home_matchup_effect,away_matchup_effect
v1.5,2023,2022,1,2023-06-24,広島,横浜FM,0,1,1.505350494128501,1.2347947351201285,0.4055897071069302,0.3039530935659146,0.2904571993271553,1.520722214886705,1.1753246915473805,0,3,-1.520722214886705,1.8246753084526195,-1.505350494128501,-0.2347947351201285,1.4760641516121602,1.2238681076872977,1557.838679637829,1654.9664878390527,-0.02193945125700543,0.02193945125700543
v1.5,2023,2022,2,2023-06-24,京都,横浜FC,2,1,1.2240783685851384,0.8534363632018416,0.4251458621840357,0.33000000000000007,0.2448541378159643,1.605437586552107,1.0645624134478928,3,0,1.394562413447893,-1.0645624134478928,0.7759216314148616,0.14656363679815843,1.1987256656997742,0.8467427932715043,1435.0035369045336,1420.8505167370859,0.02318878907055224,-0.02318878907055224
v1.5,2023,2022,3,2023-06-24,FC東京,名古屋,2,0,1.2610564769242152,1.4663802182044166,0.30313111690998995,0.3061347188731684,0.3907341642168418,1.2155280696031383,1.478337211523694,3,0,1.7844719303968617,-1.478337211523694,0.7389435230757848,-1.4663802182044166,1.2479752375364257,1.4392318920840272,1474.3075807527803,1567.8706549714868,0.041053014096246454,-0.041053014096246454
v1.5,2023,2022,4,2023-06-24,柏,新潟,0,0,1.239580246717136,1.3638109186526768,0.31514196971852626,0.3157288781608007,0.369129152120673,1.2611547873163795,1.4231163345228197,1,1,-0.26115478731637953,-0.4231163345228197,-1.239580246717136,-1.3638109186526768,1.2230641870477614,1.3384223504357724,1426.229179760879,1440.4461953650673,0.011493379261323718,-0.011493379261323718
v1.5,2023,2022,5,2023-06-24,浦和,川崎F,1,1,1.9993881172838477,1.2743427636725666,0.5123085871244903,0.2595206366338762,0.22817077624163326,1.7964463980073473,0.944032965358776,1,1,-0.7964463980073473,0.05596703464122399,-0.9993881172838477,-0.2743427636725666,1.9614960736856082,1.2765361758281006,1557.3234991779466,1578.255514608496,0.0112512540282075,-0.0112512540282075
v1.5,2023,2022,6,2023-06-24,湘南,鳥栖,0,6,1.1729501030794276,1.7705100145050638,0.23698362588774793,0.2806228487716039,0.4823935253406483,0.9915737264348478,1.7278034247935485,0,3,-0.9915737264348478,1.2721965752064515,-1.1729501030794276,4.229489985494936,1.1718011651315439,1.7328591132080824,1451.2254606675106,1492.560956580837,0.05194852009116134,-0.05194852009116134
v1.5,2023,2022,7,2023-06-25,福岡,神戸,0,3,0.83750985576705,1.468049990888276,0.19892881500208198,0.31863793880608393,0.48243324619183414,0.9154243838123298,1.7659376773815865,0,3,-0.9154243838123298,1.2340623226184135,-0.83750985576705,1.531950009111724,0.835518227188885,1.4204626499800082,1446.4903029050529,1581.3188621947713,-0.023523181553322614,0.023523181553322614
v1.5,2023,2022,8,2023-06-28,浦和,湘南,4,1,1.901211139506673,0.9799327489838354,0.5558382780021858,0.2646317553508731,0.17952996664694126,1.9321465893574303,0.8032216552916969,3,0,1.0678534106425697,-0.8032216552916969,2.098788860493327,0.020067251016164578,1.854436393081805,0.9853325839368512,1557.3234991779466,1451.2254606675106,-0.012735585689517612,0.012735585689517612
v1.5,2023,2022,9,2023-06-30,C大阪,福岡,0,1,1.6991400877535907,0.7831371244425742,0.5553566283577515,0.28520101073366116,0.15944236090858727,1.9512708958069156,0.763528093459423,0,3,-1.9512708958069156,2.236471906540577,-1.6991400877535907,0.21686287555742578,1.6465675654713299,0.7876959690137817,1556.9340998880539,1446.4903029050529,-0.023088376509111212,0.023088376509111212
v1.5,2023,2022,10,2023-07-01,名古屋,川崎F,2,0,1.4387270547049527,1.067000789864477,0.4232401744294889,0.31683647051922165,0.25992335505128944,1.5865569938076884,1.09660653567309,3,0,1.4134430061923116,-1.09660653567309,0.5612729452950473,-1.067000789864477,1.4032871795887574,1.058235543158039,1567.8706549714868,1578.255514608496,-0.04052953205924574,0.04052953205924574
