group,window,n_events,n_matches,mean_event_sum_points_residual,median_event_sum_points_residual,mean_match_points_residual,mean_goal_for_residual,mean_goals_against_improvement,boost_rate,strong_boost_rate,strong_negative_rate
pseudo_no_change,after_1_10,116,1074,0.9818471440501513,1.3179043085958138,0.10177469065871507,0.09696396537643166,0.02177210236363106,0.5948275862068966,0.3879310344827586,0.27586206896551724
pseudo_no_change,after_1_3,116,348,0.27293516363716985,0.1341820178905864,0.09097838787905663,0.1450339751658403,-0.024144479219683535,0.5172413793103449,0.2413793103448276,0.20689655172413793
pseudo_no_change,after_1_5,116,580,0.37764659786045734,-0.11117621705749005,0.07552931957209147,0.10018130354881662,-0.009074535933176139,0.49137931034482757,0.27586206896551724,0.22413793103448276
pseudo_no_change,after_4_6,116,340,0.3731832685339589,0.17991920742153325,0.12572132332795663,0.06534395721873755,0.11652882837419906,0.5431034482758621,0.23275862068965517,0.1206896551724138
pseudo_no_change,after_7_10,103,386,0.37810223862103504,0.04508561180812,0.10881978589273957,0.09530818449311546,-0.04073900631367426,0.5048543689320388,0.32038834951456313,0.18446601941747573
true_manager_change,after_1_10,118,1004,0.334610578225851,0.16395359078895438,0.04212122835649013,0.06129755208691918,0.042931545503225546,0.5084745762711864,0.3644067796610169,0.3050847457627119
true_manager_change,after_1_3,118,346,0.22472183144873226,-0.127675136009977,0.07234842298420863,0.0849596230350844,-0.04317350397760122,0.4830508474576271,0.22033898305084745,0.211864406779661
true_manager_change,after_1_5,118,556,0.40318054355455585,0.0928449434188527,0.08432269595004183,0.09350794192204356,0.00010925871528523308,0.5084745762711864,0.3135593220338983,0.2796610169491525
true_manager_change,after_4_6,109,306,0.14385834671826708,0.0228050396920713,0.059192922878500996,0.09787035000794025,0.06664961682018201,0.5045871559633027,0.1926605504587156,0.1834862385321101
true_manager_change,after_7_10,92,352,-0.029496605136859894,-0.01289008614257215,-0.0304873861519399,-0.01437732862302376,0.11692688898665617,0.5,0.2391304347826087,0.25
