uplift_rule_level,n_events,mean_uplift,median_uplift,mean_raw_residual,uplift_rate,strong_uplift_rate,strong_downlift_rate
medium,34,0.7119276383768821,0.49804938928415643,1.093182034661222,0.5588235294117647,0.47058823529411764,0.35294117647058826
low,26,0.40059110628487343,0.17619004606878458,0.9300935324557262,0.5,0.34615384615384615,0.3076923076923077
high,31,0.25939977517661206,-0.4158371131522661,0.4365143195135658,0.45161290322580644,0.3870967741935484,0.41935483870967744
very_low,15,-2.1622125005289363,-2.4741254722275543,-1.6246190424771358,0.26666666666666666,0.0,0.6
