summary_axis,category,n_events,mean_uplift,median_uplift,mean_raw_residual,uplift_rate,strong_uplift_rate,strong_downlift_rate
new_manager_type,internal,47,0.3646536107265354,-0.4158371131522661,0.7204181375001875,0.44680851063829785,0.3829787234042553,0.3829787234042553
new_manager_type,returning,14,0.34373452328234133,-0.3747999597569029,0.7416111023379239,0.42857142857142855,0.2857142857142857,0.35714285714285715
new_manager_type,external,33,-0.2109727334364345,0.11103229468337691,0.16724954451969978,0.5454545454545454,0.30303030303030304,0.36363636363636365
new_manager_type,caretaker,12,-0.39664906966133157,-1.2670402144810216,0.06265303547534103,0.4166666666666667,0.4166666666666667,0.5833333333333334
new_manager_jleague_experience,none,2,3.1714893954313013,3.1714893954313013,3.9142062173434016,1.0,0.5,0.0
new_manager_jleague_experience,j2_or_below,2,2.4817935601163392,2.4817935601163392,3.2245103820284395,0.5,0.5,0.0
new_manager_jleague_experience,j1,32,0.5068356796193834,-0.022594694328287743,0.8871331657207082,0.5,0.375,0.375
new_manager_jleague_experience,assistant_only,53,-0.1781158299300383,-0.5532854916271666,0.19649283163945283,0.39622641509433965,0.33962264150943394,0.4528301886792453
new_manager_jleague_experience,foreign_unknown,17,-0.4621208636389347,0.11103229468337691,-0.15097266403549484,0.5882352941176471,0.29411764705882354,0.35294117647058826
change_type,mutual_agreement,5,1.71667653270898,4.842961497139765,2.285087525154373,0.6,0.6,0.4
change_type,resignation,6,0.5024431342749928,-0.7031821390205809,0.7449204215196104,0.3333333333333333,0.3333333333333333,0.5
change_type,dismissal,72,-0.001997867456749705,-0.39123168308922085,0.3774676301219273,0.4444444444444444,0.3333333333333333,0.4027777777777778
change_type,caretaker_transition,23,-0.053264392241184885,0.11103229468337691,0.3235065115837234,0.5652173913043478,0.34782608695652173,0.34782608695652173
style_change,attacking_reset,1,4.5749783405294675,4.5749783405294675,4.730139654432294,1.0,1.0,0.0
style_change,defensive_reset,41,0.8745323741303525,-0.10323674714963549,1.2140801627906035,0.4878048780487805,0.34146341463414637,0.2926829268292683
style_change,continuity,39,0.06102728872418277,-0.474812605219906,0.4321282917105616,0.46153846153846156,0.38461538461538464,0.4358974358974359
style_change,major_change,15,-0.6262238148455079,0.11103229468337691,-0.22501063132685567,0.5333333333333333,0.26666666666666666,0.4
style_change,unknown,10,-2.3188398726672803,-4.1425061453716685,-1.7471990945562172,0.3,0.3,0.7
prior_relationship_to_club,former_manager,13,0.4086978164150601,-0.2488116320708028,0.8058851248925806,0.46153846153846156,0.3076923076923077,0.38461538461538464
prior_relationship_to_club,current_staff,55,0.2485288850153089,-0.4158371131522661,0.6368968301375425,0.45454545454545453,0.4,0.41818181818181815
prior_relationship_to_club,no_clear_relation,33,-0.2109727334364345,0.11103229468337691,0.16724954451969978,0.5454545454545454,0.30303030303030304,0.36363636363636365
prior_relationship_to_club,former_player,4,-0.32253945190770117,-1.41662754115417,-0.10445919233798362,0.25,0.25,0.5
prior_relationship_to_club,former_staff,1,-0.500788287443003,-0.500788287443003,-0.093951190872611,0.0,0.0,0.0
reason_category,title_pressure,4,4.110113411799677,5.554437122257972,4.593079986880038,0.75,0.75,0.25
reason_category,scheduled_transition,2,2.935558671713516,2.935558671713516,3.1587749999621373,1.0,1.0,0.0
reason_category,relegation_battle,56,0.337515623801144,-0.13174302089369014,0.634022177342486,0.48214285714285715,0.35714285714285715,0.35714285714285715
reason_category,poor_form,30,-0.02544125123848788,0.15378783650343902,0.4989329900088559,0.5,0.3333333333333333,0.4
reason_category,club_disruption,13,-1.950749000508849,-3.010833331436726,-1.5446720186485616,0.23076923076923078,0.15384615384615385,0.6153846153846154
reason_category,tactical_mismatch,1,-4.8603573889585014,-4.8603573889585014,-4.5690860463640846,0.0,0.0,1.0
label_confidence,high,50,0.5771900072710655,0.4793315957795822,0.9483754186496077,0.54,0.42,0.38
label_confidence,medium,56,-0.33268547094270795,-0.4878004463314545,0.05525907781452766,0.4107142857142857,0.2857142857142857,0.4107142857142857
timing_bucket,17_24,42,0.4853095346587873,0.09186114770972871,0.6404708485616135,0.5238095238095238,0.42857142857142855,0.35714285714285715
timing_bucket,09_16,29,0.21084124339058252,0.4394863446432711,0.5021125859849996,0.5172413793103449,0.3448275862068966,0.41379310344827586
timing_bucket,25_plus,23,-0.2694896174879434,-0.7439511458635053,0.13734747908244846,0.30434782608695654,0.2608695652173913,0.43478260869565216
timing_bucket,00_08,12,-0.8391684434176362,0.07627529694485885,0.4911038865037385,0.5,0.25,0.4166666666666667
pre_context_auto,both_attack_defense_bad,28,0.7339285390348154,0.4474135419365585,1.140793538899954,0.6071428571428571,0.35714285714285715,0.25
pre_context_auto,mixed_or_unclear,18,0.22332975602770974,0.37435974422079,0.5450729765326668,0.5,0.4444444444444444,0.4444444444444444
pre_context_auto,attack_stagnation,23,-0.007233910876338198,-0.8872626615136496,0.44340685625593074,0.391304347826087,0.2608695652173913,0.4782608695652174
pre_context_auto,defense_collapse,31,-0.2788641173219628,-0.500788287443003,0.08131008308233807,0.45161290322580644,0.3870967741935484,0.41935483870967744
pre_context_auto,low_base_strength,5,-0.5687755966571385,-0.4158371131522661,-0.3360571204824808,0.2,0.2,0.4
pre_context_auto,poor_form_possible_regression,1,-2.6857751402896577,-2.6857751402896577,-2.2789380437192657,0.0,0.0,1.0
uplift_rule_level,medium,34,0.7119276383768821,0.49804938928415643,1.093182034661222,0.5588235294117647,0.47058823529411764,0.35294117647058826
uplift_rule_level,low,26,0.40059110628487343,0.17619004606878458,0.9300935324557262,0.5,0.34615384615384615,0.3076923076923077
uplift_rule_level,high,31,0.25939977517661206,-0.4158371131522661,0.4365143195135658,0.45161290322580644,0.3870967741935484,0.41935483870967744
uplift_rule_level,very_low,15,-2.1622125005289363,-2.4741254722275543,-1.6246190424771358,0.26666666666666666,0.0,0.6
