model_version,event_id,season,team,old_manager,new_manager,last_old_manager_match_date,effective_change_date,next_change_date,stop_at_next_manager_change,games_after_change,date,home,away,opponent,is_home,actual_home_goal,actual_away_goal,actual_goals_for,actual_goals_against,lambda_home,lambda_away,lambda_for,lambda_against,expected_goals_for_score_grid,expected_goals_against_score_grid,home_win_prob,draw_prob,away_win_prob,team_win_prob,team_draw_prob,team_loss_prob,expected_points,actual_points,points_residual,goal_for_residual,goal_against_residual,goals_against_improvement,goal_diff_residual,team_elo_at_cutoff,opponent_elo_at_cutoff,matchup_effect_at_cutoff,n_train_matches_at_cutoff,team_games_in_train_at_cutoff,team_prev_games,team_effective_prev_weight
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,1,2005-05-01,大分,FC東京,大分,False,2,1,1,2,1.3394692274112363,1.186401660374208,1.186401660374208,1.3394692274112363,1.170397901580709,1.3122866489483105,0.3731508756696771,0.3209576243509132,0.3058914999794098,0.3058914999794098,0.3209576243509132,0.3731508756696771,1.2386321242891425,0,-1.2386321242891425,-0.18640166037420802,0.6605307725887637,-0.6605307725887637,-0.8469324329629717,1480.973020381726,1402.6246729298593,-0.016047534723780957,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,2,2005-05-04,FC東京,鹿島,鹿島,True,0,2,0,2,0.6174392444947474,1.4641157425337092,0.6174392444947474,1.4641157425337092,0.6196090076483329,1.405011631937459,0.14509739869922328,0.31883031987294264,0.536072281427834,0.14509739869922328,0.31883031987294264,0.536072281427834,0.7541225159706124,0,-0.7541225159706124,-0.6174392444947474,0.5358842574662908,-0.5358842574662908,-1.1533235019610382,1480.973020381726,1611.6001815057832,0.0030308573896753854,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,3,2005-05-08,FC東京,大宮,大宮,True,3,3,3,3,1.3622932352343375,1.0777442885761137,1.3622932352343375,1.0777442885761137,1.3292328120097767,1.06578798523424,0.40091891911453537,0.32460111429293603,0.2744799665925288,0.40091891911453537,0.32460111429293603,0.2744799665925288,1.527357871636542,1,-0.5273578716365419,1.6377067647656625,1.9222557114238863,-1.9222557114238863,-0.28454894665822383,1480.973020381726,1511.7768028372236,0.0,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,4,2005-05-14,千葉,FC東京,千葉,False,2,1,1,2,2.6943406357336497,1.7415988698006786,1.7415988698006786,2.6943406357336497,1.7482924025979374,2.6586145678971946,0.5557942328891876,0.2144933163302085,0.22971245078060393,0.22971245078060393,0.2144933163302085,0.5557942328891876,0.9036306686720204,0,-0.9036306686720204,-0.7415988698006786,-0.6943406357336497,0.6943406357336497,-0.04725823406702889,1480.973020381726,1556.030997525683,0.012093686843829759,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,5,2005-07-02,FC東京,C大阪,C大阪,True,2,2,2,2,1.4491731444171028,0.9328879429674526,1.4491731444171028,0.9328879429674526,1.4068126831237162,0.9280142082404544,0.45533172155497037,0.31959487097881073,0.225073407466219,0.45533172155497037,0.31959487097881073,0.225073407466219,1.685590035643722,1,-0.6855900356437219,0.5508268555828972,1.0671120570325474,-1.0671120570325474,-0.5162852014496502,1480.973020381726,1435.622728763379,0.005339903955984393,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,6,2005-07-06,川崎F,FC東京,川崎F,False,0,0,0,0,1.5979096878097288,1.2796633388901821,1.2796633388901821,1.5979096878097288,1.2707513997925304,1.5682937108202053,0.4191691670160351,0.2944477009084949,0.28638313207546995,0.28638313207546995,0.2944477009084949,0.4191691670160351,1.1535970971349048,1,-0.15359709713490477,-1.2796633388901821,-1.5979096878097288,1.5979096878097288,0.3182463489195466,1480.973020381726,1510.155942248915,0.020011088898037495,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,7,2005-07-09,FC東京,東京V,東京V,True,0,0,0,0,1.7442226664204559,1.5083144346156583,1.7442226664204559,1.5083144346156583,1.7200227485162565,1.4982622436234487,0.4086363464838888,0.27659064583423787,0.31477300768187344,0.4086363464838888,0.27659064583423787,0.31477300768187344,1.5024996852859043,1,-0.5024996852859043,-1.7442226664204559,-1.5083144346156583,1.5083144346156583,-0.23590823180479759,1480.973020381726,1474.2553724783452,-0.026678475584034578,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,8,2005-07-13,清水,FC東京,清水,False,0,1,1,0,1.1208483944340646,1.1572248826516316,1.1572248826516316,1.1208483944340646,1.137432320593309,1.1033332584816709,0.32654336812534657,0.33000000000000007,0.34345663187465364,0.34345663187465364,0.33000000000000007,0.32654336812534657,1.360369895623961,3,1.639630104376039,-0.1572248826516316,-1.1208483944340646,1.1208483944340646,0.963623511782433,1480.973020381726,1428.3769803459268,-0.01873728251232748,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,9,2005-07-17,FC東京,横浜FM,横浜FM,True,4,0,4,0,1.1334297081827462,1.172502785171025,1.1334297081827462,1.172502785171025,1.115278243405851,1.1517995480824463,0.3259894374308995,0.3300000000000001,0.3440105625691005,0.3259894374308995,0.3300000000000001,0.3440105625691005,1.3079683122926986,3,1.6920316877073014,2.8665702918172538,-1.172502785171025,1.172502785171025,4.039073076988279,1480.973020381726,1567.5599256453545,0.02173076816762039,72,8,30,0.2
v1.5_counterfactual,PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-04-28,2005-05-01,,True,10,2005-07-23,FC東京,神戸,神戸,True,1,1,1,1,1.3820511634891175,0.6512194425223182,1.3820511634891175,0.6512194425223182,1.3290237340578692,0.6507922677647683,0.5069032042643535,0.33000000000000007,0.16309679573564656,0.5069032042643535,0.33000000000000007,0.16309679573564656,1.8507096127930607,1,-0.8507096127930607,-0.3820511634891175,0.3487805574776818,-0.3487805574776818,-0.7308317209667993,1480.973020381726,1436.0359588961858,-0.010753791221950653,72,8,30,0.2
