year,team,division,rating_end,matches,wins,draws,losses,goals_for,goals_against,goal_diff
2016,愛媛ＦＣ,J2,1460.743,42,12,20,10,41,40,1
2016,横浜ＦＣ,J2,1429.212,42,16,11,15,50,51,-1
2016,ジェフユナイテッド千葉,J2,1420.903,42,13,14,15,52,53,-1
2016,モンテディオ山形,J2,1407.29,42,11,14,17,43,49,-6
2016,水戸ホーリーホック,J2,1399.697,42,10,18,14,45,49,-4
2016,Ｖ・ファーレン長崎,J2,1387.132,42,10,17,15,39,51,-12
2016,レノファ山口ＦＣ,J2,1385.608,42,14,11,17,55,63,-8
2016,ロアッソ熊本,J2,1383.869,42,12,10,20,38,53,-15
2016,ザスパ群馬,J2,1382.458,42,11,12,19,52,66,-14
2016,ツエーゲン金沢,J2,1362.773,42,8,15,19,36,60,-24
2016,ギラヴァンツ北九州,J2,1358.389,42,8,14,20,43,64,-21
2016,カマタマーレ讃岐,J2,1356.593,42,10,13,19,43,62,-19
2016,東京ヴェルディ,J2,1352.375,42,10,13,19,43,61,-18
2016,ＦＣ岐阜,J2,1347.638,42,12,7,23,47,71,-24
2017,川崎フロンターレ,J1,1773.219,34,21,9,4,71,32,39
2017,鹿島アントラーズ,J1,1704.507,34,23,3,8,53,31,22
2017,柏レイソル,J1,1672.349,34,18,8,8,49,33,16
2017,ジュビロ磐田,J1,1670.895,34,16,10,8,50,30,20
2017,セレッソ大阪,J1,1652.641,34,19,6,9,65,43,22
2017,横浜Ｆ・マリノス,J1,1649.272,34,17,8,9,45,36,9
2017,浦和レッズ,J1,1627.526,34,14,7,13,64,54,10
2017,北海道コンサドーレ札幌,J1,1579.647,34,12,7,15,39,47,-8
2017,ガンバ大阪,J1,1578.43,34,11,10,13,48,41,7
2017,サガン鳥栖,J1,1561.856,34,13,8,13,41,44,-3
2017,ヴィッセル神戸,J1,1559.754,34,13,5,16,40,45,-5
2017,ベガルタ仙台,J1,1554.974,34,11,8,15,44,53,-9
2017,ＦＣ東京,J1,1548.332,34,10,10,14,37,42,-5
2017,サンフレッチェ広島,J1,1545.169,34,8,9,17,32,49,-17
2017,清水エスパルス,J1,1507.445,34,8,10,16,36,54,-18
2017,大宮アルディージャ,J1,1485.504,34,5,10,19,28,60,-32
2017,ヴァンフォーレ甲府,J1,1480.655,34,7,11,16,23,39,-16
2017,アルビレックス新潟,J1,1466.934,34,7,7,20,28,60,-32
2017,湘南ベルマーレ,J2,1540.692,42,24,11,7,58,36,22
2017,Ｖ・ファーレン長崎,J2,1536.124,42,24,8,10,59,41,18
2017,名古屋グランパス,J2,1522.934,42,23,6,13,85,65,20
2017,ジェフユナイテッド千葉,J2,1517.237,42,20,8,14,70,58,12
2017,徳島ヴォルティス,J2,1512.55,42,18,13,11,71,45,26
2017,アビスパ福岡,J2,1500.414,42,21,11,10,54,36,18
2017,松本山雅ＦＣ,J2,1488.897,42,19,9,14,61,45,16
2017,東京ヴェルディ,J2,1488.427,42,20,10,12,64,49,15
2017,京都サンガF.C.,J2,1485.18,42,14,15,13,55,47,8
2017,大分トリニータ,J2,1464.219,42,17,13,12,58,50,8
2017,横浜ＦＣ,J2,1451.29,42,17,12,13,60,49,11
2017,モンテディオ山形,J2,1442.749,42,14,17,11,45,47,-2
2017,ＦＣ町田ゼルビア,J2,1429.086,42,11,17,14,53,53,0
2017,ファジアーノ岡山,J2,1424.457,42,13,16,13,44,49,-5
2017,ツエーゲン金沢,J2,1407.27,42,13,10,19,49,67,-18
2017,水戸ホーリーホック,J2,1390.313,42,14,12,16,45,48,-3
2017,愛媛ＦＣ,J2,1369.657,42,14,9,19,54,68,-14
2017,ＦＣ岐阜,J2,1355.717,42,11,13,18,56,68,-12
2017,レノファ山口ＦＣ,J2,1353.317,42,11,5,26,48,69,-21
2017,カマタマーレ讃岐,J2,1343.487,42,8,14,20,41,61,-20
2017,ロアッソ熊本,J2,1324.101,42,9,10,23,36,59,-23
2017,ザスパ群馬,J2,1228.924,42,5,5,32,32,88,-56
2018,川崎フロンターレ,J1,1740.457,34,21,6,7,57,27,30
2018,鹿島アントラーズ,J1,1678.282,34,16,8,10,50,39,11
2018,浦和レッズ,J1,1639.304,34,14,9,11,51,39,12
2018,ガンバ大阪,J1,1606.831,34,14,6,14,41,46,-5
2018,北海道コンサドーレ札幌,J1,1606.648,34,15,10,9,48,48,0
2018,清水エスパルス,J1,1602.013,34,14,7,13,56,48,8
2018,セレッソ大阪,J1,1595.862,34,13,11,10,39,38,1
2018,柏レイソル,J1,1580.483,34,12,3,19,47,54,-7
2018,横浜Ｆ・マリノス,J1,1576.261,34,12,5,17,56,56,0
2018,ＦＣ東京,J1,1572.118,34,14,8,12,39,34,5
2018,サガン鳥栖,J1,1568.778,34,10,11,13,29,34,-5
2018,サンフレッチェ広島,J1,1564.304,34,17,6,11,47,35,12
2018,名古屋グランパス,J1,1553.506,34,12,5,17,52,59,-7
2018,湘南ベルマーレ,J1,1551.627,34,10,11,13,38,43,-5
2018,ヴィッセル神戸,J1,1543.925,34,12,9,13,45,52,-7
2018,ジュビロ磐田,J1,1542.704,34,10,11,13,35,48,-13
2018,ベガルタ仙台,J1,1527.028,34,13,6,15,44,54,-10
2018,Ｖ・ファーレン長崎,J1,1467.772,34,8,6,20,39,59,-20
2018,横浜ＦＣ,J2,1559.804,42,21,13,8,63,44,19
2018,松本山雅ＦＣ,J2,1545.92,42,21,14,7,54,34,20
2018,大分トリニータ,J2,1540.495,42,23,7,12,76,51,25
2018,大宮アルディージャ,J2,1526.633,42,21,8,13,65,48,17
2018,ＦＣ町田ゼルビア,J2,1526.542,42,21,13,8,62,44,18
2018,東京ヴェルディ,J2,1520.364,42,19,14,9,56,41,15
2018,アビスパ福岡,J2,1512.578,42,19,13,10,58,42,16
2018,ヴァンフォーレ甲府,J2,1478.887,42,16,11,15,56,46,10
2018,ジェフユナイテッド千葉,J2,1463.102,42,16,7,19,72,72,0
2018,ツエーゲン金沢,J2,1461.85,42,14,13,15,52,48,4
2018,徳島ヴォルティス,J2,1454.094,42,16,8,18,48,42,6
2018,水戸ホーリーホック,J2,1438.762,42,16,9,17,48,46,2
2018,モンテディオ山形,J2,1435.168,42,14,14,14,49,51,-2
2018,アルビレックス新潟,J2,1423.097,42,15,8,19,48,56,-8
2018,レノファ山口ＦＣ,J2,1415.925,42,16,13,13,63,64,-1
2018,栃木ＳＣ,J2,1399.662,42,13,11,18,38,48,-10
2018,京都サンガF.C.,J2,1390.805,42,12,7,23,40,58,-18
2018,ファジアーノ岡山,J2,1383.77,42,14,11,17,39,43,-4
2018,愛媛ＦＣ,J2,1379.077,42,12,12,18,34,52,-18
2018,ＦＣ岐阜,J2,1338.489,42,11,9,22,44,62,-18
2018,ロアッソ熊本,J2,1299.584,42,9,7,26,50,79,-29
2018,カマタマーレ讃岐,J2,1272.253,42,7,10,25,28,72,-44
2019,横浜Ｆ・マリノス,J1,1724.775,34,22,4,8,68,38,30
2019,川崎フロンターレ,J1,1699.474,34,16,12,6,57,34,23
2019,鹿島アントラーズ,J1,1676.805,34,18,9,7,54,30,24
2019,セレッソ大阪,J1,1649.544,34,18,5,11,39,25,14
2019,ＦＣ東京,J1,1639.892,34,19,7,8,46,29,17
2019,サンフレッチェ広島,J1,1627.681,34,15,10,9,45,29,16
2019,ガンバ大阪,J1,1618.461,34,12,11,11,54,48,6
2019,ヴィッセル神戸,J1,1589.534,34,14,5,15,61,59,2
2019,北海道コンサドーレ札幌,J1,1568.782,34,13,7,14,54,49,5
2019,ベガルタ仙台,J1,1544.957,34,12,5,17,38,45,-7
2019,大分トリニータ,J1,1539.704,34,12,11,11,35,35,0
2019,浦和レッズ,J1,1512.065,34,9,10,15,34,50,-16
2019,清水エスパルス,J1,1506.065,34,11,6,17,45,69,-24
2019,名古屋グランパス,J1,1499.106,34,9,10,15,45,50,-5
2019,サガン鳥栖,J1,1488.863,34,10,6,18,32,53,-21
2019,松本山雅ＦＣ,J1,1486.789,34,6,13,15,21,40,-19
2019,ジュビロ磐田,J1,1475.823,34,8,7,19,29,51,-22
2019,湘南ベルマーレ,J1,1474.335,34,10,6,18,40,63,-23
2019,柏レイソル,J2,1636.749,42,25,9,8,85,33,52
2019,横浜ＦＣ,J2,1607.985,42,23,10,9,66,40,26
2019,大宮アルディージャ,J2,1565.867,42,20,15,7,62,40,22
2019,徳島ヴォルティス,J2,1559.721,42,21,10,11,67,45,22
2019,ヴァンフォーレ甲府,J2,1555.577,42,20,11,11,64,40,24
2019,水戸ホーリーホック,J2,1520.23,42,19,13,10,56,37,19
2019,アルビレックス新潟,J2,1509.024,42,17,11,14,71,52,19
2019,モンテディオ山形,J2,1501.878,42,20,10,12,59,40,19
2019,ツエーゲン金沢,J2,1499.891,42,15,16,11,58,46,12
2019,京都サンガF.C.,J2,1492.634,42,19,11,12,59,56,3
2019,ファジアーノ岡山,J2,1471.666,42,18,11,13,49,47,2
2019,東京ヴェルディ,J2,1469.311,42,14,13,15,59,59,0
2019,Ｖ・ファーレン長崎,J2,1426.47,42,17,5,20,57,61,-4
2019,ＦＣ町田ゼルビア,J2,1400.764,42,9,16,17,36,59,-23
2019,アビスパ福岡,J2,1398.44,42,12,8,22,39,62,-23
2019,ジェフユナイテッド千葉,J2,1389.575,42,10,13,19,46,64,-18
2019,レノファ山口ＦＣ,J2,1388.346,42,13,8,21,54,70,-16
2019,栃木ＳＣ,J2,1381.707,42,8,16,18,33,53,-20
2019,ＦＣ琉球,J2,1378.092,42,13,10,19,57,80,-23
2019,愛媛ＦＣ,J2,1370.945,42,12,6,24,46,62,-16
2019,鹿児島ユナイテッドＦＣ,J2,1367.593,42,11,7,24,41,73,-32
2019,ＦＣ岐阜,J2,1290.868,42,7,9,26,33,78,-45
2020,川崎フロンターレ,J1,1796.721,34,26,5,3,88,31,57
2020,鹿島アントラーズ,J1,1650.398,34,18,5,11,55,44,11
2020,柏レイソル,J1,1635.177,34,15,7,12,60,46,14
2020,名古屋グランパス,J1,1631.826,34,19,6,9,45,28,17
2020,セレッソ大阪,J1,1626.064,34,18,6,10,46,37,9
2020,横浜Ｆ・マリノス,J1,1618.32,34,14,5,15,69,59,10
2020,ガンバ大阪,J1,1614.059,34,20,5,9,46,42,4
2020,サンフレッチェ広島,J1,1612.349,34,13,9,12,46,37,9
2020,ＦＣ東京,J1,1596.228,34,17,6,11,47,42,5
2020,北海道コンサドーレ札幌,J1,1558.844,34,10,9,15,47,58,-11
2020,大分トリニータ,J1,1544.73,34,11,10,13,36,45,-9
2020,サガン鳥栖,J1,1526.366,34,7,15,12,37,43,-6
2020,浦和レッズ,J1,1511.716,34,13,7,14,43,56,-13
2020,清水エスパルス,J1,1501.903,34,7,7,20,48,70,-22
2020,ヴィッセル神戸,J1,1495.893,34,9,9,16,50,59,-9
2020,横浜ＦＣ,J1,1493.883,34,9,6,19,38,60,-22
2020,ベガルタ仙台,J1,1485.91,34,6,10,18,36,61,-25
2020,湘南ベルマーレ,J1,1463.67,34,6,9,19,29,48,-19
2020,徳島ヴォルティス,J2,1597.637,42,25,9,8,67,33,34
2020,アビスパ福岡,J2,1576.535,42,25,9,8,51,29,22
2020,Ｖ・ファーレン長崎,J2,1563.837,42,23,11,8,66,39,27
2020,モンテディオ山形,J2,1518.722,42,17,11,14,59,42,17
2020,ヴァンフォーレ甲府,J2,1514.451,42,16,17,9,50,41,9
2020,ジュビロ磐田,J2,1508.412,42,16,15,11,58,47,11
2020,水戸ホーリーホック,J2,1489.026,42,16,10,16,68,62,6
2020,松本山雅ＦＣ,J2,1469.765,42,13,15,14,44,52,-8
2020,京都サンガF.C.,J2,1468.36,42,16,11,15,47,45,2
2020,ギラヴァンツ北九州,J2,1462.687,42,19,8,15,59,51,8
2020,栃木ＳＣ,J2,1448.306,42,15,13,14,41,39,2
2020,大宮アルディージャ,J2,1442.528,42,14,11,17,43,52,-9
2020,ＦＣ琉球,J2,1442.495,42,14,8,20,58,61,-3
2020,ジェフユナイテッド千葉,J2,1439.087,42,15,8,19,47,51,-4
2020,ファジアーノ岡山,J2,1436.111,42,12,14,16,39,49,-10
2020,東京ヴェルディ,J2,1435.41,42,13,15,14,48,48,0
2020,アルビレックス新潟,J2,1423.339,42,14,15,13,55,55,0
2020,ツエーゲン金沢,J2,1420.756,42,12,13,17,57,67,-10
2020,ザスパ群馬,J2,1410.027,42,15,4,23,40,62,-22
2020,ＦＣ町田ゼルビア,J2,1399.514,42,12,13,17,41,52,-11
2020,愛媛ＦＣ,J2,1327.884,42,8,10,24,38,68,-30
2020,レノファ山口ＦＣ,J2,1321.051,42,9,6,27,43,74,-31
2021,川崎フロンターレ,J1,1812.277,38,28,8,2,81,28,53
2021,横浜Ｆ・マリノス,J1,1708.591,38,24,7,7,82,35,47
2021,鹿島アントラーズ,J1,1686.773,38,21,6,11,62,36,26
2021,ヴィッセル神戸,J1,1660.111,38,21,10,7,62,36,26
2021,名古屋グランパス,J1,1627.051,38,19,9,10,44,30,14
2021,浦和レッズ,J1,1603.697,38,18,9,11,45,38,7
2021,アビスパ福岡,J1,1591.772,38,14,12,12,42,37,5
2021,サガン鳥栖,J1,1566.069,38,16,11,11,43,35,8
2021,サンフレッチェ広島,J1,1557.28,38,12,13,13,44,42,2
2021,ＦＣ東京,J1,1553.556,38,15,8,15,49,53,-4
2021,北海道コンサドーレ札幌,J1,1549.193,38,14,9,15,48,50,-2
2021,セレッソ大阪,J1,1542.781,38,13,9,16,47,51,-4
2021,ガンバ大阪,J1,1512.344,38,12,8,18,33,49,-16
2021,湘南ベルマーレ,J1,1501.146,38,7,16,15,36,41,-5
2021,清水エスパルス,J1,1499.649,38,10,12,16,37,54,-17
2021,柏レイソル,J1,1495.096,38,12,5,21,37,56,-19
2021,大分トリニータ,J1,1491.767,38,9,8,21,31,55,-24
2021,徳島ヴォルティス,J1,1486.983,38,10,6,22,34,55,-21
2021,横浜ＦＣ,J1,1431.026,38,6,9,23,32,77,-45
2021,ベガルタ仙台,J1,1430.333,38,5,13,20,31,62,-31
2021,ジュビロ磐田,J2,1632.155,42,27,10,5,75,42,33
2021,Ｖ・ファーレン長崎,J2,1601.734,42,23,9,10,69,44,25
2021,ヴァンフォーレ甲府,J2,1585.921,42,23,11,8,65,38,27
2021,京都サンガF.C.,J2,1572.756,42,24,12,6,59,31,28
2021,ＦＣ町田ゼルビア,J2,1544.735,42,20,12,10,64,38,26
2021,ジェフユナイテッド千葉,J2,1535.017,42,17,15,10,48,36,12
2021,モンテディオ山形,J2,1492.292,42,20,8,14,61,49,12
2021,ファジアーノ岡山,J2,1490.838,42,15,14,13,40,36,4
2021,水戸ホーリーホック,J2,1490.176,42,16,11,15,59,50,9
2021,アルビレックス新潟,J2,1480.671,42,18,14,10,61,40,21
2021,東京ヴェルディ,J2,1462.795,42,16,10,16,62,66,-4
2021,ＦＣ琉球,J2,1451.607,42,18,11,13,57,47,10
2021,大宮アルディージャ,J2,1419.481,42,9,15,18,51,56,-5
2021,栃木ＳＣ,J2,1403.261,42,10,15,17,37,51,-14
2021,ブラウブリッツ秋田,J2,1380.381,42,11,14,17,41,53,-12
2021,ザスパ群馬,J2,1375.05,42,9,14,19,35,56,-21
2021,ＳＣ相模原,J2,1372.521,42,8,14,20,33,54,-21
2021,レノファ山口ＦＣ,J2,1369.056,42,10,13,19,37,51,-14
2021,ツエーゲン金沢,J2,1351.638,42,10,11,21,39,60,-21
2021,ギラヴァンツ北九州,J2,1337.279,42,7,14,21,35,66,-31
2021,愛媛ＦＣ,J2,1326.996,42,7,14,21,38,67,-29
2021,松本山雅ＦＣ,J2,1324.145,42,7,13,22,36,71,-35
2022,横浜Ｆ・マリノス,J1,1730.329,34,20,8,6,70,35,35
2022,川崎フロンターレ,J1,1724.901,34,20,6,8,65,42,23
2022,サンフレッチェ広島,J1,1625.794,34,15,10,9,52,41,11
2022,鹿島アントラーズ,J1,1613.731,34,13,13,8,47,42,5
2022,浦和レッズ,J1,1606.221,34,10,15,9,48,39,9
2022,ヴィッセル神戸,J1,1591.104,34,11,7,16,35,41,-6
2022,名古屋グランパス,J1,1583.667,34,11,13,10,30,35,-5
2022,セレッソ大阪,J1,1583.406,34,13,12,9,46,40,6
2022,ＦＣ東京,J1,1576.574,34,14,7,13,46,43,3
2022,北海道コンサドーレ札幌,J1,1561.372,34,11,12,11,45,55,-10
2022,湘南ベルマーレ,J1,1559.769,34,10,11,13,31,39,-8
2022,サガン鳥栖,J1,1543.586,34,9,15,10,45,44,1
2022,アビスパ福岡,J1,1535.483,34,9,11,14,29,38,-9
2022,ガンバ大阪,J1,1532.912,34,9,10,15,33,44,-11
2022,京都サンガF.C.,J1,1532.207,34,8,12,14,30,38,-8
2022,柏レイソル,J1,1528.802,34,13,8,13,43,44,-1
2022,清水エスパルス,J1,1504.049,34,7,12,15,44,54,-10
2022,ジュビロ磐田,J1,1487.549,34,6,12,16,32,57,-25
2022,アルビレックス新潟,J2,1609.476,42,25,9,8,73,35,38
2022,モンテディオ山形,J2,1549.091,42,17,13,12,62,40,22
2022,ファジアーノ岡山,J2,1537.452,42,20,12,10,61,42,19
2022,徳島ヴォルティス,J2,1534.435,42,13,23,6,48,35,13
2022,横浜ＦＣ,J2,1529.251,42,23,11,8,66,49,17
2022,大分トリニータ,J2,1517.805,42,17,15,10,62,52,10
2022,東京ヴェルディ,J2,1503.061,42,16,13,13,62,55,7
2022,ジェフユナイテッド千葉,J2,1502.106,42,17,10,15,44,42,2
2022,ロアッソ熊本,J2,1494.969,42,18,13,11,58,48,10
2022,水戸ホーリーホック,J2,1470.674,42,14,12,16,47,46,1
2022,ブラウブリッツ秋田,J2,1462.412,42,15,11,16,39,46,-7
2022,ベガルタ仙台,J2,1457.368,42,18,9,15,67,59,8
2022,Ｖ・ファーレン長崎,J2,1453.188,42,15,11,16,50,54,-4
2022,ヴァンフォーレ甲府,J2,1435.963,42,11,15,16,47,54,-7
2022,ＦＣ町田ゼルビア,J2,1434.852,42,14,9,19,51,50,1
2022,栃木ＳＣ,J2,1431.617,42,11,16,15,32,40,-8
2022,レノファ山口ＦＣ,J2,1425.259,42,13,11,18,51,54,-3
2022,ツエーゲン金沢,J2,1416.988,42,13,13,16,56,69,-13
2022,大宮アルディージャ,J2,1412.431,42,10,13,19,48,64,-16
2022,ＦＣ琉球,J2,1395.318,42,8,13,21,41,65,-24
2022,ザスパ群馬,J2,1357.522,42,11,9,22,36,57,-21
2022,いわてグルージャ盛岡,J2,1297.69,42,9,7,26,35,80,-45
2023,ヴィッセル神戸,J1,1705.428,34,21,8,5,60,29,31
2023,横浜Ｆ・マリノス,J1,1665.857,34,19,7,8,63,40,23
2023,サンフレッチェ広島,J1,1650.213,34,17,7,10,42,28,14
2023,川崎フロンターレ,J1,1640.278,34,14,8,12,51,45,6
2023,浦和レッズ,J1,1635.743,34,15,12,7,42,27,15
2023,鹿島アントラーズ,J1,1613.152,34,14,10,10,43,34,9
2023,アルビレックス新潟,J1,1577.127,34,11,12,11,36,40,-4
2023,名古屋グランパス,J1,1577.062,34,14,10,10,41,36,5
2023,セレッソ大阪,J1,1571.781,34,15,4,15,39,34,5
2023,アビスパ福岡,J1,1556.893,34,15,6,13,37,43,-6
2023,京都サンガF.C.,J1,1549.039,34,12,4,18,40,45,-5
2023,ＦＣ東京,J1,1544.212,34,12,7,15,42,46,-4
2023,北海道コンサドーレ札幌,J1,1530.433,34,10,10,14,56,61,-5
2023,サガン鳥栖,J1,1522.281,34,9,11,14,43,47,-4
2023,湘南ベルマーレ,J1,1518.908,34,8,10,16,40,56,-16
2023,柏レイソル,J1,1512.247,34,6,15,13,33,47,-14
2023,横浜ＦＣ,J1,1491.737,34,7,8,19,31,58,-27
2023,ガンバ大阪,J1,1470.908,34,9,7,18,38,61,-23
2023,ＦＣ町田ゼルビア,J2,1625.807,42,26,9,7,79,35,44
2023,ジュビロ磐田,J2,1594.864,42,21,12,9,74,44,30
2023,清水エスパルス,J2,1583.204,42,20,14,8,78,34,44
2023,東京ヴェルディ,J2,1581.466,42,21,12,9,57,31,26
2023,モンテディオ山形,J2,1547.907,42,21,4,17,64,54,10
2023,ジェフユナイテッド千葉,J2,1542.342,42,19,10,13,61,53,8
2023,Ｖ・ファーレン長崎,J2,1514.431,42,18,11,13,70,56,14
2023,ヴァンフォーレ甲府,J2,1487.955,42,18,10,14,60,50,10
2023,ファジアーノ岡山,J2,1470.919,42,13,19,10,49,49,0
2023,大分トリニータ,J2,1470.295,42,17,11,14,54,56,-2
2023,徳島ヴォルティス,J2,1461.537,42,10,19,13,43,53,-10
2023,ロアッソ熊本,J2,1451.119,42,13,10,19,52,53,-1
2023,ブラウブリッツ秋田,J2,1445.138,42,12,15,15,37,44,-7
2023,ザスパ群馬,J2,1441.875,42,14,15,13,44,44,0
2023,藤枝ＭＹＦＣ,J2,1433.065,42,14,10,18,61,72,-11
2023,いわきＦＣ,J2,1427.88,42,12,11,19,45,69,-24
2023,水戸ホーリーホック,J2,1425.252,42,11,14,17,49,66,-17
2023,栃木ＳＣ,J2,1415.313,42,10,14,18,39,47,-8
2023,ベガルタ仙台,J2,1408.292,42,12,12,18,48,61,-13
2023,レノファ山口ＦＣ,J2,1376.677,42,10,14,18,37,67,-30
2023,大宮アルディージャ,J2,1343.424,42,11,6,25,37,71,-34
2023,ツエーゲン金沢,J2,1331.709,42,9,8,25,41,70,-29
2024,ヴィッセル神戸,J1,1697.998,38,21,9,8,61,36,25
2024,サンフレッチェ広島,J1,1660.609,38,19,11,8,72,43,29
2024,鹿島アントラーズ,J1,1656.296,38,18,11,9,60,41,19
2024,ＦＣ町田ゼルビア,J1,1624.623,38,19,9,10,54,34,20
2024,川崎フロンターレ,J1,1623.809,38,13,13,12,66,57,9
2024,ガンバ大阪,J1,1621.281,38,18,12,8,49,35,14
2024,東京ヴェルディ,J1,1594.523,38,14,14,10,51,51,0
2024,浦和レッズ,J1,1575.766,38,12,12,14,49,45,4
2024,ＦＣ東京,J1,1574.37,38,15,9,14,53,51,2
2024,横浜Ｆ・マリノス,J1,1570.217,38,15,7,16,61,62,-1
2024,湘南ベルマーレ,J1,1553.214,38,12,9,17,53,58,-5
2024,京都サンガF.C.,J1,1551.946,38,12,11,15,43,55,-12
2024,名古屋グランパス,J1,1541.41,38,15,5,18,44,47,-3
2024,アビスパ福岡,J1,1540.825,38,12,14,12,33,38,-5
2024,セレッソ大阪,J1,1534.715,38,13,13,12,43,48,-5
2024,北海道コンサドーレ札幌,J1,1521.82,38,9,10,19,43,66,-23
2024,アルビレックス新潟,J1,1497.924,38,10,12,16,44,59,-15
2024,柏レイソル,J1,1489.793,38,9,14,15,39,51,-12
2024,サガン鳥栖,J1,1487.506,38,10,5,23,48,68,-20
2024,ジュビロ磐田,J1,1478.497,38,10,8,20,47,68,-21
2024,清水エスパルス,J2,1610.376,38,26,4,8,68,38,30
2024,Ｖ・ファーレン長崎,J2,1603.215,38,21,12,5,74,39,35
2024,モンテディオ山形,J2,1599.711,38,20,6,12,55,36,19
2024,横浜ＦＣ,J2,1585.53,38,22,10,6,60,27,33
2024,ファジアーノ岡山,J2,1550.912,38,17,14,7,48,29,19
2024,ジェフユナイテッド千葉,J2,1524.32,38,19,4,15,67,48,19
2024,徳島ヴォルティス,J2,1495.576,38,16,7,15,42,44,-2
2024,ベガルタ仙台,J2,1495.083,38,18,10,10,50,44,6
2024,いわきＦＣ,J2,1475.346,38,15,9,14,53,41,12
2024,ブラウブリッツ秋田,J2,1461.901,38,15,9,14,36,35,1
2024,ロアッソ熊本,J2,1458.735,38,13,7,18,53,62,-9
2024,ヴァンフォーレ甲府,J2,1434.59,38,12,9,17,54,57,-3
2024,レノファ山口ＦＣ,J2,1428.587,38,15,8,15,43,44,-1
2024,大分トリニータ,J2,1411.839,38,10,13,15,33,47,-14
2024,水戸ホーリーホック,J2,1409.11,38,11,11,16,39,51,-12
2024,藤枝ＭＹＦＣ,J2,1394.226,38,14,4,20,38,57,-19
2024,栃木ＳＣ,J2,1384.581,38,7,13,18,33,57,-24
2024,鹿児島ユナイテッドＦＣ,J2,1362.551,38,7,9,22,35,59,-24
2024,愛媛ＦＣ,J2,1329.796,38,10,10,18,41,69,-28
2024,ザスパ群馬,J2,1304.719,38,3,9,26,24,62,-38
2025,鹿島アントラーズ,J1,1706.999,38,23,7,8,58,31,27
2025,柏レイソル,J1,1682.068,38,21,12,5,60,34,26
2025,サンフレッチェ広島,J1,1671.727,38,20,8,10,46,28,18
2025,京都サンガF.C.,J1,1646.956,38,19,11,8,62,40,22
2025,ヴィッセル神戸,J1,1644.413,38,18,10,10,46,33,13
2025,ＦＣ町田ゼルビア,J1,1625.001,38,17,9,12,52,38,14
2025,横浜Ｆ・マリノス,J1,1608.418,38,12,7,19,46,47,-1
2025,浦和レッズ,J1,1593.499,38,16,11,11,45,39,6
2025,ガンバ大阪,J1,1588.177,38,17,6,15,53,55,-2
2025,川崎フロンターレ,J1,1588.177,38,15,12,11,67,57,10
2025,セレッソ大阪,J1,1571.461,38,14,10,14,60,57,3
2025,ＦＣ東京,J1,1567.13,38,13,11,14,41,48,-7
2025,アビスパ福岡,J1,1538.268,38,12,12,14,34,38,-4
2025,名古屋グランパス,J1,1513.613,38,11,10,17,44,56,-12
2025,ファジアーノ岡山,J1,1512.8,38,12,9,17,34,43,-9
2025,清水エスパルス,J1,1505.499,38,11,11,16,41,51,-10
2025,東京ヴェルディ,J1,1502.074,38,11,10,17,23,41,-18
2025,横浜ＦＣ,J1,1498.111,38,9,8,21,27,45,-18
2025,湘南ベルマーレ,J1,1445.587,38,8,8,22,36,63,-27
2025,アルビレックス新潟,J1,1397.737,38,4,12,22,36,67,-31
2025,Ｖ・ファーレン長崎,J2,1604.937,38,19,13,6,63,44,19
2025,徳島ヴォルティス,J2,1568.519,38,18,11,9,45,24,21
2025,ジェフユナイテッド千葉,J2,1558.065,38,20,9,9,56,34,22
2025,いわきＦＣ,J2,1538.888,38,15,11,12,55,44,11
2025,水戸ホーリーホック,J2,1537.663,38,20,10,8,55,34,21
2025,ＲＢ大宮アルディージャ,J2,1534.035,38,18,9,11,60,39,21
2025,モンテディオ山形,J2,1525.037,38,15,8,15,58,54,4
2025,ベガルタ仙台,J2,1524.694,38,16,14,8,47,36,11
2025,ジュビロ磐田,J2,1513.69,38,19,7,12,59,51,8
2025,サガン鳥栖,J2,1494.46,38,16,10,12,46,43,3
2025,ＦＣ今治,J2,1462.782,38,13,14,11,46,46,0
2025,北海道コンサドーレ札幌,J2,1453.783,38,16,5,17,50,63,-13
2025,ブラウブリッツ秋田,J2,1432.647,38,11,10,17,43,59,-16
2025,ヴァンフォーレ甲府,J2,1420.106,38,11,11,16,37,45,-8
2025,レノファ山口ＦＣ,J2,1416.221,38,7,15,16,36,47,-11
2025,カターレ富山,J2,1407.979,38,9,10,19,34,49,-15
2025,藤枝ＭＹＦＣ,J2,1398.061,38,9,12,17,41,50,-9
2025,ロアッソ熊本,J2,1389.96,38,9,10,19,41,57,-16
2025,大分トリニータ,J2,1365.875,38,8,14,16,27,44,-17
2025,愛媛ＦＣ,J2,1294.318,38,3,13,22,35,71,-36
