rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mae_2023,mae_2024,mae_2025,delta_vs_elo000,delta_vs_elo010,delta_vs_elo020
1,prev020_decay0995,0.2,0.995,0.2,2.312072962962963,0.279481566344432,0.13994074074074073,0.25445040935672514,2.050988888888889,2.606889999999999,2.27834,-0.002186666666666337,-0.00651185185185188,0.0
2,prev020_decay0995,0.2,0.995,0.3,2.3131114814814815,0.275531275974104,0.14095518518518516,0.25362391124871003,2.055744444444444,2.6037800000000004,2.27981,-0.0011481481481476763,-0.005473333333333219,0.0010385185185186607
3,prev020_decay0995,0.2,0.995,0.0,2.314259629629629,0.2811505713242766,0.14052685185185185,0.255774431831212,2.046188888888888,2.6068799999999994,2.28971,0.0,-0.004325185185185543,0.002186666666666337
4,prev020_decay0995,0.2,0.995,0.25,2.314556666666667,0.2741355541211925,0.14046407407407405,0.2543592592592593,2.0596,2.60451,2.2795600000000005,0.0002970370370376507,-0.004028148148147892,0.0024837037037039877
5,prev020_decay0995,0.2,0.995,0.15,2.31490037037037,0.2762184373127956,0.14055074074074073,0.25438357413140694,2.0512111111111104,2.60214,2.2913499999999996,0.0006407407407409416,-0.003684444444444601,0.0028274074074072786
6,prev020_decay0995,0.2,0.995,0.1,2.3185848148148147,0.27430155397662537,0.14041518518518517,0.2548760600848527,2.0572444444444447,2.6042299999999994,2.294280000000001,0.004325185185185543,0.0,0.00651185185185188
7,prev020_decay0995,0.2,0.995,0.05,2.3191303703703703,0.2773051432795658,0.13994018518518517,0.25515111569774107,2.052811111111111,2.60625,2.29833,0.00487074074074112,0.0005455555555555769,0.007057407407407457
