target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,0.0,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0420222222222217,0.17335,0.23825816993464052,13,14.7666,1.7666000000000004,17,16.144299999999998,0.8557000000000023,8,7.7045,0.29549999999999965,1,2.4879,1.4878999999999998,2,1.5656,0.4343999999999999,6,3.5305999999999997,2.4694000000000003,16,13.836999999999998,2.163000000000002,4,4.4327,0.43269999999999964,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.0,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5783999999999994,0.09595999999999999,0.2459321052631579,14,18.7185,4.718499999999999,17,15.344500000000002,1.6554999999999982,8,12.320799999999998,4.320799999999998,1,3.7365999999999997,2.7365999999999997,9,7.927999999999999,1.072000000000001,11,9.3319,1.6681000000000008,4,4.7609,0.7609000000000004,13,9.258400000000002,3.7415999999999983,prev020_decay0995,3.0,1.5709000000000002,1.4290999999999998,,,
2025,2024,0.2,0.995,0.2,0.0,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2583599999999997,0.15094500000000002,0.27977842105263157,3,4.756,1.7560000000000002,2,5.5756000000000006,3.5756000000000006,8,4.552299999999999,3.447700000000001,5,5.2604,0.26039999999999974,15,18.0684,3.0684000000000005,16,11.473500000000001,4.526499999999999,9,11.3481,2.3481000000000005,7,6.195600000000001,0.8043999999999993,prev020_decay0995,6.0,10.142199999999999,4.142199999999999,14.0,9.819299999999998,4.180700000000002
2023,2022,0.2,0.995,0.2,0.05,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0433555555555554,0.17169444444444446,0.23854444444444445,13,14.748400000000002,1.748400000000002,17,16.129299999999997,0.8707000000000029,8,7.711200000000002,0.2887999999999984,1,2.4926999999999997,1.4926999999999997,2,1.5640999999999998,0.4359000000000002,6,3.5325,2.4675,16,13.859700000000002,2.140299999999998,4,4.422599999999999,0.4225999999999992,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.05,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5887000000000002,0.095315,0.2449721052631579,14,18.7182,4.7181999999999995,17,15.419999999999998,1.5800000000000018,8,12.3021,4.302099999999999,1,3.7245999999999997,2.7245999999999997,9,7.937999999999999,1.0620000000000012,11,9.361,1.6389999999999993,4,4.8073,0.8072999999999997,13,9.24,3.76,prev020_decay0995,3.0,1.5458999999999998,1.4541000000000002,,,
2025,2024,0.2,0.995,0.2,0.05,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2473499999999995,0.15196500000000002,0.2797415789473684,3,4.721,1.721,2,5.5161,3.5161,8,4.538500000000001,3.461499999999999,5,5.2673999999999985,0.2673999999999985,15,18.0551,3.0550999999999995,16,11.487599999999999,4.512400000000001,9,11.412399999999998,2.412399999999998,7,6.1851,0.8148999999999997,prev020_decay0995,6.0,10.0619,4.0619,14.0,9.8981,4.1019000000000005
2023,2022,0.2,0.995,0.2,0.1,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.037022222222222,0.17152222222222224,0.23865032679738563,13,14.706799999999998,1.7067999999999977,17,16.1232,0.8767999999999994,8,7.7259,0.2740999999999998,1,2.5019,1.5019,2,1.5498,0.45019999999999993,6,3.5303999999999998,2.4696000000000002,16,13.8944,2.105600000000001,4,4.422199999999999,0.42219999999999924,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.1,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5827499999999994,0.09591999999999999,0.24525631578947368,14,18.7162,4.716200000000001,17,15.370800000000001,1.629199999999999,8,12.2576,4.2576,1,3.7185999999999995,2.7185999999999995,9,7.942200000000001,1.0577999999999994,11,9.411399999999999,1.5886000000000013,4,4.8135,0.8135000000000003,13,9.227899999999998,3.772100000000002,prev020_decay0995,3.0,1.5756,1.4244,,,
2025,2024,0.2,0.995,0.2,0.1,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2639900000000006,0.15097499999999997,0.2798394736842105,3,4.697300000000001,1.6973000000000011,2,5.555799999999998,3.555799999999998,8,4.538,3.4619999999999997,5,5.3744000000000005,0.3744000000000005,15,18.0991,3.0991,16,11.470600000000001,4.529399999999999,9,11.4055,2.4055,7,6.144099999999999,0.855900000000001,prev020_decay0995,6.0,10.1062,4.106199999999999,14.0,9.8633,4.136699999999999
2023,2022,0.2,0.995,0.2,0.15,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.039422222222223,0.17082777777777775,0.23878300653594772,13,14.7225,1.7225000000000001,17,16.116899999999998,0.8831000000000024,8,7.7396,0.26039999999999974,1,2.4762,1.4762,2,1.5696999999999999,0.4303000000000001,6,3.5404999999999998,2.4595000000000002,16,13.878499999999999,2.121500000000001,4,4.403099999999999,0.40309999999999935,prev020_decay0995,,,,,,
