rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,compat_weight,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mae_2023,mae_2024,mae_2025,delta_vs_compat000,delta_vs_compat010,delta_vs_compat020,delta_vs_compat030
1,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.3,30,0.97,0.95,1.05,2.2905951851851847,0.2736669682957984,0.14006703703703702,0.25510830524022476,2.0364555555555564,2.580309999999999,2.2550199999999996,-0.002332222222221958,-0.003992222222222619,-0.0016785185185188567,0.0
2,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.2,30,0.97,0.95,1.05,2.2922737037037035,0.2738826290930663,0.14075574074074074,0.2549758777663112,2.042511111111111,2.58516,2.2491499999999993,-0.0006537037037031013,-0.002313703703703762,0.0,0.0016785185185188567
3,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.0,30,0.97,0.95,1.05,2.2929274074074066,0.2698545151829205,0.14008500000000002,0.25465623208347665,2.0420222222222217,2.5783999999999994,2.2583599999999997,0.0,-0.001660000000000661,0.0006537037037031013,0.002332222222221958
4,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.05,30,0.97,0.95,1.05,2.2931351851851853,0.27554011170505893,0.13965814814814817,0.2544193762183236,2.0433555555555554,2.5887000000000002,2.2473499999999995,0.00020777777777869488,-0.001452222222221966,0.0008614814814817962,0.002540000000000653
5,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.1,30,0.97,0.95,1.05,2.2945874074074073,0.27414750202146465,0.1394724074074074,0.2545820387570233,2.037022222222222,2.5827499999999994,2.2639900000000006,0.001660000000000661,0.0,0.002313703703703762,0.003992222222222619
6,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.15,30,0.97,0.95,1.05,2.2955574074074074,0.2757284451092897,0.13836425925925924,0.2548517039330352,2.039422222222223,2.5873999999999997,2.25985,0.0026300000000007984,0.0009700000000001374,0.0032837037037038996,0.004962222222222756
7,prev020_decay0995,0.2,0.995,0.2,cap4,cap,4,0.25,30,0.97,0.95,1.05,2.2956266666666667,0.27463053168454066,0.13945074074074074,0.25477916408668727,2.0421,2.5873600000000003,2.2574199999999998,0.0026992592592600673,0.0010392592592594063,0.0033529629629631685,0.005031481481482025
