target_year,previous_year,prev_weight,prev_decay,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.0,1.0,1000,18,306,306,153,153,2.0572222222222227,0.18066666666666667,0.2383202614379085,13,14.748999999999999,1.7489999999999988,17,16.551,0.4490000000000016,8,8.373000000000001,0.3730000000000011,1,2.019,1.0190000000000001,2,1.945,0.05499999999999994,6,3.2350000000000003,2.7649999999999997,16,13.891,2.109,4,4.344,0.3440000000000003,,,,,,
2024,2023,0.0,1.0,1000,20,306,380,190,190,2.5135999999999994,0.09369999999999999,0.24663157894736842,14,18.856,4.856000000000002,17,15.314,1.686,8,12.865999999999998,4.865999999999998,1,3.973,2.973,9,8.607000000000001,0.3929999999999989,11,9.301,1.6989999999999998,4,3.8939999999999997,0.10600000000000032,13,9.728000000000002,3.2719999999999985,3.0,1.6560000000000001,1.3439999999999999,,,
2025,2024,0.0,1.0,1000,20,380,380,190,190,2.3905000000000003,0.15250000000000002,0.2779,3,4.271,1.271,2,4.831,2.8310000000000004,8,4.3500000000000005,3.6499999999999995,5,6.025999999999999,1.025999999999999,15,18.346,3.346,16,11.051,4.949,9,12.094000000000001,3.094000000000001,7,6.007,0.9930000000000003,6.0,10.655000000000001,4.655000000000001,14.0,9.718000000000002,4.281999999999998
2023,2022,0.0,0.995,1000,18,306,306,153,153,2.0572222222222227,0.18066666666666667,0.2383202614379085,13,14.748999999999999,1.7489999999999988,17,16.551,0.4490000000000016,8,8.373000000000001,0.3730000000000011,1,2.019,1.0190000000000001,2,1.945,0.05499999999999994,6,3.2350000000000003,2.7649999999999997,16,13.891,2.109,4,4.344,0.3440000000000003,,,,,,
2024,2023,0.0,0.995,1000,20,306,380,190,190,2.5135999999999994,0.09369999999999999,0.24663157894736842,14,18.856,4.856000000000002,17,15.314,1.686,8,12.865999999999998,4.865999999999998,1,3.973,2.973,9,8.607000000000001,0.3929999999999989,11,9.301,1.6989999999999998,4,3.8939999999999997,0.10600000000000032,13,9.728000000000002,3.2719999999999985,3.0,1.6560000000000001,1.3439999999999999,,,
2025,2024,0.0,0.995,1000,20,380,380,190,190,2.3905000000000003,0.15250000000000002,0.2779,3,4.271,1.271,2,4.831,2.8310000000000004,8,4.3500000000000005,3.6499999999999995,5,6.025999999999999,1.025999999999999,15,18.346,3.346,16,11.051,4.949,9,12.094000000000001,3.094000000000001,7,6.007,0.9930000000000003,6.0,10.655000000000001,4.655000000000001,14.0,9.718000000000002,4.281999999999998
2023,2022,0.0,0.99,1000,18,306,306,153,153,2.0572222222222227,0.18066666666666667,0.2383202614379085,13,14.748999999999999,1.7489999999999988,17,16.551,0.4490000000000016,8,8.373000000000001,0.3730000000000011,1,2.019,1.0190000000000001,2,1.945,0.05499999999999994,6,3.2350000000000003,2.7649999999999997,16,13.891,2.109,4,4.344,0.3440000000000003,,,,,,
2024,2023,0.0,0.99,1000,20,306,380,190,190,2.5135999999999994,0.09369999999999999,0.24663157894736842,14,18.856,4.856000000000002,17,15.314,1.686,8,12.865999999999998,4.865999999999998,1,3.973,2.973,9,8.607000000000001,0.3929999999999989,11,9.301,1.6989999999999998,4,3.8939999999999997,0.10600000000000032,13,9.728000000000002,3.2719999999999985,3.0,1.6560000000000001,1.3439999999999999,,,
2025,2024,0.0,0.99,1000,20,380,380,190,190,2.3905000000000003,0.15250000000000002,0.2779,3,4.271,1.271,2,4.831,2.8310000000000004,8,4.3500000000000005,3.6499999999999995,5,6.025999999999999,1.025999999999999,15,18.346,3.346,16,11.051,4.949,9,12.094000000000001,3.094000000000001,7,6.007,0.9930000000000003,6.0,10.655000000000001,4.655000000000001,14.0,9.718000000000002,4.281999999999998
2023,2022,0.0,0.985,1000,18,306,306,153,153,2.0572222222222227,0.18066666666666667,0.2383202614379085,13,14.748999999999999,1.7489999999999988,17,16.551,0.4490000000000016,8,8.373000000000001,0.3730000000000011,1,2.019,1.0190000000000001,2,1.945,0.05499999999999994,6,3.2350000000000003,2.7649999999999997,16,13.891,2.109,4,4.344,0.3440000000000003,,,,,,
