target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,raw,raw,,10000,18,306,306,153,153,2.0633888888888885,0.17510555555555557,0.23741045751633988,13,14.739999999999998,1.7399999999999984,17,16.2116,0.7883999999999993,8,7.638399999999999,0.36160000000000103,1,2.4385,1.4385,2,1.5441,0.45589999999999997,6,3.5965000000000003,2.4034999999999997,16,13.9637,2.0363000000000007,4,4.354199999999999,0.35419999999999874,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,raw,raw,,10000,20,306,380,190,190,2.6000600000000005,0.097195,0.24483473684210527,14,18.726300000000002,4.726300000000002,17,15.3674,1.6326,8,12.8504,4.8504000000000005,1,3.443599999999999,2.443599999999999,9,7.7812,1.2187999999999999,11,9.4238,1.5762,4,4.8138,0.8137999999999996,13,9.282799999999996,3.7172000000000036,prev020_decay0995,3.0,1.5442,1.4558,,,
2025,2024,0.2,0.995,0.2,raw,raw,,10000,20,380,380,190,190,2.28504,0.151315,0.2801205263157895,3,4.730999999999999,1.730999999999999,2,5.578000000000001,3.578000000000001,8,4.579700000000001,3.4202999999999992,5,5.239599999999998,0.2395999999999976,15,18.0718,3.0717999999999996,16,11.516399999999999,4.483600000000001,9,11.688699999999999,2.688699999999999,7,6.1508,0.8491999999999997,prev020_decay0995,6.0,10.120899999999999,4.120899999999999,14.0,9.9413,4.0587
2023,2022,0.2,0.995,0.2,cap4,cap,4.0,10000,18,306,306,153,153,2.036711111111112,0.1719111111111111,0.23937254901960783,13,14.7244,1.7243999999999993,17,16.1362,0.8638000000000012,8,7.728800000000001,0.27119999999999944,1,2.5204999999999997,1.5204999999999997,2,1.5628999999999997,0.43710000000000027,6,3.5508999999999995,2.4491000000000005,16,13.8833,2.1167,4,4.399699999999999,0.3996999999999993,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,cap4,cap,4.0,10000,20,306,380,190,190,2.5738,0.09725,0.24502736842105263,14,18.6964,4.696400000000001,17,15.399400000000002,1.6005999999999982,8,12.2402,4.2402,1,3.7335000000000003,2.7335000000000003,9,7.878000000000001,1.121999999999999,11,9.402200000000002,1.5977999999999977,4,4.774500000000001,0.7745000000000006,13,9.221599999999997,3.778400000000003,prev020_decay0995,3.0,1.5683999999999998,1.4316000000000002,,,
2025,2024,0.2,0.995,0.2,cap4,cap,4.0,10000,20,380,380,190,190,2.26256,0.1506,0.27980578947368423,3,4.732,1.7320000000000002,2,5.515,3.5149999999999997,8,4.5455,3.4545000000000003,5,5.3332999999999995,0.3332999999999995,15,18.0395,3.0395000000000003,16,11.448500000000001,4.551499999999999,9,11.414,2.4139999999999997,7,6.177500000000001,0.8224999999999989,prev020_decay0995,6.0,10.1547,4.1547,14.0,9.858899999999998,4.141100000000002
2023,2022,0.2,0.995,0.2,cap3,cap,3.0,10000,18,306,306,153,153,2.062577777777778,0.1653777777777778,0.23933856209150325,13,14.8055,1.8055000000000003,17,15.980699999999999,1.0193000000000012,8,7.864299999999999,0.13570000000000082,1,2.6288,1.6288,2,1.6811,0.31889999999999996,6,3.3044,2.6956,16,13.573000000000002,2.426999999999998,4,4.490799999999999,0.49079999999999924,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,cap3,cap,3.0,10000,20,306,380,190,190,2.5672400000000004,0.094545,0.24614052631578948,14,18.708000000000002,4.708000000000002,17,15.210499999999998,1.789500000000002,8,12.0258,4.0258,1,4.0042,3.0042,9,8.318900000000001,0.6810999999999989,11,9.3827,1.6173000000000002,4,4.5887,0.5887000000000002,13,9.5204,3.4795999999999996,prev020_decay0995,3.0,1.5724999999999996,1.4275000000000004,,,
2025,2024,0.2,0.995,0.2,cap3,cap,3.0,10000,20,380,380,190,190,2.2914899999999996,0.1491,0.2792957894736842,3,4.865399999999999,1.8653999999999993,2,5.500900000000001,3.5009000000000006,8,4.655799999999999,3.3442000000000007,5,5.3546999999999985,0.35469999999999846,15,18.119699999999998,3.119699999999998,16,11.257900000000001,4.742099999999999,9,11.495599999999998,2.495599999999998,7,6.105699999999999,0.8943000000000012,prev020_decay0995,6.0,10.105800000000002,4.105800000000002,14.0,9.452999999999998,4.547000000000002
