target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,draw_factor,max_match_draw_prob_label,max_match_draw_prob,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,0.2,1.2,none,,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.0326666666666666,0.17136666666666667,0.2865535947712418,13,14.69,1.6899999999999995,17,16.1161,0.8839000000000006,8,7.781199999999999,0.21880000000000077,1,2.4829000000000003,1.4829000000000003,2,1.5272999999999997,0.47270000000000034,6,3.5183000000000004,2.4816999999999996,16,13.900900000000002,2.099099999999998,4,4.4561,0.45610000000000017,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.2,none,,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.5738,0.09635500000000001,0.29445105263157895,14,18.7148,4.7148,17,15.3396,1.6603999999999992,8,12.360700000000001,4.360700000000001,1,3.7673,2.7673,9,7.9155,1.0845000000000002,11,9.4258,1.5741999999999994,4,4.699499999999999,0.6994999999999987,13,9.264600000000002,3.7353999999999985,prev020_decay0995,3.0,1.5761,1.4239,,,
2025,2024,0.2,0.995,0.2,0.2,1.2,none,,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.27081,0.15083,0.33625947368421055,3,4.6472,1.6471999999999998,2,5.517999999999999,3.517999999999999,8,4.593699999999999,3.4063000000000008,5,5.354999999999999,0.35499999999999865,15,18.176099999999998,3.176099999999998,16,11.5113,4.4887,9,11.458800000000002,2.458800000000002,7,6.1037,0.8963000000000001,prev020_decay0995,6.0,10.118100000000002,4.118100000000002,14.0,9.825499999999998,4.174500000000002
2023,2022,0.2,0.995,0.2,0.2,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,10000,18,306,306,153,153,2.025711111111111,0.17115000000000002,0.2765281045751634,13,14.6761,1.6761,17,16.1189,0.8811,8,7.782799999999998,0.21720000000000184,1,2.5274999999999994,1.5274999999999994,2,1.5556999999999999,0.44430000000000014,6,3.5404,2.4596,16,13.9184,2.0816,4,4.3649000000000004,0.36490000000000045,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,10000,20,306,380,190,190,2.58144,0.09557000000000002,0.2854742105263158,14,18.723399999999998,4.723399999999998,17,15.325600000000003,1.6743999999999968,8,12.370099999999997,4.370099999999997,1,3.767,2.767,9,7.9742999999999995,1.0257000000000005,11,9.4384,1.5616000000000003,4,4.7075000000000005,0.7075000000000005,13,9.2746,3.7254000000000005,prev020_decay0995,3.0,1.5794000000000001,1.4205999999999999,,,
2025,2024,0.2,0.995,0.2,0.2,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,10000,20,380,380,190,190,2.2497600000000006,0.15019,0.31036684210526316,3,4.6889,1.6889000000000003,2,5.458499999999998,3.458499999999998,8,4.680299999999999,3.319700000000001,5,5.322,0.32200000000000006,15,18.1616,3.1616,16,11.6505,4.349500000000001,9,11.474699999999999,2.4746999999999986,7,6.119299999999999,0.8807000000000009,prev020_decay0995,6.0,10.112400000000001,4.112400000000001,14.0,9.980599999999997,4.019400000000003
