rank,prev_setting_name,prev_weight,prev_decay,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mae_2023,mae_2024,mae_2025,delta_vs_prev000,delta_vs_prev020_decay0995,delta_vs_prev020_decay1000
1,prev020_decay0995,0.2,0.995,2.314259629629629,0.2811505713242766,0.14052685185185185,0.255774431831212,2.046188888888888,2.6068799999999994,2.28971,-0.00968666666666751,0.0,-0.0037748148148151195
2,prev020_decay1000,0.2,1.0,2.3180344444444443,0.2826071712216906,0.14013037037037038,0.2558369017314528,2.049533333333333,2.6129,2.2916700000000003,-0.00591185185185239,0.0037748148148151195,0.0
3,prev000,0.0,1.0,2.3239462962962967,0.24044982416535945,0.14401759259259259,0.25497066162137366,2.0561888888888893,2.5214300000000005,2.3942200000000002,0.0,0.00968666666666751,0.00591185185185239
