target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.0,10000,18,306,306,153,153,2.046188888888888,0.17525555555555555,0.23987908496732027,13,14.678799999999999,1.678799999999999,17,16.167900000000003,0.832099999999997,8,7.7197000000000005,0.28029999999999955,1,2.4592000000000005,1.4592000000000005,2,1.5797999999999996,0.42020000000000035,6,3.5909999999999997,2.4090000000000003,16,13.960400000000002,2.0395999999999983,4,4.3399,0.3399000000000001,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.0,10000,20,306,380,190,190,2.6068799999999994,0.09727000000000001,0.2464678947368421,14,18.7479,4.747900000000001,17,15.333099999999998,1.6669000000000018,8,12.821099999999998,4.821099999999998,1,3.4891,2.4891,9,7.9049,1.0951000000000004,11,9.379199999999999,1.620800000000001,4,4.818699999999999,0.8186999999999989,13,9.3253,3.6746999999999996,prev020_decay0995,3.0,1.5510000000000002,1.4489999999999998,,,
2025,2024,0.2,0.995,0.0,10000,20,380,380,190,190,2.28971,0.149055,0.2809763157894737,3,4.729399999999998,1.7293999999999983,2,5.5108999999999995,3.5108999999999995,8,4.578099999999999,3.421900000000001,5,5.3458000000000006,0.34580000000000055,15,18.122,3.122,16,11.4718,4.5282,9,11.764000000000001,2.764000000000001,7,6.159100000000001,0.8408999999999986,prev020_decay0995,6.0,10.060899999999998,4.060899999999998,14.0,9.845100000000002,4.154899999999998
2023,2022,0.2,0.995,0.05,10000,18,306,306,153,153,2.052811111111111,0.17520555555555553,0.23907124183006537,13,14.666699999999999,1.6666999999999987,17,16.189,0.8109999999999999,8,7.710000000000001,0.28999999999999915,1,2.4492000000000003,1.4492000000000003,2,1.5584000000000002,0.44159999999999977,6,3.5908,2.4092,16,13.9784,2.0215999999999994,4,4.353900000000001,0.3539000000000012,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.05,10000,20,306,380,190,190,2.60625,0.09708,0.24576105263157894,14,18.751600000000003,4.751600000000003,17,15.3088,1.6912000000000003,8,12.788200000000002,4.788200000000002,1,3.4877000000000002,2.4877000000000002,9,7.8823,1.1177000000000001,11,9.3935,1.6065000000000005,4,4.7665999999999995,0.7665999999999995,13,9.3212,3.6788000000000007,prev020_decay0995,3.0,1.5581000000000003,1.4418999999999997,,,
2025,2024,0.2,0.995,0.05,10000,20,380,380,190,190,2.29833,0.147535,0.28062105263157894,3,4.741000000000001,1.7410000000000014,2,5.4984,3.4984,8,4.5762,3.4238,5,5.3363,0.3362999999999996,15,18.0974,3.0974000000000004,16,11.490099999999998,4.509900000000002,9,11.7618,2.761799999999999,7,6.099099999999999,0.9009000000000009,prev020_decay0995,6.0,10.1183,4.1183,14.0,9.816100000000002,4.183899999999998
2023,2022,0.2,0.995,0.1,10000,18,306,306,153,153,2.0572444444444447,0.17470555555555556,0.23773660130718954,13,14.7044,1.7043999999999997,17,16.1592,0.8408000000000015,8,7.700899999999999,0.29910000000000103,1,2.4546,1.4546000000000001,2,1.5573000000000001,0.44269999999999987,6,3.5921000000000003,2.4078999999999997,16,13.963700000000001,2.036299999999999,4,4.3729000000000005,0.37290000000000045,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.1,10000,20,306,380,190,190,2.6042299999999994,0.09810500000000001,0.2460615789473684,14,18.73,4.73,17,15.3323,1.6677,8,12.8118,4.8118,1,3.4461000000000004,2.4461000000000004,9,7.839700000000001,1.1602999999999994,11,9.455300000000001,1.5446999999999989,4,4.863,0.8630000000000004,13,9.3685,3.631500000000001,prev020_decay0995,3.0,1.5498999999999998,1.4501000000000002,,,
2025,2024,0.2,0.995,0.1,10000,20,380,380,190,190,2.294280000000001,0.14843499999999998,0.28083,3,4.7597000000000005,1.7597000000000005,2,5.5225,3.5225,8,4.5218,3.4782,5,5.323499999999999,0.32349999999999923,15,18.095200000000002,3.095200000000002,16,11.493199999999998,4.506800000000002,9,11.742300000000002,2.742300000000002,7,6.1732000000000005,0.8267999999999995,prev020_decay0995,6.0,10.0899,4.0899,14.0,9.854600000000001,4.145399999999999
2023,2022,0.2,0.995,0.15,10000,18,306,306,153,153,2.0512111111111104,0.17477222222222222,0.23839019607843137,13,14.7026,1.7026000000000003,17,16.231,0.7689999999999984,8,7.6788,0.32120000000000015,1,2.4279999999999995,1.4279999999999995,2,1.5382,0.4618,6,3.6247999999999996,2.3752000000000004,16,13.9306,2.0694,4,4.380999999999999,0.38099999999999934,prev020_decay0995,,,,,,
