rank,prev_weight,prev_decay,mean_mae,std_mae,mean_prob_actual_position,mean_sim_draw_rate,mae_2023,mae_2024,mae_2025,delta_vs_prev000,delta_vs_prev040_decay0995,delta_vs_prev060_decay0985
1,0.2,0.995,2.309481481481481,0.2621604468978786,0.142,0.25697415434009857,2.0684444444444443,2.5885999999999996,2.271399999999999,-0.010959259259260001,-0.03908518518518589,-0.07191481481481521
2,0.2,0.985,2.312977777777778,0.2734229961338563,0.14198333333333332,0.2559874097007224,2.0523333333333333,2.5976,2.289,-0.0074629629629630045,-0.03558888888888889,-0.06841851851851821
3,0.2,0.97,2.315377777777778,0.2681724907868337,0.14097777777777779,0.25521217750257996,2.0643333333333342,2.597899999999999,2.2839,-0.005062962962962825,-0.03318888888888871,-0.06601851851851803
4,0.2,0.98,2.3157296296296295,0.2644882844924228,0.13973333333333335,0.25628578144708175,2.0628888888888888,2.5904999999999996,2.2938,-0.004711111111111332,-0.03283703703703722,-0.06566666666666654
5,0.3,1.0,2.316811111111111,0.2841272491397184,0.13638333333333333,0.2560092764591217,2.0853333333333333,2.6338999999999997,2.2312,-0.0036296296296298713,-0.03175555555555576,-0.06458518518518508
6,0.2,0.99,2.316818518518519,0.26883180806743556,0.1406462962962963,0.2555650842793258,2.0585555555555555,2.5951,2.2968000000000006,-0.0036222222222219713,-0.03174814814814786,-0.06457777777777718
7,0.2,1.0,2.318344444444444,0.27730011887109934,0.1416685185185185,0.25713371173030614,2.0523333333333333,2.6056999999999997,2.2969999999999997,-0.002096296296296707,-0.030222222222222594,-0.06305185185185191
8,0.2,0.95,2.3200074074074077,0.2764466598101066,0.1367722222222222,0.25517103543171654,2.055222222222222,2.6068000000000007,2.298,-0.00043333333333306356,-0.02855925925925895,-0.06138888888888827
9,0.0,0.95,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
10,0.0,0.97,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
11,0.0,0.98,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
12,0.0,0.985,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
13,0.0,0.99,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
14,0.0,0.995,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
15,0.0,1.0,2.320440740740741,0.23611733072418142,0.14228888888888888,0.2542839467950923,2.0572222222222227,2.5135999999999994,2.3905000000000003,0.0,-0.028125925925925888,-0.06095555555555521
16,0.3,0.98,2.3254333333333332,0.2991558846710747,0.1377537037037037,0.25619130833619996,2.0749999999999997,2.6567,2.2445999999999997,0.0049925925925924375,-0.02313333333333345,-0.05596296296296277
17,0.3,0.95,2.3255555555555554,0.2921422585988878,0.13548703703703704,0.25523091388602226,2.0766666666666667,2.6472000000000007,2.2527999999999997,0.005114814814814572,-0.023011111111111315,-0.055840740740740635
18,0.4,0.97,2.3271333333333333,0.32469047311760396,0.13624629629629628,0.25685313610824445,2.061,2.6889000000000003,2.2314999999999996,0.006692592592592472,-0.021433333333333415,-0.054262962962962735
19,0.3,0.995,2.3274555555555554,0.28845566255363975,0.13757777777777777,0.2559847265221878,2.083666666666667,2.6459,2.2527999999999997,0.007014814814814585,-0.021111111111111303,-0.05394074074074062
20,0.3,0.985,2.3323111111111117,0.31062629267932823,0.13694814814814812,0.25623492718724916,2.0663333333333336,2.6737,2.2569000000000004,0.011870370370370864,-0.016255555555555024,-0.049085185185184343
21,0.3,0.99,2.3342000000000005,0.30494071554976004,0.13812037037037037,0.2566020639834881,2.0670000000000006,2.6663999999999994,2.2692000000000005,0.013759259259259693,-0.014366666666666195,-0.047196296296295515
22,0.4,0.985,2.338185185185185,0.3221847582307611,0.13483888888888887,0.25674948973741546,2.0875555555555554,2.7016,2.2254000000000005,0.01774444444444434,-0.010381481481481547,-0.04321111111111087
23,0.3,0.97,2.339396296296296,0.291309503291291,0.13776666666666668,0.2568871574360739,2.076888888888889,2.6527999999999996,2.2885000000000004,0.018955555555555392,-0.009170370370370495,-0.041999999999999815
24,0.4,0.98,2.343307407407407,0.3224528925942314,0.13542037037037039,0.25685310170851966,2.1002222222222224,2.7091000000000003,2.2205999999999997,0.02286666666666637,-0.005259259259259519,-0.03808888888888884
25,0.4,0.95,2.3435111111111113,0.29145478272001396,0.13651296296296297,0.25712680885219585,2.1413333333333333,2.6776000000000004,2.2116,0.02307037037037052,-0.005055555555555369,-0.03788518518518469
26,0.5,0.97,2.3479148148148146,0.337057610625629,0.1330462962962963,0.2572293085655315,2.123444444444445,2.7354999999999996,2.1848,0.027474074074073762,-0.0006518518518521255,-0.033481481481481445
