config_id,prev_rating_mode,prev_weight,attack_goals,attack_xg,attack_sot,attack_shots,defense_ga,defense_xga,defense_sota,defense_sa,mean_mae,std_mae,max_mae,baseline_v14_mean_mae_search,delta_vs_baseline_search,mae_2025
38,official_stats_only,0.2,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.4324999999999997,0.0,2.4324999999999997,2.2081,0.2243999999999997,2.4324999999999997
57,official_stats_only,0.3,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.4328,0.0,2.4328,2.2081,0.2246999999999999,2.4328
42,official_stats_only,0.2,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.4335999999999998,0.0,2.4335999999999998,2.2081,0.2254999999999998,2.4335999999999998
37,official_stats_only,0.2,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.4341,0.0,2.4341,2.2081,0.22599999999999998,2.4341
52,official_stats_only,0.3,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.4442999999999993,0.0,2.4442999999999993,2.2081,0.2361999999999993,2.4442999999999993
67,official_stats_only,0.3,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.4445,0.0,2.4445,2.2081,0.23640000000000017,2.4445
56,official_stats_only,0.3,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.4448000000000003,0.0,2.4448000000000003,2.2081,0.23670000000000035,2.4448000000000003
49,official_stats_only,0.2,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.4478000000000004,0.0,2.4478000000000004,2.2081,0.23970000000000047,2.4478000000000004
43,official_stats_only,0.2,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.4493000000000005,0.0,2.4493000000000005,2.2081,0.24120000000000053,2.4493000000000005
59,official_stats_only,0.3,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.4510999999999994,0.0,2.4510999999999994,2.2081,0.24299999999999944,2.4510999999999994
39,official_stats_only,0.2,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.4511999999999996,0.0,2.4511999999999996,2.2081,0.24309999999999965,2.4511999999999996
68,official_stats_only,0.3,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.4541999999999993,0.0,2.4541999999999993,2.2081,0.24609999999999932,2.4541999999999993
76,official_stats_only,0.3,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.4547,0.0,2.4547,2.2081,0.24659999999999993,2.4547
48,official_stats_only,0.2,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.4555,0.0,2.4555,2.2081,0.24739999999999984,2.4555
58,official_stats_only,0.3,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.4555,0.0,2.4555,2.2081,0.24739999999999984,2.4555
70,official_stats_only,0.3,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.4555,0.0,2.4555,2.2081,0.24739999999999984,2.4555
47,official_stats_only,0.2,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.4556,0.0,2.4556,2.2081,0.24750000000000005,2.4556
64,official_stats_only,0.3,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.4561,0.0,2.4561,2.2081,0.24800000000000022,2.4561
72,official_stats_only,0.3,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.4568999999999996,0.0,2.4568999999999996,2.2081,0.2487999999999997,2.4568999999999996
44,official_stats_only,0.2,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.4575000000000005,0.0,2.4575000000000005,2.2081,0.2494000000000005,2.4575000000000005
69,official_stats_only,0.3,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.4587,0.0,2.4587,2.2081,0.25059999999999993,2.4587
75,official_stats_only,0.3,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.4602999999999997,0.0,2.4602999999999997,2.2081,0.25219999999999976,2.4602999999999997
