season,league,stat_key,rows,teams,min_value,max_value,mean_value,error_count
2021,j2,xg,22,22,39.2,67.5,50.0,0
2021,j2,xga,22,22,34.3,67.3,49.98636363636364,0
2021,j3,ball_possession,15,15,41.7,56.8,49.940000000000005,0
2021,j3,chance_create,15,15,185.0,365.0,304.1333333333333,0
2021,j3,clean_sheet,15,15,4.0,13.0,8.0,0
2021,j3,goals,15,15,20.0,44.0,35.53333333333333,0
2021,j3,goals_against,15,15,20.0,53.0,35.53333333333333,0
2021,j3,shots,15,15,242.0,436.0,363.2,0
2021,j3,shots_against,15,15,293.0,419.0,363.2,0
2021,j3,shots_on_target,15,15,69.0,146.0,110.6,0
2021,j3,shots_on_target_against,15,15,88.0,138.0,110.6,0
2021,j3,xg,15,15,21.4,45.1,36.44666666666667,0
2021,j3,xga,15,15,25.2,46.0,36.45333333333333,0
2022,j1,ball_possession,18,18,42.7,57.9,49.955555555555556,0
2022,j1,chance_create,18,18,284.0,506.0,373.3333333333333,0
2022,j1,clean_sheet,18,18,5.0,14.0,10.666666666666666,0
2022,j1,goals,18,18,29.0,70.0,42.833333333333336,0
2022,j1,goals_against,18,18,35.0,57.0,42.833333333333336,0
2022,j1,shots,18,18,328.0,552.0,421.3333333333333,0
2022,j1,shots_against,18,18,344.0,554.0,421.3333333333333,0
2022,j1,shots_on_target,18,18,95.0,190.0,135.38888888888889,0
2022,j1,shots_on_target_against,18,18,105.0,181.0,135.38888888888889,0
2022,j1,xg,18,18,35.0,62.8,42.599999999999994,0
2022,j1,xga,18,18,35.1,53.6,42.58888888888889,0
2022,j2,ball_possession,22,22,38.8,60.3,49.78181818181818,0
2022,j2,chance_create,22,22,290.0,624.0,428.1818181818182,0
2022,j2,clean_sheet,22,22,5.0,18.0,12.0,0
2022,j2,goals,22,22,32.0,73.0,51.63636363636363,0
2022,j2,goals_against,22,22,35.0,80.0,51.63636363636363,0
2022,j2,shots,22,22,373.0,638.0,503.59090909090907,0
2022,j2,shots_against,22,22,384.0,607.0,503.59090909090907,0
2022,j2,shots_on_target,22,22,117.0,210.0,158.4090909090909,0
2022,j2,shots_on_target_against,22,22,121.0,212.0,158.4090909090909,0
2022,j2,xg,22,22,37.0,60.9,50.42272727272727,0
2022,j2,xga,22,22,32.6,68.1,50.42727272727273,0
2022,j3,ball_possession,18,18,45.2,54.5,49.93888888888889,0
2022,j3,chance_create,18,18,292.0,502.0,377.22222222222223,0
2022,j3,clean_sheet,18,18,6.0,14.0,9.833333333333334,0
2022,j3,goals,18,18,25.0,72.0,44.27777777777778,0
2022,j3,goals_against,18,18,23.0,66.0,44.27777777777778,0
2022,j3,shots,18,18,322.0,640.0,451.94444444444446,0
2022,j3,shots_against,18,18,280.0,544.0,451.94444444444446,0
2022,j3,shots_on_target,18,18,92.0,189.0,139.22222222222223,0
2022,j3,shots_on_target_against,18,18,69.0,179.0,139.22222222222223,0
2022,j3,xg,18,18,30.9,67.4,43.62777777777777,0
2022,j3,xga,18,18,26.2,59.0,43.62777777777777,0
2023,j1,ball_possession,18,18,44.5,56.0,49.87777777777777,0
2023,j1,chance_create,18,18,302.0,501.0,373.27777777777777,0
2023,j1,clean_sheet,18,18,3.0,15.0,9.277777777777779,0
2023,j1,goals,18,18,31.0,63.0,43.166666666666664,0
2023,j1,goals_against,18,18,27.0,61.0,43.166666666666664,0
2023,j1,shots,18,18,323.0,580.0,421.05555555555554,0
2023,j1,shots_against,18,18,293.0,528.0,421.05555555555554,0
2023,j1,shots_on_target,18,18,102.0,201.0,136.44444444444446,0
2023,j1,shots_on_target_against,18,18,89.0,189.0,136.44444444444446,0
2023,j1,xg,18,18,35.6,54.2,42.96111111111111,0
2023,j1,xga,18,18,24.9,55.3,42.96666666666667,0
2023,j2,ball_possession,22,22,39.3,56.4,49.82272727272727,0
2023,j2,chance_create,22,22,326.0,644.0,444.1818181818182,0
2023,j2,clean_sheet,22,22,6.0,23.0,12.090909090909092,0
2023,j2,goals,22,22,37.0,79.0,53.59090909090909,0
2023,j2,goals_against,22,22,31.0,72.0,53.59090909090909,0
2023,j2,shots,22,22,402.0,727.0,524.2727272727273,0
2023,j2,shots_against,22,22,420.0,654.0,524.2727272727273,0
2023,j2,shots_on_target,22,22,107.0,241.0,156.9090909090909,0
2023,j2,shots_on_target_against,22,22,124.0,199.0,156.9090909090909,0
2023,j2,xg,22,22,37.7,70.6,52.81818181818182,0
2023,j2,xga,22,22,38.7,67.2,52.81818181818182,0
2023,j3,ball_possession,20,20,43.2,54.6,49.945,0
2023,j3,chance_create,20,20,316.0,520.0,407.45,0
2023,j3,clean_sheet,20,20,7.0,16.0,11.0,0
2023,j3,goals,20,20,29.0,59.0,46.5,0
2023,j3,goals_against,20,20,32.0,61.0,46.5,0
2023,j3,shots,20,20,424.0,645.0,492.2,0
2023,j3,shots_against,20,20,392.0,602.0,492.2,0
2023,j3,shots_on_target,20,20,115.0,189.0,148.25,0
2023,j3,shots_on_target_against,20,20,126.0,171.0,148.25,0
2023,j3,xg,20,20,36.5,63.8,47.445,0
2023,j3,xga,20,20,41.2,56.5,47.45,0
2024,j1,ball_possession,20,20,42.6,57.6,49.86,0
2024,j1,chance_create,20,20,324.0,581.0,430.75,0
2024,j1,clean_sheet,20,20,6.0,18.0,10.5,0
2024,j1,goals,20,20,33.0,72.0,50.65,0
2024,j1,goals_against,20,20,34.0,68.0,50.65,0
2024,j1,shots,20,20,401.0,695.0,494.95,0
2024,j1,shots_against,20,20,395.0,620.0,494.95,0
2024,j1,shots_on_target,20,20,124.0,213.0,156.2,0
2024,j1,shots_on_target_against,20,20,121.0,208.0,156.2,0
2024,j1,xg,20,20,34.8,68.7,51.0,0
2024,j1,xga,20,20,33.5,70.7,51.005,0
2024,j2,ball_possession,20,20,40.8,54.7,49.86,0
2024,j2,chance_create,20,20,274.0,525.0,401.75,0
2024,j2,clean_sheet,20,20,6.0,20.0,11.7,0
2024,j2,goals,20,20,24.0,74.0,47.3,0
2024,j2,goals_against,20,20,27.0,69.0,47.3,0
2024,j2,shots,20,20,357.0,600.0,491.85,0
2024,j2,shots_against,20,20,336.0,685.0,491.85,0
2024,j2,shots_on_target,20,20,94.0,201.0,144.7,0
2024,j2,shots_on_target_against,20,20,106.0,200.0,144.7,0
2024,j2,xg,20,20,31.4,60.9,48.78,0
2024,j2,xga,20,20,31.6,70.5,48.775,0
2024,j3,ball_possession,20,20,45.8,57.5,49.93,0
2024,j3,chance_create,20,20,310.0,507.0,390.15,0
2024,j3,clean_sheet,20,20,4.0,18.0,10.1,0
2024,j3,goals,20,20,27.0,72.0,49.25,0
2024,j3,goals_against,20,20,31.0,80.0,49.25,0
2024,j3,shots,20,20,357.0,559.0,474.5,0
2024,j3,shots_against,20,20,360.0,610.0,474.5,0
2024,j3,shots_on_target,20,20,100.0,173.0,144.15,0
2024,j3,shots_on_target_against,20,20,101.0,213.0,144.15,0
2024,j3,xg,20,20,30.7,55.8,46.980000000000004,0
2024,j3,xga,20,20,31.1,67.8,46.975,0
2025,j1,ball_possession,20,20,43.2,59.3,49.864999999999995,0
2025,j1,chance_create,20,20,282.0,521.0,403.75,0
2025,j1,clean_sheet,20,20,5.0,19.0,11.75,0
2025,j1,goals,20,20,23.0,67.0,45.55,0
2025,j1,goals_against,20,20,28.0,67.0,45.55,0
2025,j1,shots,20,20,362.0,542.0,457.45,0
2025,j1,shots_against,20,20,378.0,536.0,457.45,0
2025,j1,shots_on_target,20,20,97.0,189.0,142.75,0
2025,j1,shots_on_target_against,20,20,107.0,178.0,142.75,0
2025,j1,xg,20,20,33.8,59.8,47.43,0
2025,j1,xga,20,20,35.3,57.3,47.43,0
2025,j2,ball_possession,20,20,40.1,55.9,49.88,0
2025,j2,chance_create,20,20,279.0,498.0,395.3,0
2025,j2,clean_sheet,20,20,4.0,19.0,11.15,0
2025,j2,goals,20,20,27.0,63.0,46.7,0
2025,j2,goals_against,20,20,24.0,71.0,46.7,0
2025,j2,shots,20,20,361.0,565.0,482.15,0
2025,j2,shots_against,20,20,379.0,587.0,482.15,0
2025,j2,shots_on_target,20,20,90.0,192.0,145.7,0
2025,j2,shots_on_target_against,20,20,118.0,175.0,145.7,0
2025,j2,xg,20,20,34.6,62.5,48.025,0
2025,j2,xga,20,20,35.7,60.0,48.035000000000004,0
2025,j3,ball_possession,20,20,42.2,57.4,49.89,0
2025,j3,chance_create,20,20,312.0,540.0,397.0,0
2025,j3,clean_sheet,20,20,5.0,20.0,10.25,0
2025,j3,goals,20,20,29.0,69.0,48.65,0
2025,j3,goals_against,20,20,23.0,67.0,48.65,0
2025,j3,shots,20,20,364.0,634.0,477.7,0
2025,j3,shots_against,20,20,363.0,633.0,477.7,0
2025,j3,shots_on_target,20,20,115.0,208.0,148.1,0
2025,j3,shots_on_target_against,20,20,92.0,217.0,148.1,0
2025,j3,xg,20,20,36.4,65.7,48.355000000000004,0
2025,j3,xga,20,20,36.3,63.7,48.335,0
