season,league,league_level,team,team_std,stat_key,stat_label,stat_category,higher_is_better,rank,value,source_url,scraped_at
2019,j1,1,川崎フロンターレ,川崎F,shots,シュート総数,attack,True,3,494.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,ヴィッセル神戸,神戸,shots,シュート総数,attack,True,4,490.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,名古屋グランパス,名古屋,shots,シュート総数,attack,True,5,482.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,北海道コンサドーレ札幌,札幌,shots,シュート総数,attack,True,6,476.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,ベガルタ仙台,仙台,shots,シュート総数,attack,True,7,467.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,ジュビロ磐田,磐田,shots,シュート総数,attack,True,8,460.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,セレッソ大阪,C大阪,shots,シュート総数,attack,True,9,453.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,湘南ベルマーレ,湘南,shots,シュート総数,attack,True,10,452.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,清水エスパルス,清水,shots,シュート総数,attack,True,11,428.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,サンフレッチェ広島,広島,shots,シュート総数,attack,True,12,423.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,鹿島アントラーズ,鹿島,shots,シュート総数,attack,True,13,422.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,浦和レッズ,浦和,shots,シュート総数,attack,True,14,397.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,ＦＣ東京,FC東京,shots,シュート総数,attack,True,15,392.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,松本山雅ＦＣ,松本,shots,シュート総数,attack,True,16,373.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,サガン鳥栖,鳥栖,shots,シュート総数,attack,True,17,372.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,大分トリニータ,大分,shots,シュート総数,attack,True,18,281.0,https://www.jleague.jp/stats/j1/club/2019/shoot/,2026-06-18T18:40:33
2019,j1,1,ヴィッセル神戸,神戸,shots_on_target,枠内シュート総数,attack,True,1,179.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,川崎フロンターレ,川崎F,shots_on_target,枠内シュート総数,attack,True,2,178.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,横浜Ｆ・マリノス,横浜FM,shots_on_target,枠内シュート総数,attack,True,2,178.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
2019,j1,1,北海道コンサドーレ札幌,札幌,shots_on_target,枠内シュート総数,attack,True,4,167.0,https://www.jleague.jp/stats/j1/club/2019/shoot_on_target/,2026-06-18T18:40:33
