config_id,prev_stats_weight,attack_goals,attack_xg,attack_sot,attack_shots,defense_ga,defense_xga,defense_sota,defense_sa,mean_mae,std_mae,max_mae,mae_2025
93,0.2,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.3394000000000013,0.0,2.3394000000000013,2.3394000000000013
57,0.15,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.3401,0.0,2.3401,2.3401
77,0.2,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.3423000000000003,0.0,2.3423000000000003,2.3423000000000003
83,0.2,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.3474999999999997,0.0,2.3474999999999997,2.3474999999999997
94,0.2,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.3481999999999994,0.0,2.3481999999999994,2.3481999999999994
74,0.15,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.3484000000000003,0.0,2.3484000000000003,2.3484000000000003
81,0.2,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.3487999999999998,0.0,2.3487999999999998,2.3487999999999998
59,0.15,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.3493999999999993,0.0,2.3493999999999993,2.3493999999999993
72,0.15,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.3523,0.0,2.3523,2.3523
95,0.2,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.353700000000001,0.0,2.353700000000001,2.353700000000001
73,0.15,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.3548,0.0,2.3548,2.3548
69,0.15,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.3551,0.0,2.3551,2.3551
85,0.2,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.3555000000000006,0.0,2.3555000000000006,2.3555000000000006
80,0.2,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.3571000000000013,0.0,2.3571000000000013,2.3571000000000013
68,0.15,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.3572999999999995,0.0,2.3572999999999995,2.3572999999999995
91,0.2,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.3579999999999997,0.0,2.3579999999999997,2.3579999999999997
98,0.2,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.3619999999999997,0.0,2.3619999999999997,2.3619999999999997
89,0.2,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.3635000000000006,0.0,2.3635000000000006,2.3635000000000006
90,0.2,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.3647,0.0,2.3647,2.3647
96,0.2,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.365900000000001,0.0,2.365900000000001,2.365900000000001
101,0.2,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.3667000000000007,0.0,2.3667000000000007,2.3667000000000007
100,0.2,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.3672000000000004,0.0,2.3672000000000004,2.3672000000000004
88,0.2,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.367600000000001,0.0,2.367600000000001,2.367600000000001
56,0.15,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.3686,0.0,2.3686,2.3686
58,0.15,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.3688999999999996,0.0,2.3688999999999996,2.3688999999999996
54,0.15,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.3738,0.0,2.3738,2.3738
86,0.2,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.3741000000000008,0.0,2.3741000000000008,2.3741000000000008
55,0.15,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.3743999999999996,0.0,2.3743999999999996,2.3743999999999996
53,0.15,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.3781,0.0,2.3781,2.3781
99,0.2,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.3784000000000005,0.0,2.3784000000000005,2.3784000000000005
52,0.15,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.3897999999999997,0.0,2.3897999999999997,2.3897999999999997
